region,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
AG,501881,0.6,88273,3.6,206892,2.0,43594,5.2,86233,3.5,76889,3.7
AI,11413,4.2,2382,21.9,5140,12.0,633,(45.2),1623,25.5,1636,26.0
AR,40268,2.3,7218,13.1,15970,7.6,4305,17.2,7561,12.2,5214,15.3
BE,767418,0.4,124909,2.9,316077,1.5,74555,3.8,126565,2.8,125312,2.6
BL,214875,0.8,35512,5.6,85895,3.1,20600,7.5,31824,5.8,41043,5.0
BS,146783,1.0,26817,6.8,38008,5.2,16131,9.0,15642,8.7,50184,4.3
FR,225434,0.9,58283,4.2,73626,3.5,21180,7.4,28927,6.1,43418,4.8
GE,336832,0.5,79149,2.7,65849,2.9,38020,4.0,33889,4.2,119926,2.0
GL,29793,2.4,7067,12.3,12926,8.0,2599,21.6,4283,15.9,2918,20.1
GR,150149,1.0,27224,6.3,63551,3.5,16128,8.4,23692,6.7,19554,7.5
JU,52665,1.8,13867,8.4,20614,6.3,5891,13.6,5912,13.6,6381,13.3
LU,297946,0.5,55884,3.1,117516,1.8,25683,4.7,52570,3.1,46292,3.4
NE,126202,0.8,32637,3.9,38296,3.4,14927,6.1,15549,5.9,24792,4.6
NW,32437,2.0,5579,13.6,12963,7.7,2548,21.1,6120,12.8,5227,14.3
OW,27702,2.4,5584,13.7,12121,8.0,2290,22.9,4780,14.7,2928,19.6
SG,367893,0.7,72593,3.8,153996,2.3,33128,5.9,56997,4.3,51180,4.7
SH,61063,1.5,10763,10.0,25822,5.5,6247,13.6,9379,10.6,8852,10.9
SO,203751,0.9,37739,5.4,89899,2.9,18361,8.1,31361,5.8,26392,6.5
SZ,118200,1.2,23574,6.8,45279,4.3,10297,10.8,19573,7.2,19477,7.4
TG,203868,0.9,36176,5.5,88186,3.0,20235,7.6,32569,5.7,26702,6.4
TI,264891,0.5,60519,2.9,71372,2.6,48306,3.3,32485,4.1,52209,3.1
UR,26453,2.4,6581,12.2,11809,8.1,2179,23.4,3319,18.0,2565,21.3
VD,567008,0.4,129845,2.0,155117,1.7,56892,3.2,66932,2.8,158222,1.7
VS,252883,0.8,66606,3.9,91174,3.1,25268,6.8,29779,6.1,40055,5.2
ZG,93917,0.9,11711,7.0,29622,3.8,9469,7.7,15582,5.6,27533,4.0
ZH,1131985,0.4,164091,2.7,363903,1.6,107071,3.4,168899,2.5,328022,1.7
CH,6253710,0.1,1190582,0.9,2211624,0.6,626535,1.3,912045,1.0,1312924,0.8
