attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,482132,0.006,88216,0.036,200293,0.020,43747,0.053,80169,0.037,69707,0.041
sexMale,240300,0.018,34837,0.061,96773,0.033,16825,0.089,51526,0.047,40339,0.055
sexFemale,241832,0.017,53380,0.047,103520,0.031,26922,0.067,28643,0.065,29367,0.065
age25_44,180573,0.023,25060,0.074,68889,0.042,17429,0.089,32293,0.062,36903,0.059
age45_64,193407,0.020,32946,0.061,83810,0.035,16146,0.087,35208,0.057,25297,0.069
age65+,108152,0.030,30211,0.062,47594,0.048,10173,0.109,12668,0.097,7507,0.127
citizenSwiss,365271,0.010,47659,0.049,170151,0.022,30376,0.062,69238,0.040,47847,0.049
citizenUE28_AELE,73936,0.041,18259,0.086,21431,0.079,8581,0.129,9136,0.122,16529,0.091
citizenOtherEuropeanCountries,31564,0.068,17146,0.093,7221,0.146,3770,0.200,1246,0.356,2179,0.268
citizenOtherWorldwideCountries,11288,0.108,5112,0.164,1491,0.293,986,0.361,548,0.485,3151,0.203
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,300680,0.013,35450,0.057,145311,0.025,22782,0.073,59258,0.043,37880,0.056
migratoryBackgroundSwissWith,62776,0.042,11803,0.101,23850,0.071,7530,0.128,9703,0.113,9890,0.111
migratoryBackgroundFirstGeneration,105006,0.034,38233,0.060,24079,0.076,12580,0.106,9146,0.123,20968,0.081
migratoryBackgroundSecondGenerationAndMore,11483,0.109,2143,0.256,5957,0.152,791,0.434,1784,0.276,809,0.413
migratoryBackgroundUnknown,2187,0.244,588,0.471,1096,0.342,NaN,NaN,277,0.684,NaN,NaN
labourMarketEmployedPersons,319474,0.013,39931,0.057,131862,0.027,27878,0.067,63467,0.042,56336,0.046
labourMarketUnemployedPersons,13998,0.099,3666,0.199,5172,0.162,1692,0.293,1574,0.289,1894,0.268
labourMarketPersonsWithoutProfessionalActivity,148660,0.025,44619,0.051,63259,0.041,14177,0.093,15128,0.089,11477,0.104
socioprofessionalCategoriesExecutives,12870,0.099,1497,0.303,2984,0.208,493,0.518,3927,0.177,3969,0.178
socioprofessionalCategoriesLiberalAndSimilar,3774,0.182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3774,0.182
socioprofessionalCategoriesOtherSelfEmployed,25626,0.069,2465,0.228,12477,0.099,2456,0.230,7217,0.130,1010,0.359
socioprofessionalCategoriesIntellectualAndManagerial,43753,0.053,283,0.688,2523,0.223,616,0.470,4250,0.173,36081,0.059
socioprofessionalCategoriesIntermediate,92900,0.034,4119,0.182,24880,0.070,7735,0.128,46633,0.050,9533,0.117
socioprofessionalCategoriesSkilledNonManuals,71444,0.040,722,0.434,60037,0.044,10685,0.110,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,27511,0.069,1405,0.318,22568,0.076,3538,0.203,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,23269,0.075,23269,0.075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,641,0.469,NaN,NaN,444,0.558,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,17687,0.086,6092,0.150,5948,0.147,2275,0.242,1440,0.299,1932,0.270
socioprofessionalCategoriesUnemployedOrNotWorking,162658,0.023,48285,0.049,68431,0.040,15869,0.089,16702,0.085,13371,0.097
