region,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
AG,482132,0.6,88216,3.6,200293,2.0,43747,5.3,80169,3.7,69707,4.1
AI,11095,4.5,2732,19.6,4729,13.3,766,41.6,1551,26.1,1317,29.2
AR,39525,2.2,8099,11.6,16378,7.2,4046,17.5,6156,13.7,4846,16.0
BE,753347,0.4,137020,2.7,312099,1.5,73660,3.8,115087,3.0,115481,2.9
BL,211346,0.9,37653,5.4,84028,3.1,19927,7.7,33459,5.7,36280,5.5
BS,145761,1.0,28493,6.4,38362,5.1,14961,9.1,15696,8.6,48250,4.5
FR,215650,0.9,57999,4.1,68848,3.6,21313,7.3,29120,6.1,38370,5.3
GE,324763,0.6,83111,2.6,66035,2.9,33601,4.3,33565,4.3,108450,2.2
GL,29175,2.6,7474,11.7,13674,7.7,1920,26.0,3654,18.0,2453,23.0
GR,147339,1.0,31228,5.8,60908,3.6,15227,8.7,19710,7.4,20266,7.4
JU,51686,1.9,15989,7.8,18278,6.9,5022,15.2,5981,13.8,6416,13.4
LU,288266,0.6,57832,3.2,113987,2.0,26947,4.9,49276,3.4,40224,3.9
NE,126321,0.9,35283,3.7,37994,3.5,14601,6.2,15537,6.0,22906,4.9
NW,31613,2.3,5854,13.2,13076,7.9,2482,21.8,6112,13.2,4089,17.0
OW,26914,2.6,6100,12.9,11411,8.2,2140,23.0,4507,15.3,2755,20.3
SG,358593,0.7,79380,3.6,147170,2.3,31654,6.1,54121,4.5,46268,4.9
SH,59493,1.7,9619,11.1,25637,5.6,6044,14.4,9292,10.8,8901,11.4
SO,197937,1.0,42453,5.2,82729,3.1,16862,8.5,29605,6.1,26287,6.7
SZ,113442,1.3,22001,7.1,45045,4.3,9301,11.4,18152,7.7,18942,7.7
TG,195401,0.7,37154,3.8,84300,2.1,17302,5.8,32202,4.1,24442,4.8
TI,265360,0.5,65906,2.7,69999,2.6,47121,3.3,32842,4.1,49492,3.3
UR,25844,2.5,7033,11.8,10554,8.6,1709,26.7,4261,15.8,2288,22.8
VD,549771,0.4,138676,1.9,149192,1.8,52936,3.3,66320,2.9,142646,1.8
VS,245346,0.8,73270,3.6,83870,3.2,24849,6.8,26149,6.6,37209,5.5
ZG,90630,0.9,13228,6.4,29697,3.8,7796,8.6,16205,5.6,23704,4.6
ZH,1090744,0.3,175738,2.4,364369,1.5,102156,3.2,165533,2.4,282948,1.7
CH,6077494,0.1,1267544,0.8,2152663,0.6,598091,1.3,874263,1.0,1184934,0.8
