region,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
AG,489292,0.6,88545,3.6,199232,2.0,45034,5.2,80211,3.7,76270,3.8
AI,11269,4.8,3100,19.8,4877,13.0,1015,34.9,1336,29.2,941,36.2
AR,39875,2.1,6689,13.0,17361,6.7,3705,18.1,6675,12.7,5444,14.6
BE,758999,0.4,132683,2.8,309553,1.5,75307,3.7,122305,2.9,119150,2.8
BL,212754,0.8,36771,5.4,84352,3.1,22131,7.3,32068,5.9,37431,5.4
BS,146377,1.0,27275,6.5,39006,5.0,15840,8.7,17083,8.2,47173,4.5
FR,219103,0.9,58034,4.1,71691,3.5,20167,7.5,27951,6.2,41261,5.1
GE,330167,0.5,84154,2.5,62795,2.9,35283,4.1,33701,4.2,114234,2.1
GL,29436,2.4,7764,11.3,12146,8.1,2070,24.3,4330,16.2,3126,19.4
GR,148415,1.0,28999,6.2,63501,3.5,16071,8.5,20346,7.3,19497,7.7
JU,52025,2.0,15755,7.8,18635,6.8,4892,15.4,6261,13.2,6482,13.3
LU,291696,0.6,57942,3.2,113969,2.0,26485,5.0,48959,3.5,44342,3.8
NE,126207,0.8,34330,3.7,37401,3.4,13752,6.3,15564,5.9,25160,4.5
NW,32100,2.3,5473,14.6,13609,7.6,2587,21.3,6104,12.8,4328,16.1
OW,27228,2.6,5076,15.1,12165,7.8,2147,23.6,4799,14.7,3041,19.7
SG,361897,0.7,77753,3.7,150501,2.3,32474,6.1,53964,4.5,47205,5.0
SH,60079,1.7,11301,10.1,24840,5.8,5579,15.0,9037,11.1,9323,11.1
SO,199954,0.9,39733,5.3,85943,3.0,18023,8.2,32723,5.7,23532,7.1
SZ,114960,1.2,22365,6.9,44621,4.3,10301,10.6,19058,7.5,18614,7.7
TG,198423,0.7,37707,3.8,85620,2.1,17897,5.8,32266,4.1,24933,4.8
TI,265259,0.5,64344,2.7,67463,2.6,47392,3.2,35551,3.8,50509,3.2
UR,26061,2.7,7388,11.3,10920,8.6,1851,26.1,3694,17.4,2207,23.3
VD,556742,0.4,135414,1.9,151185,1.8,53069,3.3,65958,2.9,151116,1.8
VS,248307,0.8,69764,3.7,87118,3.1,24139,6.9,29243,6.2,38042,5.4
ZG,91918,0.9,13427,6.4,30005,3.8,8064,8.5,16352,5.6,24070,4.5
ZH,1104284,0.4,173748,2.6,358389,1.5,103991,3.4,166364,2.5,301792,1.8
CH,6142827,0.1,1245535,0.8,2156900,0.6,609267,1.3,891905,1.0,1239220,0.8
