attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,291696,0.6,57942,3.2,113969,2.0,26485,5.0,48959,3.5,44342,3.8
sexMale,144317,1.7,22158,5.7,56539,3.3,10522,8.3,31055,4.6,24043,5.3
sexFemale,147379,1.6,35784,4.2,57430,3.1,15963,6.4,17903,6.0,20299,5.7
age25_44,112274,2.1,14119,7.4,40848,4.0,10652,8.2,20467,5.8,26187,5.1
age45_64,113203,2.0,20113,5.8,48520,3.5,9899,8.2,20822,5.5,13848,6.9
age65+,66219,2.9,23709,5.2,24601,5.1,5934,10.7,7669,9.4,4306,12.6
citizenSwiss,238288,0.9,38243,4.0,101649,2.2,20889,5.6,44433,3.7,33073,4.4
citizenUE28_AELE,33018,4.5,8849,9.1,8219,9.4,3682,14.1,3545,14.5,8723,9.1
citizenOtherEuropeanCountries,12764,8.1,6794,11.1,3120,16.9,1299,25.4,578,38.4,973,29.6
citizenOtherWorldwideCountries,7556,10.4,4005,14.5,960,29.2,616,37.7,402,45.2,1572,22.7
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,207666,1.1,30865,4.5,90946,2.3,17261,6.2,40126,3.9,28468,4.8
migratoryBackgroundSwissWith,29625,4.6,7130,9.7,10291,8.1,3509,13.9,4207,12.8,4488,12.3
migratoryBackgroundFirstGeneration,49518,3.7,18886,6.4,10417,8.6,5291,12.1,4038,13.7,10886,8.2
migratoryBackgroundSecondGenerationAndMore,3285,15.4,465,40.9,1744,21.3,286,51.2,464,41.0,326,49.5
migratoryBackgroundUnknown,1601,21.4,596,35.6,571,35.5,138,72.4,124,78.2,173,63.7
labourMarketEmployedPersons,197834,1.2,24512,5.3,79441,2.6,16999,6.3,39783,3.9,37099,4.2
labourMarketUnemployedPersons,5894,11.3,1478,23.3,2169,18.4,687,33.6,594,35.0,966,28.1
labourMarketPersonsWithoutProfessionalActivity,87968,2.4,31952,4.5,32358,4.4,8799,8.8,8581,8.9,6277,10.6
socioprofessionalCategoriesExecutives,8191,9.2,824,30.4,1936,19.1,371,44.0,2583,16.2,2478,16.7
socioprofessionalCategoriesLiberalAndSimilar,3023,15.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3023,15.2
socioprofessionalCategoriesOtherSelfEmployed,17573,6.1,1550,21.3,8395,9.0,1612,20.9,5115,11.6,901,28.3
socioprofessionalCategoriesIntellectualAndManagerial,27779,4.9,232,55.2,1389,22.5,350,45.0,1960,18.7,23848,5.3
socioprofessionalCategoriesIntermediate,58688,3.2,2814,16.2,15334,6.7,5466,11.2,29210,4.7,5864,11.2
socioprofessionalCategoriesSkilledNonManuals,39705,4.0,282,49.3,33625,4.3,5798,11.1,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,17065,6.4,735,31.5,14237,7.0,2093,18.7,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,14283,7.1,14283,7.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,475,40.0,147,72.5,201,60.5,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,11051,8.0,3644,14.4,4325,12.9,1250,24.1,915,27.6,916,27.9
socioprofessionalCategoriesUnemployedOrNotWorking,93862,2.3,33430,4.4,34528,4.2,9486,8.5,9175,8.6,7243,9.9
