attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1118209,0.4,170501,2.7,370215,1.6,108080,3.4,165608,2.6,303805,1.8
sexMale,551514,1.2,67491,4.5,177008,2.5,44835,5.5,98157,3.4,164024,2.6
sexFemale,566695,1.1,103011,3.5,193207,2.3,63246,4.4,67451,4.2,139781,2.8
age25_44,467096,1.4,52437,5.3,118748,3.2,46135,5.5,62007,4.5,187768,2.4
age45_64,406743,1.4,62852,4.6,143318,2.8,37469,5.8,73118,4.0,89986,3.6
age65+,244370,2.0,55213,4.7,108148,3.2,24476,7.0,30483,6.2,26050,6.7
citizenSwiss,810699,0.7,88021,3.7,312601,1.7,77384,3.9,142915,2.8,189777,2.3
citizenUE28_AELE,211662,2.4,41799,5.7,40510,5.8,20716,8.3,18470,8.5,90167,3.7
citizenOtherEuropeanCountries,48986,5.6,24088,8.1,10787,12.1,5427,17.2,1901,28.4,6783,14.8
citizenOtherWorldwideCountries,46531,5.6,16336,9.7,6280,15.8,4515,18.3,2322,25.2,17078,9.1
citizenUnknown,331,68.6,258,79.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,603924,1.0,48866,5.0,247931,2.0,52749,4.8,113122,3.1,141256,2.8
migratoryBackgroundSwissWith,200887,2.3,38063,5.7,61682,4.4,24350,7.2,29056,6.5,47737,5.0
migratoryBackgroundFirstGeneration,289151,2.0,79698,4.2,48557,5.4,29099,7.1,19656,8.4,112141,3.3
migratoryBackgroundSecondGenerationAndMore,17369,8.9,2166,26.2,8927,12.6,1430,32.0,2999,21.0,1848,26.7
migratoryBackgroundUnknown,6878,13.7,1708,28.0,3119,20.2,453,56.4,775,39.5,822,39.6
labourMarketEmployedPersons,738974,0.9,75446,4.2,221792,2.2,66195,4.4,124379,3.0,251162,2.0
labourMarketUnemployedPersons,32674,6.6,6910,14.8,8371,13.0,3713,19.8,3317,20.2,10363,11.7
labourMarketPersonsWithoutProfessionalActivity,346560,1.6,88146,3.8,140051,2.8,38172,5.8,37911,5.6,42280,5.5
socioprofessionalCategoriesENaNecutives,39773,5.5,2351,24.8,5431,15.2,1991,25.8,9357,11.4,20644,7.7
socioprofessionalCategoriesLiberalAndSimilar,18576,8.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18576,8.1
socioprofessionalCategoriesOtherSelfEmployed,57953,4.6,5995,15.2,23702,7.3,7249,13.5,15657,8.9,5349,15.8
socioprofessionalCategoriesIntellectualAndManagerial,171663,2.5,939,38.1,4639,16.5,2590,22.6,7676,12.7,155820,2.7
socioprofessionalCategoriesIntermediate,202524,2.3,9683,11.8,41488,5.5,16638,8.8,89407,3.6,45308,5.3
socioprofessionalCategoriesSkilledNonManuals,138002,2.9,808,40.7,108816,3.3,28378,6.8,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,38834,5.9,1969,26.7,30518,6.6,6346,15.2,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,47555,5.4,47555,5.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,796,44.0,NaN,NaN,401,61.6,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,23300,7.6,6072,15.2,6797,13.9,2882,22.3,2181,24.3,5368,16.2
socioprofessionalCategoriesUnemployedOrNotWorking,379235,1.5,95056,3.6,148422,2.7,41885,5.5,41228,5.4,52643,4.9
