attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,495664,0.6,88911,3.6,206902,2.0,45245,5.2,83043,3.6,71564,4.0
sexMale,247242,1.8,33464,6.4,101160,3.3,18070,8.7,53385,4.7,41163,5.4
sexFemale,248422,1.7,55447,4.6,105743,3.1,27175,6.6,29658,6.3,30401,6.3
age25_44,184674,2.3,23798,7.9,67591,4.2,18956,8.5,34691,6.0,39638,5.6
age45_64,196418,2.1,32800,6.4,89186,3.5,15716,9.0,34480,5.9,24236,7.0
age65+,114572,2.8,32313,5.9,50125,4.6,10572,10.4,13871,9.0,7690,12.3
citizenSwiss,372814,1.0,47789,4.9,174100,2.2,30727,6.2,70561,3.9,49637,4.8
citizenUE28_AELE,77452,4.0,18263,8.7,22967,7.8,10260,11.7,9582,11.9,16380,9.1
citizenOtherEuropeanCountries,32859,6.8,17340,9.5,7969,14.0,2928,23.2,1997,28.7,2626,24.6
citizenOtherWorldwideCountries,12539,10.5,5519,16.1,1867,27.5,1329,33.6,902,40.1,2922,21.2
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,303312,1.3,35096,5.7,147186,2.5,22840,7.2,59827,4.3,38363,5.5
migratoryBackgroundSwissWith,66726,4.1,12094,10.1,25473,6.9,7682,12.7,10266,10.9,11211,10.3
migratoryBackgroundFirstGeneration,110151,3.3,38793,6.0,25960,7.4,13445,10.4,11051,11.3,20901,8.0
migratoryBackgroundSecondGenerationAndMore,12508,10.9,2328,26.3,6651,15.0,1073,37.0,1430,31.1,1026,38.3
migratoryBackgroundUnknown,2967,20.7,599,45.6,1631,28.2,206,78.9,468,51.7,NaN,NaN
labourMarketEmployedPersons,321879,1.3,36683,6.0,134957,2.7,27867,6.8,64972,4.2,57400,4.5
labourMarketUnemployedPersons,13694,10.3,3657,20.8,4801,17.4,1528,32.2,1417,31.6,2292,24.7
labourMarketPersonsWithoutProfessionalActivity,160092,2.4,48571,5.0,67144,4.0,15850,8.8,16654,8.5,11873,10.3
socioprofessionalCategoriesExecutives,14233,9.4,1442,32.5,3114,20.2,766,41.5,4092,17.5,4819,15.9
socioprofessionalCategoriesLiberalAndSimilar,3248,19.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3248,19.3
socioprofessionalCategoriesOtherSelfEmployed,24416,7.1,2052,26.3,12373,10.1,2365,23.8,6606,13.7,1021,36.7
socioprofessionalCategoriesIntellectualAndManagerial,44126,5.2,257,73.4,2151,24.4,694,43.4,4148,17.3,36875,5.7
socioprofessionalCategoriesIntermediate,97272,3.3,4886,16.7,25667,7.0,7833,12.7,48775,4.9,10111,11.4
socioprofessionalCategoriesSkilledNonManuals,75895,3.8,310,64.5,63987,4.2,11598,10.6,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,27591,6.9,940,38.0,23384,7.5,3267,21.3,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,22762,7.7,22762,7.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,371,69.1,248,87.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,11963,10.6,3786,19.5,4203,17.7,1297,33.0,1351,31.3,1326,32.5
socioprofessionalCategoriesUnemployedOrNotWorking,173785,2.2,52228,4.8,71945,3.9,17378,8.5,18071,8.2,14164,9.5
