attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.6,88911.0,3.6,206902.0,2.0,45245.0,5.2,83043.0,3.6,71564.0,4.0
sexMale,1.0,1.8,33464.0,6.4,101160.0,3.3,18070.0,8.7,53385.0,4.7,41163.0,5.4
sexFemale,1.0,1.7,55447.0,4.6,105743.0,3.1,27175.0,6.6,29658.0,6.3,30401.0,6.3
age25_44,1.0,2.3,23798.0,7.9,67591.0,4.2,18956.0,8.5,34691.0,6.0,39638.0,5.6
age45_64,1.0,2.1,32800.0,6.4,89186.0,3.5,15716.0,9.0,34480.0,5.9,24236.0,7.0
age65+,1.0,2.8,32313.0,5.9,50125.0,4.6,10572.0,10.4,13871.0,9.0,7690.0,12.3
citizenSwiss,1.0,1.0,47789.0,4.9,174100.0,2.2,30727.0,6.2,70561.0,3.9,49637.0,4.8
citizenUE28_AELE,1.0,4.0,18263.0,8.7,22967.0,7.8,10260.0,11.7,9582.0,11.9,16380.0,9.1
citizenOtherEuropeanCountries,1.0,6.8,17340.0,9.5,7969.0,14.0,2928.0,23.2,1997.0,28.7,2626.0,24.6
citizenOtherWorldwideCountries,1.0,10.5,5519.0,16.1,1867.0,27.5,1329.0,33.6,902.0,40.1,2922.0,21.2
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,1.3,35096.0,5.7,147186.0,2.5,22840.0,7.2,59827.0,4.3,38363.0,5.5
migratoryBackgroundSwissWith,1.0,4.1,12094.0,10.1,25473.0,6.9,7682.0,12.7,10266.0,10.9,11211.0,10.3
migratoryBackgroundFirstGeneration,1.0,3.3,38793.0,6.0,25960.0,7.4,13445.0,10.4,11051.0,11.3,20901.0,8.0
migratoryBackgroundSecondGenerationAndMore,1.0,10.9,2328.0,26.3,6651.0,15.0,1073.0,37.0,1430.0,31.1,1026.0,38.3
migratoryBackgroundUnknown,1.0,20.7,599.0,45.6,1631.0,28.2,206.0,78.9,468.0,51.7,NaN,NaN
labourMarketEmployedPersons,1.0,1.3,36683.0,6.0,134957.0,2.7,27867.0,6.8,64972.0,4.2,57400.0,4.5
labourMarketUnemployedPersons,1.0,10.3,3657.0,20.8,4801.0,17.4,1528.0,32.2,1417.0,31.6,2292.0,24.7
labourMarketPersonsWithoutProfessionalActivity,1.0,2.4,48571.0,5.0,67144.0,4.0,15850.0,8.8,16654.0,8.5,11873.0,10.3
socioprofessionalCategoriesExecutives,1.0,9.4,1442.0,32.5,3114.0,20.2,766.0,41.5,4092.0,17.5,4819.0,15.9
socioprofessionalCategoriesLiberalAndSimilar,1.0,19.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3248.0,19.3
socioprofessionalCategoriesOtherSelfEmployed,1.0,7.1,2052.0,26.3,12373.0,10.1,2365.0,23.8,6606.0,13.7,1021.0,36.7
socioprofessionalCategoriesIntellectualAndManagerial,1.0,5.2,257.0,73.4,2151.0,24.4,694.0,43.4,4148.0,17.3,36875.0,5.7
socioprofessionalCategoriesIntermediate,1.0,3.3,4886.0,16.7,25667.0,7.0,7833.0,12.7,48775.0,4.9,10111.0,11.4
socioprofessionalCategoriesSkilledNonManuals,1.0,3.8,310.0,64.5,63987.0,4.2,11598.0,10.6,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,6.9,940.0,38.0,23384.0,7.5,3267.0,21.3,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,7.7,22762.0,7.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1.0,69.1,248.0,87.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,10.6,3786.0,19.5,4203.0,17.7,1297.0,33.0,1351.0,31.3,1326.0,32.5
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,2.2,52228.0,4.8,71945.0,3.9,17378.0,8.5,18071.0,8.2,14164.0,9.5
