attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.6,0.1759,3.6,0.4122,2.0,0.0869,5.2,0.1718,3.5,0.1532,3.7
sexMale,1.0,1.7,0.1412,6.1,0.3966,3.3,0.0699,8.7,0.2202,4.5,0.1722,5.2
sexFemale,1.0,1.6,0.2105,4.7,0.4279,3.0,0.1037,6.7,0.1237,6.1,0.1343,5.9
age25_44,1.0,2.2,0.1352,7.5,0.3707,4.1,0.0989,8.5,0.1766,6.0,0.2186,5.4
age45_64,1.0,2.0,0.1604,6.3,0.4319,3.5,0.0792,8.9,0.191,5.5,0.1376,6.5
age65+,1.0,2.8,0.2663,6.0,0.445,4.5,0.0807,11.0,0.1322,8.5,0.0758,11.3
citizenSwiss,1.0,1.0,0.1203,5.0,0.4599,2.2,0.0768,6.4,0.198,3.7,0.145,4.5
citizenUE28_AELE,1.0,3.8,0.2443,8.3,0.3033,7.3,0.1222,11.8,0.1124,12.0,0.2177,8.6
citizenOtherEuropeanCountries,1.0,6.4,0.5328,9.0,0.2404,13.4,0.102,20.8,0.0621,26.2,0.0626,25.5
citizenOtherWorldwideCountries,1.0,10.6,0.4534,16.3,0.1401,28.8,0.1249,30.0,0.0555,44.6,0.2262,21.5
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,1.3,0.1071,5.9,0.4816,2.5,0.0712,7.4,0.2044,4.1,0.1357,5.2
migratoryBackgroundSwissWith,1.0,4.0,0.1765,10.1,0.3619,6.9,0.1023,13.3,0.1678,10.2,0.1915,9.6
migratoryBackgroundFirstGeneration,1.0,3.2,0.3608,5.7,0.237,7.0,0.123,10.0,0.0879,11.5,0.1913,7.6
migratoryBackgroundSecondGenerationAndMore,1.0,10.7,0.1631,27.2,0.5808,14.0,0.0601,43.3,0.1421,28.3,0.0539,46.0
migratoryBackgroundUnknown,1.0,21.0,0.2421,43.5,0.4063,32.7,0.0826,73.2,0.2326,43.3,NaN,NaN
labourMarketEmployedPersons,1.0,1.3,0.1185,5.8,0.4047,2.7,0.0855,6.7,0.2053,4.0,0.1861,4.3
labourMarketUnemployedPersons,1.0,10.4,0.2786,20.5,0.3317,18.0,0.1038,32.8,0.1093,31.0,0.1766,24.2
labourMarketPersonsWithoutProfessionalActivity,1.0,2.3,0.2839,5.1,0.4339,3.9,0.0883,9.2,0.1091,8.1,0.0848,9.5
socioprofessionalCategoriesExecutives,1.0,8.9,0.0773,35.1,0.2292,18.6,0.053,39.6,0.3023,16.1,0.3381,15.2
socioprofessionalCategoriesLiberalAndSimilar,1.0,17.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,17.6
socioprofessionalCategoriesOtherSelfEmployed,1.0,6.9,0.0969,23.8,0.489,10.0,0.0921,23.7,0.2773,13.1,0.0447,33.8
socioprofessionalCategoriesIntellectualAndManagerial,1.0,4.9,,,0.0436,24.8,0.0141,43.3,0.0816,17.7,0.8576,5.3
socioprofessionalCategoriesIntermediate,1.0,3.2,0.0581,15.4,0.2639,6.8,0.0678,13.5,0.51,4.7,0.1002,11.3
socioprofessionalCategoriesSkilledNonManuals,1.0,3.9,0.006,53.6,0.8264,4.3,0.1675,10.2,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,6.5,0.0519,29.7,0.8066,7.2,0.1415,18.3,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,7.4,1.0,7.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1.0,48.7,NaN,NaN,0.4773,68.3,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,11.0,0.3154,20.2,0.3774,17.9,0.095,36.0,0.1316,29.5,0.0806,39.6
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,2.2,0.2835,4.9,0.4264,3.8,0.0894,8.9,0.1091,7.8,0.0915,8.8
