attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.048,0.2751,0.198,0.4328,0.13,0.0901,0.349,0.1186,0.292,0.0835,0.362
sexMale,1.0,0.116,0.2437,0.31,0.4516,0.199,0.0565,0.64,0.1452,0.378,0.1032,0.462
sexFemale,1.0,0.124,0.3099,0.286,0.412,0.221,0.1271,0.427,0.0892,0.492,0.0618,0.608
age25_44,1.0,0.15,0.1496,0.499,0.4459,0.245,0.1086,0.532,0.1786,0.404,0.1172,0.509
age45_64,1.0,0.137,0.1923,0.377,0.5617,0.203,0.0649,0.639,0.1131,0.491,0.0681,0.641
age65+,1.0,0.217,0.5802,0.298,0.212,0.509,0.1037,0.724,NaN,NaN,NaN,NaN
citizenSwiss,1.0,0.062,0.2479,0.228,0.4515,0.138,0.0934,0.37,0.1219,0.308,0.0852,0.385
citizenUE28_AELE,1.0,0.384,0.3468,0.68,0.3755,0.64,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherEuropeanCountries,1.0,0.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,1.0,0.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.065,0.2445,0.234,0.4561,0.141,0.0854,0.395,0.1259,0.308,0.088,0.385
migratoryBackgroundSwissWith,1.0,0.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundFirstGeneration,1.0,0.31,0.4541,0.476,0.2889,0.611,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,1.0,0.086,0.1591,0.333,0.4994,0.155,0.0924,0.425,0.1495,0.319,0.0995,0.402
labourMarketUnemployedPersons,1.0,0.791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,1.0,0.18,0.5273,0.269,0.2919,0.36,0.0829,0.684,0.0535,0.864,NaN,NaN
socioprofessionalCategoriesExecutives,1.0,0.577,NaN,NaN,0.4343,0.86,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesLiberalAndSimilar,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.361,NaN,NaN,0.5441,0.492,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8989,0.447
socioprofessionalCategoriesIntermediate,1.0,0.257,NaN,NaN,0.3709,0.447,NaN,NaN,0.509,0.369,NaN,NaN
socioprofessionalCategoriesSkilledNonManuals,1.0,0.261,NaN,NaN,0.772,0.301,0.2087,0.609,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.328,NaN,NaN,0.9067,0.346,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.453,1.0,0.453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.617,NaN,NaN,0.4391,0.861,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.172,0.4974,0.269,0.3051,0.34,0.0857,0.645,0.0593,0.789,0.0528,0.866
