attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,11425,4.1,2392,22.6,5014,13.1,1089,33.5,1564,27.2,1366,29.6
sexMale,6140,11.2,701,46.1,2742,20.2,488,53.2,1236,31.3,973,36.3
sexFemale,5285,12.3,1691,27.2,2272,22.0,600,44.7,328,60.5,393,55.3
age25_44,3978,15.4,469,53.4,1638,26.9,439,53.2,718,42.4,714,42.7
age45_64,4491,13.7,732,42.2,2058,23.1,520,49.1,722,40.1,459,51.0
age65+,2956,20.3,1190,34.6,1318,32.2,NaN,NaN,NaN,NaN,193,86.3
citizenSwiss,9964,5.8,1824,26.5,4737,13.6,796,39.4,1497,27.9,1111,33.0
citizenUE28_AELE,877,38.7,242,72.8,NaN,NaN,219,79.3,NaN,NaN,193,87.9
citizenOtherEuropeanCountries,254,79.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,330,64.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,9313,6.6,1702,27.5,4374,14.5,728,41.3,1429,28.7,1080,33.5
migratoryBackgroundSwissWith,615,46.1,NaN,NaN,328,63.9,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundFirstGeneration,1320,31.5,518,51.5,248,78.7,266,72.8,NaN,NaN,256,74.0
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,7607,8.4,1026,35.5,3392,17.0,748,40.3,1374,29.0,1066,33.7
labourMarketUnemployedPersons,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,3784,16.9,1366,31.8,1588,28.6,340,64.1,190,86.6,300,68.1
socioprofessionalCategoriesExecutives,273,67.9,NaN,NaN,NaN,NaN,NaN,NaN,169,86.2,NaN,NaN
socioprofessionalCategoriesLiberalAndSimilar,196,78.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,196,78.4
socioprofessionalCategoriesOtherSelfEmployed,1083,34.1,212,78.6,505,50.9,NaN,NaN,251,73.1,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,723,41.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,586,46.3
socioprofessionalCategoriesIntermediate,1924,24.0,199,86.8,551,47.6,229,73.2,884,36.8,NaN,NaN
socioprofessionalCategoriesSkilledNonManuals,1558,27.2,NaN,NaN,1185,31.8,341,60.7,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,983,36.0,NaN,NaN,879,38.4,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,535,49.3,535,49.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,292,68.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,3818,16.8,1366,31.8,1622,28.2,340,64.1,190,86.6,300,68.1
