attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,39875,2.1,6689,13.0,17361,6.7,3705,18.1,6675,12.7,5444,14.6
sexMale,19869,6.1,2885,20.7,8562,11.0,1021,35.8,4322,16.4,3079,19.8
sexFemale,20006,6.0,3805,17.8,8799,10.7,2683,21.4,2353,22.4,2365,23.1
age25_44,13556,8.6,1077,37.9,5599,14.6,1463,30.7,2904,20.8,2513,22.6
age45_64,16407,7.0,2740,21.3,7463,11.8,1251,31.5,2832,20.2,2120,24.1
age65+,9912,9.6,2872,19.8,4299,15.7,991,34.3,940,34.9,810,37.5
citizenSwiss,33000,3.1,4607,15.4,15464,7.2,2668,20.9,6101,13.3,4160,16.5
citizenUE28_AELE,4649,16.6,888,39.3,1514,29.9,782,43.1,486,53.5,979,37.8
citizenOtherEuropeanCountries,1425,34.0,757,47.0,257,78.9,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,801,43.3,437,58.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,28880,3.9,3983,16.6,13848,7.9,2269,22.7,5563,14.0,3217,19.1
migratoryBackgroundSwissWith,3918,16.9,624,44.1,1516,28.0,296,64.3,538,48.1,943,35.5
migratoryBackgroundFirstGeneration,6531,14.1,1963,27.4,1744,28.2,1037,37.7,536,51.7,1251,34.1
migratoryBackgroundSecondGenerationAndMore,344,64.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,202,79.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,25894,4.7,2629,22.1,11232,9.3,2157,24.3,5560,14.2,4317,16.7
labourMarketUnemployedPersons,1058,36.4,215,86.7,587,48.3,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,12922,8.2,3845,17.4,5542,13.8,1430,29.2,1052,33.4,1052,34.0
socioprofessionalCategoriesExecutives,1186,32.3,NaN,NaN,536,48.1,NaN,NaN,296,64.3,242,73.2
socioprofessionalCategoriesLiberalAndSimilar,503,49.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,503,49.8
socioprofessionalCategoriesOtherSelfEmployed,2903,19.9,491,49.7,1426,29.0,206,79.0,681,41.9,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,3334,19.1,NaN,NaN,324,64.4,NaN,NaN,235,72.9,2632,21.6
socioprofessionalCategoriesIntermediate,7131,12.4,197,78.8,1883,25.6,356,58.1,4151,16.9,545,50.0
socioprofessionalCategoriesSkilledNonManuals,5449,14.4,NaN,NaN,4441,16.0,933,37.7,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,2371,23.3,NaN,NaN,1986,25.4,309,68.7,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1148,34.7,1148,34.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1870,26.0,568,48.4,637,44.1,172,87.0,197,78.8,295,69.2
socioprofessionalCategoriesUnemployedOrNotWorking,13981,7.9,4060,17.0,6129,13.1,1548,28.2,1116,32.4,1127,32.9
