attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,753347,0.4,137020,2.7,312099,1.5,73660,3.8,115087,3.0,115481,2.9
sexMale,366037,1.4,49246,4.9,152754,2.5,25849,6.7,74279,3.8,63909,4.0
sexFemale,387310,1.3,87774,3.5,159345,2.4,47811,4.8,40808,5.2,51571,4.4
age25_44,266771,1.8,31979,6.4,98336,3.4,27563,6.6,44484,5.1,64409,4.0
age45_64,289899,1.6,46407,5.0,128688,2.8,26970,6.5,49431,4.7,38403,5.2
age65+,196677,2.1,58633,4.2,85074,3.4,19127,7.5,21173,7.1,12669,9.0
citizenSwiss,636051,0.6,94458,3.3,286687,1.6,61032,4.2,104867,3.1,89007,3.3
citizenUE28_AELE,75318,4.0,19813,8.1,18752,8.4,8455,12.6,8145,12.7,20152,7.6
citizenOtherEuropeanCountries,19134,8.3,10970,11.1,3306,20.2,1987,25.5,1056,35.7,1815,27.0
citizenOtherWorldwideCountries,22757,7.7,11738,10.9,3353,20.4,2140,25.2,1019,37.1,4507,17.1
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,567701,0.8,77017,3.7,265167,1.7,52788,4.5,96679,3.2,76051,3.6
migratoryBackgroundSwissWith,65236,4.0,16762,8.1,20083,7.4,7913,11.7,7790,12.0,12688,9.1
migratoryBackgroundFirstGeneration,108314,3.3,40816,5.6,21110,8.0,11860,10.6,8928,12.2,25600,6.8
migratoryBackgroundSecondGenerationAndMore,8093,13.0,1192,34.4,4191,18.2,725,43.2,1219,33.4,766,40.5
migratoryBackgroundUnknown,4003,17.4,1233,32.6,1548,27.4,375,55.9,472,50.9,376,54.2
labourMarketEmployedPersons,479582,1.1,53173,4.7,197987,2.2,45239,5.0,88833,3.5,94351,3.2
labourMarketUnemployedPersons,19806,7.9,4713,17.2,7036,13.3,2812,21.5,2062,24.3,3181,19.0
labourMarketPersonsWithoutProfessionalActivity,253959,1.8,79134,3.7,107075,3.0,25609,6.5,24192,6.7,17948,7.9
socioprofessionalCategoriesExecutives,16667,8.3,1395,30.1,4381,16.5,1330,30.5,4948,15.3,4613,15.2
socioprofessionalCategoriesLiberalAndSimilar,7975,11.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7975,11.7
socioprofessionalCategoriesOtherSelfEmployed,41062,5.2,3865,17.3,20081,7.6,3273,18.8,12091,9.8,1753,25.6
socioprofessionalCategoriesIntellectualAndManagerial,70937,3.8,399,57.4,3205,19.4,1067,33.5,4722,15.7,61544,4.0
socioprofessionalCategoriesIntermediate,135284,2.7,5660,14.9,36176,5.7,13075,9.5,64879,4.1,15493,8.4
socioprofessionalCategoriesSkilledNonManuals,105338,3.2,789,38.8,86414,3.5,18135,8.0,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,44982,5.2,1590,28.0,38385,5.6,5006,15.9,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,31495,6.2,31495,6.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1450,30.1,359,59.8,630,45.4,264,74.0,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,24391,7.0,7620,12.9,8716,11.8,3087,19.9,2083,23.5,2886,19.3
socioprofessionalCategoriesUnemployedOrNotWorking,273765,1.7,83847,3.6,114111,2.9,28421,6.2,26255,6.4,21130,7.2
