attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.004,0.1819,0.027,0.4143,0.015,0.0978,0.038,0.1528,0.03,0.1533,0.029
sexMale,1.0,0.014,0.1345,0.049,0.4173,0.025,0.0706,0.067,0.2029,0.038,0.1746,0.04
sexFemale,1.0,0.013,0.2266,0.035,0.4114,0.024,0.1234,0.048,0.1054,0.052,0.1332,0.044
age25_44,1.0,0.018,0.1199,0.064,0.3686,0.034,0.1033,0.066,0.1667,0.051,0.2414,0.04
age45_64,1.0,0.016,0.1601,0.05,0.4439,0.028,0.093,0.065,0.1705,0.047,0.1325,0.052
age65+,1.0,0.021,0.2981,0.042,0.4326,0.034,0.0973,0.075,0.1077,0.071,0.0644,0.09
citizenSwiss,1.0,0.006,0.1485,0.033,0.4507,0.016,0.096,0.042,0.1649,0.031,0.1399,0.033
citizenUE28_AELE,1.0,0.04,0.2631,0.081,0.249,0.084,0.1123,0.126,0.1081,0.127,0.2676,0.076
citizenOtherEuropeanCountries,1.0,0.083,0.5733,0.111,0.1728,0.202,0.1038,0.255,0.0552,0.357,0.0949,0.27
citizenOtherWorldwideCountries,1.0,0.077,0.5158,0.109,0.1473,0.204,0.094,0.252,0.0448,0.371,0.198,0.171
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.008,0.1357,0.037,0.4671,0.017,0.093,0.045,0.1703,0.032,0.134,0.036
migratoryBackgroundSwissWith,1.0,0.04,0.2569,0.081,0.3079,0.074,0.1213,0.117,0.1194,0.12,0.1945,0.091
migratoryBackgroundFirstGeneration,1.0,0.033,0.3768,0.056,0.1949,0.08,0.1095,0.106,0.0824,0.122,0.2363,0.068
migratoryBackgroundSecondGenerationAndMore,1.0,0.13,0.1473,0.344,0.5179,0.182,0.0896,0.432,0.1506,0.334,0.0946,0.405
migratoryBackgroundUnknown,1.0,0.174,0.308,0.326,0.3867,0.274,0.0937,0.559,0.1179,0.509,0.0939,0.542
labourMarketEmployedPersons,1.0,0.011,0.1109,0.047,0.4128,0.022,0.0943,0.05,0.1852,0.035,0.1967,0.032
labourMarketUnemployedPersons,1.0,0.079,0.238,0.172,0.3552,0.133,0.142,0.215,0.1041,0.243,0.1606,0.19
labourMarketPersonsWithoutProfessionalActivity,1.0,0.018,0.3116,0.037,0.4216,0.03,0.1008,0.065,0.0953,0.067,0.0707,0.079
socioprofessionalCategoriesExecutives,1.0,0.083,0.0837,0.301,0.2629,0.165,0.0798,0.305,0.2969,0.153,0.2768,0.152
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.117
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.052,0.0941,0.173,0.489,0.076,0.0797,0.188,0.2945,0.098,0.0427,0.256
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.038,0.0056,0.574,0.0452,0.194,0.015,0.335,0.0666,0.157,0.8676,0.04
socioprofessionalCategoriesIntermediate,1.0,0.027,0.0418,0.149,0.2674,0.057,0.0966,0.095,0.4796,0.041,0.1145,0.084
socioprofessionalCategoriesSkilledNonManuals,1.0,0.032,0.0075,0.388,0.8203,0.035,0.1722,0.08,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.052,0.0353,0.28,0.8533,0.056,0.1113,0.159,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.062,1.0,0.062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1.0,0.301,0.2476,0.598,0.4345,0.454,0.1821,0.74,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.07,0.3124,0.129,0.3573,0.118,0.1266,0.199,0.0854,0.235,0.1183,0.193
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.017,0.3063,0.036,0.4168,0.029,0.1038,0.062,0.0959,0.064,0.0772,0.072
