attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,213651,0.9,33830,5.8,86839,3.0,22516,7.2,31236,5.9,39231,5.2
sexMale,103464,2.7,12520,10.4,42553,5.0,8441,12.5,18400,8.0,21549,7.4
sexFemale,110187,2.5,21310,7.4,44286,4.8,14074,9.1,12835,9.6,17682,8.1
age25_44,69030,3.9,7230,14.4,24764,7.1,8122,13.0,10859,10.9,18056,8.3
age45_64,84306,3.1,10978,10.9,36054,5.4,7585,12.7,14474,8.9,15214,8.6
age65+,60315,3.8,15622,8.5,26020,6.3,6809,12.9,5902,13.9,5961,13.9
citizenSwiss,166341,1.5,20804,7.3,75696,3.3,16599,8.3,26669,6.4,26573,6.4
citizenUE28_AELE,30511,6.2,6152,14.6,7914,12.8,3971,18.5,3436,19.7,9038,11.9
citizenOtherEuropeanCountries,9805,12.8,4472,19.1,2413,25.9,1381,34.3,585,54.1,955,41.4
citizenOtherWorldwideCountries,6994,14.5,2402,26.0,817,44.4,565,50.6,546,52.5,2664,22.6
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,132010,2.0,14753,8.8,62873,3.8,12522,9.7,22440,7.0,19422,7.6
migratoryBackgroundSwissWith,32809,5.7,5574,14.7,12012,9.9,4046,17.2,4188,17.0,6990,13.1
migratoryBackgroundFirstGeneration,41387,5.4,12067,10.9,8516,12.8,5093,16.7,3478,20.2,12233,10.3
migratoryBackgroundSecondGenerationAndMore,5776,15.1,849,40.5,2627,22.5,823,40.7,1052,35.6,425,53.7
migratoryBackgroundUnknown,1669,28.2,588,49.5,811,39.5,NaN,NaN,NaN,NaN,162,86.6
labourMarketEmployedPersons,127965,2.2,10858,11.1,51804,4.4,12807,9.9,22952,7.0,29544,6.1
labourMarketUnemployedPersons,5215,16.5,1088,38.6,1733,28.0,635,49.0,808,41.5,951,38.0
labourMarketPersonsWithoutProfessionalActivity,80470,3.2,21884,7.3,33302,5.6,9074,11.4,7475,12.6,8736,11.9
socioprofessionalCategoriesExecutives,5982,14.2,318,69.9,1516,28.5,370,58.5,1399,29.4,2379,22.4
socioprofessionalCategoriesLiberalAndSimilar,2752,20.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2752,20.8
socioprofessionalCategoriesOtherSelfEmployed,11362,10.4,899,38.2,5933,14.5,1307,31.9,2548,22.1,675,43.5
socioprofessionalCategoriesIntellectualAndManagerial,21187,7.3,NaN,NaN,736,41.4,448,53.9,1649,27.0,18321,8.0
socioprofessionalCategoriesIntermediate,36576,5.5,1775,27.8,10222,11.0,3089,20.0,16971,8.3,4519,17.0
socioprofessionalCategoriesSkilledNonManuals,30819,6.0,NaN,NaN,24718,6.8,5973,14.5,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,8246,12.7,174,86.5,7029,13.7,1043,38.6,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,6235,14.8,6235,14.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,4649,17.0,1298,33.1,1535,28.8,532,52.8,385,55.9,899,39.8
socioprofessionalCategoriesUnemployedOrNotWorking,85686,3.1,22973,7.2,35035,5.4,9709,11.1,8283,12.0,9686,11.3
