attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.009,0.1583,0.058,0.4065,0.03,0.1054,0.072,0.1462,0.059,0.1836,0.052
sexMale,1.0,0.027,0.121,0.104,0.4113,0.05,0.0816,0.125,0.1778,0.08,0.2083,0.074
sexFemale,1.0,0.025,0.1934,0.074,0.4019,0.048,0.1277,0.091,0.1165,0.096,0.1605,0.081
age25_44,1.0,0.039,0.1047,0.144,0.3587,0.071,0.1177,0.13,0.1573,0.109,0.2616,0.083
age45_64,1.0,0.031,0.1302,0.109,0.4277,0.054,0.09,0.127,0.1717,0.089,0.1805,0.086
age65+,1.0,0.038,0.259,0.085,0.4314,0.063,0.1129,0.129,0.0979,0.139,0.0988,0.139
citizenSwiss,1.0,0.015,0.1251,0.073,0.4551,0.033,0.0998,0.083,0.1603,0.064,0.1598,0.064
citizenUE28_AELE,1.0,0.062,0.2016,0.146,0.2594,0.128,0.1301,0.185,0.1126,0.197,0.2962,0.119
citizenOtherEuropeanCountries,1.0,0.128,0.4561,0.191,0.2461,0.259,0.1408,0.343,0.0597,0.541,0.0974,0.414
citizenOtherWorldwideCountries,1.0,0.145,0.3434,0.26,0.1168,0.444,0.0808,0.506,0.0781,0.525,0.3809,0.226
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.02,0.1118,0.088,0.4763,0.038,0.0949,0.097,0.17,0.07,0.1471,0.076
migratoryBackgroundSwissWith,1.0,0.057,0.1699,0.147,0.3661,0.099,0.1233,0.172,0.1276,0.17,0.2131,0.131
migratoryBackgroundFirstGeneration,1.0,0.054,0.2916,0.109,0.2058,0.128,0.1231,0.167,0.084,0.202,0.2956,0.103
migratoryBackgroundSecondGenerationAndMore,1.0,0.151,0.147,0.405,0.4548,0.225,0.1425,0.407,0.1821,0.356,0.0736,0.537
migratoryBackgroundUnknown,1.0,0.282,0.3523,0.495,0.4859,0.395,NaN,NaN,NaN,NaN,0.0971,0.866
labourMarketEmployedPersons,1.0,0.022,0.0849,0.111,0.4048,0.044,0.1001,0.099,0.1794,0.07,0.2309,0.061
labourMarketUnemployedPersons,1.0,0.165,0.2086,0.386,0.3323,0.28,0.1218,0.49,0.1549,0.415,0.1824,0.38
labourMarketPersonsWithoutProfessionalActivity,1.0,0.032,0.272,0.073,0.4138,0.056,0.1128,0.114,0.0929,0.126,0.1086,0.119
socioprofessionalCategoriesExecutives,1.0,0.142,0.0532,0.699,0.2534,0.285,0.0619,0.585,0.2339,0.294,0.3977,0.224
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.208
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.104,0.0791,0.382,0.5222,0.145,0.115,0.319,0.2243,0.221,0.0594,0.435
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.073,NaN,NaN,0.0347,0.414,0.0211,0.539,0.0778,0.27,0.8647,0.08
socioprofessionalCategoriesIntermediate,1.0,0.055,0.0485,0.278,0.2795,0.11,0.0845,0.2,0.464,0.083,0.1236,0.17
socioprofessionalCategoriesSkilledNonManuals,1.0,0.06,NaN,NaN,0.802,0.068,0.1938,0.145,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.127,0.0211,0.865,0.8524,0.137,0.1265,0.386,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.148,1.0,0.148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.17,0.2792,0.331,0.3302,0.288,0.1144,0.528,0.0828,0.559,0.1934,0.398
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.031,0.2681,0.072,0.4089,0.054,0.1133,0.111,0.0967,0.12,0.113,0.113
