attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,145761,1.0,28493,6.4,38362,5.1,14961,9.1,15696,8.6,48250,4.5
sexMale,69611,3.4,11576,10.8,19780,7.7,6611,14.4,7609,12.7,24036,7.0
sexFemale,76150,3.0,16918,8.5,18582,7.8,8350,12.2,8087,12.3,24214,6.8
age25_44,58925,3.9,7829,13.5,10436,11.1,6252,15.0,5439,15.4,28969,6.3
age45_64,50873,4.2,9648,11.6,15137,8.7,4801,16.2,6705,13.5,14582,9.0
age65+,35963,5.3,11016,10.7,12789,9.5,3908,17.8,3552,18.5,4698,16.2
citizenSwiss,93716,2.3,14273,9.0,31553,5.6,10127,10.8,12252,9.6,25510,6.4
citizenUE28_AELE,34236,5.9,6160,15.3,4718,17.5,3159,21.5,2447,24.0,17752,8.6
citizenOtherEuropeanCountries,10007,12.3,5863,16.2,1514,33.3,803,44.8,442,61.5,1384,33.8
citizenOtherWorldwideCountries,7802,13.6,2197,26.1,576,48.5,872,42.5,554,52.1,3602,20.2
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,69270,3.1,8621,11.8,24551,6.5,6776,13.5,9867,10.8,19455,7.5
migratoryBackgroundSwissWith,23809,6.6,5460,14.8,6695,13.4,3281,19.3,2385,22.7,5988,14.2
migratoryBackgroundFirstGeneration,49230,4.7,13615,10.2,5615,16.2,4580,18.1,3247,21.1,22173,7.6
migratoryBackgroundSecondGenerationAndMore,2815,23.0,606,52.1,1193,35.4,254,73.2,196,87.1,566,50.2
migratoryBackgroundUnknown,637,44.4,192,79.0,307,64.5,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,89213,2.6,10024,11.5,20307,7.5,8528,12.4,11066,10.4,39287,5.1
labourMarketUnemployedPersons,5924,15.2,1488,32.0,1631,28.8,739,43.4,209,79.0,1857,27.3
labourMarketPersonsWithoutProfessionalActivity,50624,4.2,16980,8.5,16423,8.3,5693,14.9,4421,16.7,7106,13.5
socioprofessionalCategoriesExecutives,3227,20.1,324,64.5,299,64.5,284,68.7,625,46.0,1696,27.9
socioprofessionalCategoriesLiberalAndSimilar,2389,23.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2389,23.0
socioprofessionalCategoriesOtherSelfEmployed,6038,14.6,850,40.4,2094,25.0,818,39.5,1140,33.1,1136,35.0
socioprofessionalCategoriesIntellectualAndManagerial,26259,6.6,NaN,NaN,288,68.8,228,79.9,712,43.4,24997,6.8
socioprofessionalCategoriesIntermediate,22327,7.2,886,39.6,3575,19.0,2305,24.5,8184,12.3,7377,13.2
socioprofessionalCategoriesSkilledNonManuals,13370,9.5,NaN,NaN,9705,11.2,3559,19.4,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,4170,17.9,NaN,NaN,3378,19.8,641,47.2,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,6079,15.0,6079,15.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,328,64.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,5024,16.6,1447,31.4,932,37.3,623,49.0,404,56.0,1618,30.1
socioprofessionalCategoriesUnemployedOrNotWorking,56548,3.9,18469,8.2,18054,7.9,6433,14.0,4629,16.3,8963,12.0
