attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.01,0.1955,0.064,0.2632,0.051,0.1026,0.091,0.1077,0.086,0.331,0.045
sexMale,1.0,0.034,0.1663,0.108,0.2842,0.077,0.095,0.144,0.1093,0.127,0.3453,0.07
sexFemale,1.0,0.03,0.2222,0.085,0.244,0.078,0.1097,0.122,0.1062,0.123,0.318,0.068
age25_44,1.0,0.039,0.1329,0.135,0.1771,0.111,0.1061,0.15,0.0923,0.154,0.4916,0.063
age45_64,1.0,0.042,0.1896,0.116,0.2975,0.087,0.0944,0.162,0.1318,0.135,0.2866,0.09
age65+,1.0,0.053,0.3063,0.107,0.3556,0.095,0.1087,0.178,0.0988,0.185,0.1306,0.162
citizenSwiss,1.0,0.023,0.1523,0.09,0.3367,0.056,0.1081,0.108,0.1307,0.096,0.2722,0.064
citizenUE28_AELE,1.0,0.059,0.1799,0.153,0.1378,0.175,0.0923,0.215,0.0715,0.24,0.5185,0.086
citizenOtherEuropeanCountries,1.0,0.123,0.5859,0.162,0.1513,0.333,0.0802,0.448,0.0442,0.615,0.1383,0.338
citizenOtherWorldwideCountries,1.0,0.136,0.2816,0.261,0.0738,0.485,0.1118,0.425,0.071,0.521,0.4617,0.202
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.031,0.1245,0.118,0.3544,0.065,0.0978,0.135,0.1424,0.108,0.2809,0.075
migratoryBackgroundSwissWith,1.0,0.066,0.2293,0.148,0.2812,0.134,0.1378,0.193,0.1002,0.227,0.2515,0.142
migratoryBackgroundFirstGeneration,1.0,0.047,0.2766,0.102,0.1141,0.162,0.093,0.181,0.066,0.211,0.4504,0.076
migratoryBackgroundSecondGenerationAndMore,1.0,0.23,0.2153,0.521,0.4238,0.354,0.0902,0.732,0.0696,0.871,0.2011,0.502
migratoryBackgroundUnknown,1.0,0.444,0.3014,0.79,0.4819,0.645,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,1.0,0.026,0.1124,0.115,0.2276,0.075,0.0956,0.124,0.124,0.104,0.4404,0.051
labourMarketUnemployedPersons,1.0,0.152,0.2512,0.32,0.2753,0.288,0.1247,0.434,0.0353,0.79,0.3135,0.273
labourMarketPersonsWithoutProfessionalActivity,1.0,0.042,0.3354,0.085,0.3244,0.083,0.1125,0.149,0.0873,0.167,0.1404,0.135
socioprofessionalCategoriesExecutives,1.0,0.201,0.1004,0.645,0.0927,0.645,0.088,0.687,0.1937,0.46,0.5256,0.279
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.23
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.146,0.1408,0.404,0.3468,0.25,0.1355,0.395,0.1888,0.331,0.1881,0.35
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.066,NaN,NaN,0.011,0.688,0.0087,0.799,0.0271,0.434,0.9519,0.068
socioprofessionalCategoriesIntermediate,1.0,0.072,0.0397,0.396,0.1601,0.19,0.1032,0.245,0.3666,0.123,0.3304,0.132
socioprofessionalCategoriesSkilledNonManuals,1.0,0.095,NaN,NaN,0.7259,0.112,0.2662,0.194,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.179,NaN,NaN,0.8101,0.198,0.1537,0.472,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.15,1.0,0.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1.0,0.645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.166,0.288,0.314,0.1855,0.373,0.124,0.49,0.0804,0.56,0.3221,0.301
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.039,0.3266,0.082,0.3193,0.079,0.1138,0.14,0.0819,0.163,0.1585,0.12
