attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,215650,0.9,57999,4.1,68848,3.6,21313,7.3,29120,6.1,38370,5.3
sexMale,107263,2.6,23561,7.0,36391,5.4,7751,12.6,19252,7.7,20309,7.5
sexFemale,108387,2.5,34439,5.6,32457,5.6,13563,9.2,9868,10.8,18061,8.1
age25_44,85543,3.2,15527,9.1,24447,6.8,10465,10.9,11911,10.0,23193,7.1
age45_64,85505,3.0,22039,7.2,31624,5.7,7065,12.8,12795,9.5,11983,9.9
age65+,44602,4.7,20433,7.4,12777,9.4,3784,17.6,4414,16.3,3193,19.3
citizenSwiss,169446,1.5,36651,5.2,62328,3.8,16509,8.2,25265,6.5,28693,6.1
citizenUE28_AELE,34195,5.9,14925,9.4,5256,15.9,3231,20.6,2992,20.9,7791,13.1
citizenOtherEuropeanCountries,6045,15.3,3662,19.6,783,43.4,880,40.4,183,86.7,538,53.8
citizenOtherWorldwideCountries,5963,15.1,2762,22.6,480,54.3,693,44.6,680,44.7,1348,31.6
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,149631,1.8,31817,5.7,56941,4.0,14374,8.8,22213,7.0,24285,6.7
migratoryBackgroundSwissWith,19134,7.6,4766,15.6,5062,15.1,2041,24.1,2985,19.8,4280,16.6
migratoryBackgroundFirstGeneration,43943,5.2,20890,7.9,5845,15.2,4377,17.7,3453,19.5,9378,12.0
migratoryBackgroundSecondGenerationAndMore,2074,25.8,307,68.6,675,44.3,427,58.6,367,61.3,298,68.4
migratoryBackgroundUnknown,868,38.0,219,79.7,325,61.1,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,144026,1.9,26153,6.7,48482,4.5,14063,9.2,23857,6.8,31471,5.9
labourMarketUnemployedPersons,7424,13.1,2452,23.0,1855,25.9,980,37.4,642,44.5,1495,29.9
labourMarketPersonsWithoutProfessionalActivity,64200,3.7,29395,6.1,18511,7.7,6270,13.7,4621,15.9,5404,15.1
socioprofessionalCategoriesExecutives,6571,13.5,416,55.9,1206,31.7,308,64.4,2254,23.0,2388,22.6
socioprofessionalCategoriesLiberalAndSimilar,2128,23.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2128,23.7
socioprofessionalCategoriesOtherSelfEmployed,11974,9.9,2257,23.8,5191,15.2,1330,30.2,2707,21.1,489,51.8
socioprofessionalCategoriesIntellectualAndManagerial,24011,6.9,NaN,NaN,1278,30.9,417,53.5,1426,29.1,20759,7.4
socioprofessionalCategoriesIntermediate,38261,5.2,2790,21.3,9436,11.2,4289,16.7,16833,8.2,4913,16.0
socioprofessionalCategoriesSkilledNonManuals,27792,6.2,362,58.5,21596,7.1,5834,14.5,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,10098,11.0,1002,35.9,7982,12.3,1114,34.2,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,17099,8.4,17099,8.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,490,51.8,NaN,NaN,234,73.2,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,5602,14.7,1985,25.2,1559,27.6,660,43.3,637,44.5,760,40.9
socioprofessionalCategoriesUnemployedOrNotWorking,71624,3.5,31846,5.8,20365,7.3,7250,12.8,5263,15.0,6899,13.4
