attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.009,0.2649,0.041,0.3272,0.035,0.092,0.075,0.1276,0.062,0.1883,0.051
sexMale,1.0,0.026,0.2154,0.07,0.3463,0.053,0.0709,0.127,0.1678,0.079,0.1997,0.073
sexFemale,1.0,0.025,0.3138,0.055,0.3083,0.055,0.113,0.096,0.0878,0.11,0.1771,0.077
age25_44,1.0,0.032,0.1748,0.093,0.3038,0.067,0.1086,0.116,0.1318,0.104,0.2811,0.07
age45_64,1.0,0.03,0.268,0.069,0.3662,0.057,0.0801,0.128,0.1337,0.098,0.152,0.092
age65+,1.0,0.045,0.4283,0.074,0.2974,0.09,0.0835,0.173,0.1081,0.151,0.0828,0.174
citizenSwiss,1.0,0.015,0.2095,0.053,0.3752,0.037,0.0957,0.083,0.1442,0.066,0.1754,0.06
citizenUE28_AELE,1.0,0.057,0.4457,0.088,0.1513,0.157,0.081,0.214,0.0765,0.22,0.2455,0.122
citizenOtherEuropeanCountries,1.0,0.146,0.5952,0.188,0.2151,0.328,0.0571,0.612,0.0328,0.869,0.1,0.471
citizenOtherWorldwideCountries,1.0,0.155,0.4451,0.234,0.0997,0.49,0.0829,0.537,0.0512,0.685,0.321,0.276
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.018,0.2045,0.058,0.3917,0.04,0.0946,0.09,0.1468,0.071,0.1624,0.068
migratoryBackgroundSwissWith,1.0,0.071,0.2408,0.148,0.2557,0.145,0.1058,0.229,0.1307,0.204,0.2669,0.142
migratoryBackgroundFirstGeneration,1.0,0.05,0.4841,0.075,0.1335,0.15,0.0755,0.198,0.0671,0.211,0.2398,0.11
migratoryBackgroundSecondGenerationAndMore,1.0,0.222,0.1569,0.56,0.4854,0.318,0.1229,0.649,0.0761,0.79,0.1587,0.56
migratoryBackgroundUnknown,1.0,0.338,0.3144,0.618,0.4595,0.482,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,1.0,0.019,0.1863,0.064,0.3436,0.044,0.092,0.094,0.1491,0.072,0.2291,0.057
labourMarketUnemployedPersons,1.0,0.13,0.3483,0.224,0.286,0.244,0.1211,0.381,0.0616,0.517,0.1831,0.311
labourMarketPersonsWithoutProfessionalActivity,1.0,0.037,0.4342,0.062,0.2946,0.076,0.0888,0.143,0.0863,0.143,0.0961,0.139
socioprofessionalCategoriesExecutives,1.0,0.141,0.0646,0.584,0.2371,0.291,0.059,0.583,0.2547,0.282,0.3846,0.227
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.229
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.101,0.2308,0.215,0.4398,0.154,0.1028,0.321,0.1858,0.237,0.041,0.517
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.067,NaN,NaN,0.0333,0.378,0.017,0.536,0.0554,0.294,0.8901,0.072
socioprofessionalCategoriesIntermediate,1.0,0.054,0.0824,0.202,0.2584,0.112,0.0952,0.186,0.4338,0.085,0.1302,0.162
socioprofessionalCategoriesSkilledNonManuals,1.0,0.06,0.0125,0.583,0.7842,0.069,0.2034,0.143,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.109,0.066,0.432,0.8171,0.121,0.1168,0.331,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.082,1.0,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1.0,0.559,0.5169,0.791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.128,0.34,0.224,0.2564,0.252,0.1032,0.403,0.0991,0.405,0.2013,0.296
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.034,0.4252,0.059,0.2937,0.072,0.0922,0.133,0.0837,0.138,0.1052,0.126
