attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,330167,0.5,84154,2.5,62795,2.9,35283,4.1,33701,4.2,114234,2.1
sexMale,156764,1.6,36491,4.2,32018,4.3,14105,6.9,17915,5.9,56234,3.3
sexFemale,173403,1.4,47662,3.5,30777,4.3,21179,5.4,15786,6.2,57999,3.1
age25_44,132521,1.9,25973,5.2,19303,5.9,14792,6.9,10533,8.1,61919,3.1
age45_64,122207,1.9,33354,4.3,25590,4.8,12737,7.0,13839,6.7,36686,4.0
age65+,75439,2.5,24826,4.8,17901,5.6,7754,8.7,9329,7.9,15628,6.1
citizenSwiss,203752,1.2,36922,3.9,49522,3.3,24582,4.9,25644,4.8,67082,2.8
citizenUE28_AELE,90654,2.5,32961,4.4,10590,8.0,7274,9.8,6180,10.6,33649,4.5
citizenOtherEuropeanCountries,9394,8.7,4459,12.8,673,33.6,886,28.1,377,44.0,3000,15.6
citizenOtherWorldwideCountries,26321,5.3,9767,8.9,2009,19.7,2542,17.7,1500,22.9,10503,8.6
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,114143,1.9,17295,5.8,33102,4.1,13168,6.8,15950,6.1,34628,4.1
migratoryBackgroundSwissWith,88613,2.3,19310,5.5,16197,6.1,11311,7.4,9514,8.0,32281,4.2
migratoryBackgroundFirstGeneration,119085,2.1,45877,3.7,10883,8.0,9731,8.6,7208,9.9,45385,3.8
migratoryBackgroundSecondGenerationAndMore,7103,10.0,1239,24.4,2389,17.1,920,28.2,827,29.1,1728,20.6
migratoryBackgroundUnknown,1224,23.3,433,38.6,224,53.0,153,68.6,203,57.7,211,57.7
labourMarketEmployedPersons,197763,1.3,39123,4.0,35584,4.1,19305,5.8,20246,5.6,83506,2.6
labourMarketUnemployedPersons,21317,5.7,6484,10.6,3459,14.1,2733,16.0,1846,19.5,6794,10.3
labourMarketPersonsWithoutProfessionalActivity,111087,2.0,38547,3.8,23752,4.9,13245,6.8,11610,7.1,23934,5.0
socioprofessionalCategoriesExecutives,11141,7.6,1067,25.1,1245,22.8,621,32.5,1200,23.1,7008,9.6
socioprofessionalCategoriesLiberalAndSimilar,7464,9.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7464,9.3
socioprofessionalCategoriesOtherSelfEmployed,13399,6.9,3226,14.6,3750,13.1,1668,20.0,2602,15.7,2153,17.8
socioprofessionalCategoriesIntellectualAndManagerial,51170,3.4,789,29.7,1189,23.3,905,27.7,1117,24.5,47169,3.6
socioprofessionalCategoriesIntermediate,44751,3.7,4519,12.3,5664,10.7,3838,13.3,14517,6.6,16214,6.5
socioprofessionalCategoriesSkilledNonManuals,27503,4.7,571,34.5,17165,6.1,9768,8.2,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,7153,9.7,870,28.3,4778,11.9,1505,21.7,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,24360,5.2,24360,5.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,811,31.2,384,45.2,NaN,NaN,150,72.4,NaN,NaN,175,68.3
socioprofessionalCategoriesNotAttributable,10011,8.2,3338,14.5,1708,19.7,851,28.3,792,29.2,3322,14.6
socioprofessionalCategoriesUnemployedOrNotWorking,132404,1.8,45031,3.6,27211,4.6,15978,6.2,13456,6.7,30728,4.5
