attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,29175,2.6,7474,11.7,13674,7.7,1920,26.0,3654,18.0,2453,23.0
sexMale,14942,7.5,3162,20.3,7226,12.7,824,42.0,2342,23.4,1389,31.9
sexFemale,14233,7.0,4312,15.8,6448,12.3,1096,33.8,1312,30.0,1063,34.4
age25_44,10363,10.2,1709,28.7,5269,15.6,786,43.2,1205,33.8,1393,31.9
age45_64,11550,8.3,2858,20.1,5229,14.1,822,39.2,1835,25.4,806,39.1
age65+,7262,11.8,2907,20.1,3176,19.1,312,64.2,613,46.5,253,72.9
citizenSwiss,22589,4.3,4576,15.4,11686,8.5,1263,31.8,3059,19.7,2004,25.2
citizenUE28_AELE,3998,17.8,1566,29.0,1344,32.4,313,68.9,434,55.6,341,64.3
citizenOtherEuropeanCountries,1948,27.8,933,38.6,569,56.9,315,68.3,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,640,48.8,399,61.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,19694,5.2,3923,16.9,10432,9.3,976,36.2,2653,21.4,1710,27.7
migratoryBackgroundSwissWith,2797,20.5,587,45.2,1224,32.3,287,68.5,405,55.6,294,64.2
migratoryBackgroundFirstGeneration,5763,14.8,2795,21.6,1493,32.4,541,51.8,486,53.7,448,58.7
migratoryBackgroundSecondGenerationAndMore,671,45.5,NaN,NaN,410,58.5,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,250,73.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,18474,5.9,3023,20.4,9371,10.4,1108,34.4,2820,20.7,2152,24.6
labourMarketUnemployedPersons,888,40.1,344,64.4,285,68.4,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,9813,9.6,4108,16.5,4018,16.7,642,45.4,745,41.8,301,68.7
socioprofessionalCategoriesExecutives,608,46.7,NaN,NaN,184,86.6,NaN,NaN,172,86.5,217,79.0
socioprofessionalCategoriesLiberalAndSimilar,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesOtherSelfEmployed,1682,27.4,288,68.4,843,39.2,NaN,NaN,407,55.7,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,1613,28.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1379,30.9
socioprofessionalCategoriesIntermediate,5209,15.0,445,56.4,2039,25.5,344,61.1,2040,24.7,342,65.4
socioprofessionalCategoriesSkilledNonManuals,3978,17.3,NaN,NaN,3475,18.6,504,51.7,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,2399,23.8,NaN,NaN,2204,24.9,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1748,27.1,1748,27.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1124,33.8,459,53.6,495,51.5,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,10701,9.1,4451,15.9,4303,16.1,813,41.1,834,40.0,301,68.7
