attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,147339,1.0,31228,5.8,60908,3.6,15227,8.7,19710,7.4,20266,7.4
sexMale,73151,3.1,11039,10.7,30929,5.7,6373,14.1,13076,9.3,11735,10.0
sexFemale,74188,3.0,20190,7.3,29979,5.8,8854,11.5,6634,13.4,8531,11.8
age25_44,50035,4.3,6373,14.3,18568,7.8,5720,15.1,8642,11.7,10732,10.5
age45_64,58648,3.7,11607,10.2,26813,6.2,5708,14.4,7940,12.2,6580,13.6
age65+,38656,4.9,13248,9.2,15528,8.4,3799,17.6,3128,19.4,2954,20.2
citizenSwiss,119769,1.7,20971,7.1,54507,3.9,11801,9.8,17732,7.8,14757,8.7
citizenUE28_AELE,22584,7.3,7819,13.0,5348,15.7,2966,21.8,1709,28.4,4742,16.8
citizenOtherEuropeanCountries,2657,22.9,1366,32.4,604,48.5,280,68.3,NaN,NaN,337,65.2
citizenOtherWorldwideCountries,2330,24.4,1072,36.3,449,56.5,179,86.4,199,79.3,431,56.7
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,106419,2.0,17795,7.8,49567,4.1,10222,10.6,16071,8.3,12763,9.4
migratoryBackgroundSwissWith,12911,9.3,3110,19.5,4671,15.8,1548,27.8,1589,27.5,1994,24.6
migratoryBackgroundFirstGeneration,26310,6.7,10061,11.4,5802,15.2,3160,21.2,1873,27.0,5414,15.7
migratoryBackgroundSecondGenerationAndMore,1212,32.2,196,78.8,551,48.6,265,68.4,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,486,51.9,NaN,NaN,317,64.9,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,95753,2.4,14326,9.2,39581,4.9,9712,11.2,16309,8.3,15825,8.5
labourMarketUnemployedPersons,2435,22.7,651,44.6,927,36.5,235,73.1,227,73.0,395,58.8
labourMarketPersonsWithoutProfessionalActivity,49151,4.2,16252,8.3,20400,7.2,5279,15.0,3173,19.3,4046,17.3
socioprofessionalCategoriesExecutives,5063,15.5,599,49.2,1789,26.0,336,65.7,1370,29.8,968,35.2
socioprofessionalCategoriesLiberalAndSimilar,2030,24.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2030,24.7
socioprofessionalCategoriesOtherSelfEmployed,10468,10.5,869,37.9,5935,14.1,907,36.5,2143,23.6,613,45.6
socioprofessionalCategoriesIntellectualAndManagerial,11265,10.2,NaN,NaN,808,38.6,NaN,NaN,1063,34.2,9198,11.4
socioprofessionalCategoriesIntermediate,25893,6.4,1822,26.9,7711,12.5,2668,21.6,11203,10.2,2489,22.9
socioprofessionalCategoriesSkilledNonManuals,18653,7.7,NaN,NaN,14522,8.8,4037,17.6,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,8828,11.8,744,42.7,7046,13.2,1037,36.5,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,8098,12.3,8098,12.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,5334,15.4,1912,26.4,1770,26.5,595,45.5,530,48.2,527,50.9
socioprofessionalCategoriesUnemployedOrNotWorking,51586,4.0,16903,8.1,21327,7.0,5515,14.7,3401,18.7,4441,16.6
