attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.01,0.1932,0.061,0.4272,0.035,0.1088,0.084,0.1395,0.072,0.1311,0.075
sexMale,1.0,0.031,0.154,0.104,0.4331,0.056,0.0856,0.139,0.1758,0.093,0.1514,0.1
sexFemale,1.0,0.031,0.232,0.081,0.4214,0.057,0.1318,0.109,0.1037,0.123,0.1111,0.12
age25_44,1.0,0.044,0.1223,0.151,0.3777,0.079,0.1209,0.147,0.1702,0.119,0.2087,0.108
age45_64,1.0,0.037,0.1672,0.112,0.4658,0.061,0.1022,0.14,0.1561,0.112,0.1088,0.134
age65+,1.0,0.047,0.3184,0.093,0.4324,0.077,0.1036,0.167,0.0778,0.187,0.0679,0.2
citizenSwiss,1.0,0.016,0.1519,0.077,0.4768,0.037,0.102,0.096,0.1481,0.077,0.1212,0.086
citizenUE28_AELE,1.0,0.072,0.35,0.128,0.2092,0.165,0.1433,0.203,0.11,0.23,0.1875,0.173
citizenOtherEuropeanCountries,1.0,0.261,0.4585,0.388,0.2867,0.485,0.1242,0.733,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,1.0,0.233,0.4937,0.332,0.1891,0.541,0.1049,0.743,0.0743,0.87,0.1376,0.622
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.02,0.1456,0.084,0.4862,0.04,0.0954,0.106,0.1521,0.081,0.1207,0.092
migratoryBackgroundSwissWith,1.0,0.093,0.2068,0.212,0.402,0.151,0.1591,0.242,0.1105,0.287,0.1215,0.275
migratoryBackgroundFirstGeneration,1.0,0.067,0.3732,0.116,0.2044,0.157,0.1386,0.193,0.1023,0.224,0.1814,0.164
migratoryBackgroundSecondGenerationAndMore,1.0,0.319,0.2994,0.586,0.4078,0.504,0.1362,0.868,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,1.0,0.403,NaN,NaN,0.3816,0.645,NaN,NaN,0.2128,0.865,NaN,NaN
labourMarketEmployedPersons,1.0,0.025,0.1307,0.101,0.4237,0.049,0.1066,0.11,0.1755,0.082,0.1635,0.086
labourMarketUnemployedPersons,1.0,0.275,0.3166,0.504,0.2949,0.505,0.1249,0.798,0.1334,0.733,0.1297,0.732
labourMarketPersonsWithoutProfessionalActivity,1.0,0.039,0.2978,0.084,0.438,0.067,0.1122,0.141,0.0772,0.167,0.0748,0.172
socioprofessionalCategoriesExecutives,1.0,0.165,0.0842,0.617,0.2357,0.347,0.1216,0.485,0.2829,0.31,0.2758,0.309
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.294
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.105,0.0789,0.387,0.5516,0.143,0.1188,0.313,0.2142,0.23,0.0364,0.585
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.099,NaN,NaN,0.0694,0.395,0.0296,0.614,0.0867,0.341,0.8108,0.111
socioprofessionalCategoriesIntermediate,1.0,0.063,0.0537,0.306,0.2968,0.122,0.1194,0.196,0.4385,0.1,0.0916,0.233
socioprofessionalCategoriesSkilledNonManuals,1.0,0.076,0.0086,0.863,0.8118,0.085,0.1797,0.192,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.121,0.0243,0.791,0.8819,0.129,0.094,0.412,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.128,1.0,0.128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.184,0.3457,0.32,0.3317,0.314,0.1036,0.59,0.0703,0.684,0.149,0.486
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.038,0.2985,0.083,0.4331,0.066,0.1126,0.139,0.0791,0.163,0.0767,0.167
