attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,
total,51686,1.9,15989,7.8,18278,6.9,5022,15.2,5981,13.8,6416,13.4
sexMale,25130,5.5,6107,14.3,9979,10.3,1831,26.5,4012,17.1,3201,19.7
sexFemale,26556,5.1,9882,10.4,8299,11.3,3191,19.2,1969,24.8,3215,19.3
age25_44,17184,7.7,3523,20.0,6198,13.9,1808,27.3,2353,23.4,3302,19.7
age45_64,20406,6.2,5542,14.3,8310,11.0,1990,24.0,2421,21.6,2142,23.5
age65+,14096,8.3,6924,12.8,3770,17.7,1224,31.5,1207,31.9,972,35.6
citizenSwiss,43857,2.7,11772,9.2,16972,7.2,4401,16.1,5383,14.4,5330,14.6
citizenUE28_AELE,6015,15.0,2946,21.9,1224,33.9,419,61.5,597,49.7,829,41.4
citizenOtherEuropeanCountries,981,41.3,723,48.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,832,43.1,549,53.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,38259,3.4,9746,10.3,15622,7.6,3762,17.5,4542,15.8,4587,15.9
migratoryBackgroundSwissWith,5368,14.3,1994,24.4,1254,30.7,606,44.1,771,39.2,743,40.1
migratoryBackgroundFirstGeneration,6863,14.1,3934,19.2,994,37.7,526,53.7,443,58.2,965,38.9
migratoryBackgroundSecondGenerationAndMore,922,40.2,283,73.2,312,68.3,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,274,68.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,29635,4.7,5728,14.7,11924,9.2,2809,20.8,4523,16.1,4651,16.0
labourMarketUnemployedPersons,1848,26.4,530,50.1,804,39.3,254,73.9,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,20203,6.5,9732,10.6,5550,14.2,1959,24.8,1348,29.9,1614,28.0
socioprofessionalCategoriesExecutives,1631,27.0,NaN,NaN,501,48.1,NaN,NaN,552,46.7,336,61.1
socioprofessionalCategoriesLiberalAndSimilar,432,53.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,432,53.5
socioprofessionalCategoriesOtherSelfEmployed,3052,19.6,620,45.7,1499,28.2,248,69.1,542,46.7,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,3624,18.2,NaN,NaN,165,86.3,NaN,NaN,349,61.1,2973,20.2
socioprofessionalCategoriesIntermediate,6584,13.1,547,46.7,1726,26.5,769,39.4,2845,20.7,697,43.4
socioprofessionalCategoriesSkilledNonManuals,6403,13.2,190,78.9,4933,15.2,1280,31.6,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,2914,20.6,NaN,NaN,2479,22.3,286,69.5,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,3252,20.2,3252,20.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,194,86.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1549,28.8,683,44.6,545,48.3,NaN,NaN,234,73.1,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,22051,6.1,10262,10.2,6354,13.2,2213,23.5,1457,28.8,1765,26.9
