attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,52025,2.0,15755,7.8,18635,6.8,4892,15.4,6261,13.2,6482,13.3
sexMale,25353,5.5,6046,14.4,10403,10.0,1491,29.1,4108,16.5,3304,19.2
sexFemale,26672,5.1,9709,10.3,8231,11.4,3401,18.6,2153,23.6,3178,19.5
age25_44,17247,7.5,3214,21.1,5900,14.0,1824,26.4,2407,22.0,3901,17.6
age45_64,20366,6.6,5437,15.0,8230,11.6,1870,25.7,2976,19.9,1852,26.0
age65+,14412,7.7,7104,11.9,4504,15.3,1198,30.7,878,35.6,728,40.3
citizenSwiss,44263,2.6,11650,9.0,16952,7.1,4316,16.2,5958,13.5,5387,14.4
citizenUE28_AELE,5407,16.2,2485,24.4,1486,32.1,360,64.8,261,73.0,815,43.5
citizenOtherEuropeanCountries,887,45.4,676,51.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,1468,32.6,944,41.3,NaN,NaN,NaN,NaN,NaN,NaN,226,78.8
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,38822,3.3,9803,10.0,15269,7.7,3447,18.2,5462,14.1,4842,15.3
migratoryBackgroundSwissWith,5270,14.4,1813,25.2,1547,27.6,869,37.1,495,49.7,546,46.7
migratoryBackgroundFirstGeneration,6993,14.4,3914,19.7,1325,34.7,523,53.8,266,73.1,965,39.6
migratoryBackgroundSecondGenerationAndMore,769,44.7,191,89.2,358,64.4,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,171,86.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,29439,4.9,5531,15.2,11707,9.4,2661,21.5,4605,15.7,4936,15.5
labourMarketUnemployedPersons,1771,27.3,598,50.4,535,48.2,NaN,NaN,343,61.0,170,86.3
labourMarketPersonsWithoutProfessionalActivity,20815,6.1,9627,10.3,6393,12.9,2106,23.7,1314,29.5,1376,30.1
socioprofessionalCategoriesExecutives,1570,28.0,NaN,NaN,261,68.2,NaN,NaN,493,49.7,589,47.2
socioprofessionalCategoriesLiberalAndSimilar,259,68.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,259,68.3
socioprofessionalCategoriesOtherSelfEmployed,3058,19.9,607,46.9,1893,25.5,232,72.9,292,64.3,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,3610,18.2,NaN,NaN,219,79.3,NaN,NaN,160,86.4,3162,19.5
socioprofessionalCategoriesIntermediate,7252,12.4,403,58.8,1986,24.9,486,52.0,3560,18.0,817,40.3
socioprofessionalCategoriesSkilledNonManuals,5612,14.4,NaN,NaN,4233,16.7,1299,31.2,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,3041,20.1,NaN,NaN,2704,21.4,302,64.3,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,3471,19.4,3471,19.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,256,79.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1310,31.7,659,45.9,373,58.1,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,22586,5.8,10224,10.0,6928,12.3,2232,23.0,1656,26.5,1546,28.3
