attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.018,0.2633,0.084,0.3914,0.063,0.1119,0.136,0.1123,0.136,0.1212,0.133
sexMale,1.0,0.055,0.2065,0.151,0.4429,0.096,0.0774,0.244,0.1439,0.177,0.1293,0.196
sexFemale,1.0,0.049,0.3174,0.111,0.3424,0.105,0.1447,0.17,0.0821,0.227,0.1134,0.191
age25_44,1.0,0.076,0.1632,0.224,0.3919,0.134,0.1003,0.267,0.1194,0.247,0.2251,0.178
age45_64,1.0,0.063,0.2184,0.163,0.4667,0.104,0.1188,0.219,0.1163,0.22,0.0799,0.267
age65+,1.0,0.075,0.4403,0.125,0.2882,0.155,0.1157,0.252,0.0984,0.273,0.0574,0.363
citizenSwiss,1.0,0.026,0.2321,0.098,0.4219,0.067,0.1115,0.148,0.1176,0.144,0.1169,0.146
citizenUE28_AELE,1.0,0.154,0.3415,0.268,0.2982,0.286,0.0924,0.519,0.1058,0.487,0.1619,0.413
citizenOtherEuropeanCountries,1.0,0.426,0.6877,0.523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,1.0,0.286,0.6427,0.368,NaN,NaN,0.1474,0.688,NaN,NaN,0.1474,0.733
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.033,0.2197,0.109,0.4321,0.073,0.1108,0.16,0.1212,0.154,0.1161,0.159
migratoryBackgroundSwissWith,1.0,0.14,0.3041,0.266,0.3482,0.244,0.1217,0.423,0.0986,0.454,0.1275,0.401
migratoryBackgroundFirstGeneration,1.0,0.132,0.4707,0.203,0.188,0.308,0.098,0.424,0.0833,0.473,0.16,0.353
migratoryBackgroundSecondGenerationAndMore,1.0,0.444,NaN,NaN,0.4538,0.647,0.2848,0.865,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,1.0,0.684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,1.0,0.047,0.1434,0.168,0.4528,0.085,0.1024,0.194,0.1357,0.169,0.1656,0.153
labourMarketUnemployedPersons,1.0,0.271,0.3674,0.475,0.312,0.468,0.17,0.648,NaN,NaN,0.1017,0.873
labourMarketPersonsWithoutProfessionalActivity,1.0,0.061,0.427,0.108,0.3099,0.129,0.1202,0.212,0.0841,0.255,0.0588,0.314
socioprofessionalCategoriesExecutives,1.0,0.277,0.1285,0.798,0.3108,0.499,NaN,NaN,0.2654,0.537,0.209,0.611
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.582
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.214,0.094,0.732,0.589,0.283,0.0948,0.684,0.187,0.498,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.169,NaN,NaN,0.0765,0.612,NaN,NaN,0.0627,0.683,0.8452,0.186
socioprofessionalCategoriesIntermediate,1.0,0.13,0.0784,0.504,0.2858,0.253,0.1025,0.41,0.428,0.205,0.1053,0.433
socioprofessionalCategoriesSkilledNonManuals,1.0,0.123,NaN,NaN,0.7899,0.14,0.2053,0.283,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.181,NaN,NaN,0.8841,0.193,0.097,0.586,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.2,1.0,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.529,NaN,NaN,0.4004,0.797,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.058,0.4222,0.105,0.3101,0.123,0.1243,0.201,0.0812,0.248,0.0623,0.295
