attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,288266,0.6,57832,3.2,113987,2.0,26947,4.9,49276,3.4,40224,3.9
sexMale,142540,1.7,21362,5.6,55658,3.2,10318,8.3,32182,4.4,23021,5.4
sexFemale,145726,1.6,36470,4.1,58329,3.1,16629,6.2,17094,6.1,17203,6.2
age25_44,111521,2.1,13903,7.4,41010,3.9,11221,8.0,21778,5.5,23609,5.4
age45_64,112113,2.0,20453,5.6,48505,3.4,10538,7.8,20455,5.5,12161,7.3
age65+,64632,2.9,23476,5.1,24472,5.0,5187,11.2,7043,9.5,4453,12.0
citizenSwiss,235692,0.9,38629,3.9,101492,2.1,21008,5.4,44468,3.6,30096,4.5
citizenUE28_AELE,32891,4.6,8992,9.1,8271,9.6,3982,14.0,3897,13.8,7749,10.0
citizenOtherEuropeanCountries,12347,8.2,6537,11.2,3064,16.7,1353,25.4,656,36.3,737,33.9
citizenOtherWorldwideCountries,7256,10.6,3623,15.1,1131,26.9,605,37.1,255,58.2,1642,22.0
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,206693,1.1,31575,4.3,91424,2.3,17319,6.0,40503,3.8,25872,4.9
migratoryBackgroundSwissWith,28050,4.6,6834,9.7,9718,8.2,3579,13.5,3783,13.2,4136,12.6
migratoryBackgroundFirstGeneration,48536,3.8,18189,6.5,10723,8.5,5525,12.0,4295,13.3,9805,8.9
migratoryBackgroundSecondGenerationAndMore,3064,16.3,426,42.9,1560,22.8,338,53.0,477,41.0,264,55.4
migratoryBackgroundUnknown,1922,19.3,808,30.3,563,35.8,186,60.5,218,55.1,147,67.6
labourMarketEmployedPersons,195647,1.2,25260,5.2,78214,2.6,18598,6.0,40106,3.9,33468,4.4
labourMarketUnemployedPersons,5477,11.5,1264,24.6,1972,19.0,779,31.3,709,31.5,753,32.1
labourMarketPersonsWithoutProfessionalActivity,87143,2.4,31308,4.4,33800,4.2,7570,9.4,8461,8.7,6003,10.5
socioprofessionalCategoriesExecutives,8165,9.0,995,26.9,2020,18.3,512,37.7,2440,16.5,2198,17.5
socioprofessionalCategoriesLiberalAndSimilar,2695,15.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2695,15.7
socioprofessionalCategoriesOtherSelfEmployed,17610,6.0,1498,21.3,8358,8.8,1623,20.2,5352,11.1,779,30.9
socioprofessionalCategoriesIntellectualAndManagerial,25743,5.0,117,78.4,1060,25.1,598,34.5,2333,17.0,21635,5.5
socioprofessionalCategoriesIntermediate,57542,3.2,2398,17.3,15423,6.5,5727,10.8,28807,4.7,5186,11.8
socioprofessionalCategoriesSkilledNonManuals,40611,3.8,364,44.1,33656,4.3,6591,10.2,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,15714,6.6,629,33.4,12830,7.3,2255,17.9,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,14783,6.9,14783,6.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,682,34.0,284,53.1,353,46.7,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,12103,7.5,4193,13.2,4515,12.2,1246,24.7,1174,24.2,975,27.1
socioprofessionalCategoriesUnemployedOrNotWorking,92619,2.3,32572,4.4,35773,4.0,8349,9.0,9170,8.3,6756,10.0
