attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,125891,0.8,33116,3.8,39560,3.3,14266,6.1,14950,5.8,23999,4.5
sexMale,60789,2.4,13785,6.5,20561,4.9,4800,11.1,9690,7.4,11953,6.7
sexFemale,65102,2.2,19332,5.2,18998,5.1,9466,7.6,5261,10.2,12046,6.7
age25_44,46048,3.1,8990,8.5,12746,6.6,5644,10.4,5158,10.4,13511,6.4
age45_64,48147,2.8,13164,6.5,16110,5.7,4998,10.6,6419,9.2,7456,8.5
age65+,31696,3.7,10962,6.9,10704,6.9,3624,12.2,3374,12.6,3033,13.2
citizenSwiss,93695,1.4,19409,5.1,33638,3.6,11353,6.8,12617,6.3,16679,5.5
citizenUE28_AELE,24935,4.6,9848,7.8,5102,11.0,2042,17.7,2022,17.3,5921,10.1
citizenOtherEuropeanCountries,2383,17.3,1302,23.5,358,45.1,363,45.0,88,85.9,271,51.2
citizenOtherWorldwideCountries,4852,12.4,2558,17.4,435,41.7,508,39.1,223,55.0,1128,25.3
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,71750,2.0,12843,6.4,27852,4.1,8708,7.9,10028,7.2,12319,6.4
migratoryBackgroundSwissWith,21192,4.8,6283,9.4,5473,10.0,2583,14.8,2542,14.7,4312,11.3
migratoryBackgroundFirstGeneration,29058,4.3,13163,6.9,4597,11.7,2523,16.3,1877,18.2,6898,9.5
migratoryBackgroundSecondGenerationAndMore,3047,14.4,508,36.2,1287,22.3,372,42.6,457,35.3,423,39.2
migratoryBackgroundUnknown,844,26.4,319,43.7,350,40.6,81,85.5,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,73982,2.0,13864,6.4,23345,4.6,7913,8.5,10350,7.1,18510,5.2
labourMarketUnemployedPersons,5382,10.9,1638,20.6,1507,20.6,766,29.1,422,38.1,1049,24.8
labourMarketPersonsWithoutProfessionalActivity,46526,2.9,17614,5.5,14707,5.9,5587,10.0,4178,11.4,4440,11.4
socioprofessionalCategoriesExecutives,3522,12.5,174,61.0,709,28.4,172,57.4,1171,21.7,1297,20.6
socioprofessionalCategoriesLiberalAndSimilar,1711,18.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1711,18.0
socioprofessionalCategoriesOtherSelfEmployed,6363,9.4,971,25.2,3015,13.9,702,29.1,1263,21.2,411,38.1
socioprofessionalCategoriesIntellectualAndManagerial,12990,6.4,81,85.0,533,32.6,223,51.1,682,28.6,11471,6.8
socioprofessionalCategoriesIntermediate,17700,5.4,1328,21.7,4121,11.7,2018,16.7,7012,8.8,3220,13.7
socioprofessionalCategoriesSkilledNonManuals,13568,6.3,117,72.2,9769,7.5,3682,12.7,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,5591,10.2,278,46.4,4507,11.4,807,28.0,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,10036,7.6,10036,7.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,194,58.0,96,86.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,2307,16.1,783,28.6,659,29.7,294,45.0,222,50.8,349,41.6
socioprofessionalCategoriesUnemployedOrNotWorking,51909,2.7,19252,5.3,16214,5.6,6353,9.4,4600,10.9,5489,10.3
