attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,
total,126202,0.8,32637,3.9,38296,3.4,14927,6.1,15549,5.9,24792,4.6
sexMale,60963,2.5,13002,6.8,19803,5.2,5732,10.5,9566,7.6,12859,6.7
sexFemale,65239,2.3,19635,5.2,18493,5.3,9195,7.8,5983,9.8,11933,6.9
age25_44,45884,3.2,8368,8.8,11848,7.1,6163,10.2,5075,11.0,14430,6.4
age45_64,48255,2.9,12212,6.9,16298,5.7,5305,10.5,6877,9.0,7562,8.6
age65+,32063,3.7,12057,6.6,10151,7.2,3459,12.7,3596,12.4,2801,14.0
citizenSwiss,93849,1.5,19575,5.1,32748,3.8,11606,6.9,13005,6.4,16915,5.6
citizenUE28_AELE,24712,4.6,9411,8.0,4599,11.6,2387,16.4,2228,16.7,6087,10.0
citizenOtherEuropeanCountries,2368,18.3,1288,25.1,382,45.2,237,60.9,102,85.3,359,45.3
citizenOtherWorldwideCountries,5273,11.2,2364,17.2,567,35.6,697,31.1,214,55.0,1432,21.3
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,72283,2.0,13177,6.4,27202,4.2,8716,8.1,10269,7.3,12920,6.6
migratoryBackgroundSwissWith,21081,4.9,6187,9.6,5393,10.4,2873,14.4,2670,14.7,3958,12.1
migratoryBackgroundFirstGeneration,29021,4.3,12501,7.0,4115,12.5,2701,15.7,2098,17.3,7606,9.0
migratoryBackgroundSecondGenerationAndMore,3266,13.9,527,35.5,1434,21.1,604,33.0,445,37.4,256,49.5
migratoryBackgroundUnknown,550,33.8,245,51.2,153,64.1,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,73253,2.1,12328,6.9,22692,4.8,8750,8.2,10441,7.3,19043,5.3
labourMarketUnemployedPersons,6179,10.4,2010,18.9,1390,21.7,816,28.9,621,32.8,1342,22.7
labourMarketPersonsWithoutProfessionalActivity,46770,3.0,18299,5.4,14215,6.1,5361,10.4,4487,11.2,4408,11.6
socioprofessionalCategoriesExecutives,3781,12.3,286,47.8,726,28.3,302,45.0,877,25.6,1590,19.0
socioprofessionalCategoriesLiberalAndSimilar,1548,19.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1548,19.4
socioprofessionalCategoriesOtherSelfEmployed,6795,9.4,985,25.2,3085,14.0,923,26.7,1394,20.7,408,39.0
socioprofessionalCategoriesIntellectualAndManagerial,13563,6.4,88,85.7,475,35.3,274,46.1,682,29.4,12045,6.8
socioprofessionalCategoriesIntermediate,17939,5.5,1646,19.6,3971,12.2,1925,17.6,7246,8.9,3151,14.2
socioprofessionalCategoriesSkilledNonManuals,13816,6.3,99,77.7,9549,7.7,4168,12.1,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,5659,10.5,203,55.0,4480,11.8,977,25.5,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,8554,8.4,8554,8.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,195,60.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1403,21.4,404,40.9,330,43.8,146,67.5,243,51.0,280,47.8
socioprofessionalCategoriesUnemployedOrNotWorking,52949,2.7,20309,5.2,15605,5.9,6177,9.8,5108,10.6,5750,10.3
