attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,32100,2.3,5473,14.6,13609,7.6,2587,21.3,6104,12.8,4328,16.1
sexMale,16340,6.3,1770,26.0,6834,11.9,1053,33.2,4100,16.0,2583,20.9
sexFemale,15760,7.0,3702,18.5,6775,12.4,1534,28.6,2003,24.3,1745,27.2
age25_44,10762,9.0,792,43.4,4898,14.6,871,37.7,2206,22.3,1996,24.5
age45_64,13286,7.9,2128,24.5,5429,14.1,1080,33.7,3007,19.3,1643,27.4
age65+,8052,11.1,2553,21.7,3283,18.7,636,44.0,891,36.8,688,41.8
citizenSwiss,27303,3.3,3910,17.1,12306,8.1,2240,22.7,5680,13.3,3167,18.6
citizenUE28_AELE,2937,21.0,498,53.5,978,36.5,235,78.8,389,58.3,837,40.9
citizenOtherEuropeanCountries,1141,37.2,717,47.2,217,87.3,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,719,44.4,347,64.8,NaN,NaN,NaN,NaN,NaN,NaN,234,79.4
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,24897,3.9,3639,17.8,11239,8.7,2071,23.7,5176,14.1,2771,19.9
migratoryBackgroundSwissWith,2375,22.1,271,68.0,1066,33.7,169,86.3,472,50.0,395,55.5
migratoryBackgroundFirstGeneration,4588,16.9,1448,32.1,1208,33.6,347,64.5,424,55.7,1161,35.0
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,21431,5.0,2248,24.1,9026,10.2,1839,25.5,5031,14.3,3287,18.7
labourMarketUnemployedPersons,469,52.0,NaN,NaN,205,78.9,NaN,NaN,NaN,NaN,183,86.7
labourMarketPersonsWithoutProfessionalActivity,10199,9.6,3192,19.5,4378,15.8,748,40.9,1024,34.3,858,38.4
socioprofessionalCategoriesExecutives,1239,30.9,NaN,NaN,352,58.0,NaN,NaN,411,53.3,291,64.4
socioprofessionalCategoriesLiberalAndSimilar,370,59.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,370,59.1
socioprofessionalCategoriesOtherSelfEmployed,2105,23.3,205,78.8,868,37.1,320,60.9,681,41.3,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,2576,21.3,NaN,NaN,NaN,NaN,NaN,NaN,226,72.8,2165,23.3
socioprofessionalCategoriesIntermediate,5775,13.4,281,68.5,1211,31.4,430,53.4,3586,17.4,267,69.0
socioprofessionalCategoriesSkilledNonManuals,4945,14.8,NaN,NaN,4019,16.6,856,38.4,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,2107,23.3,NaN,NaN,1943,24.3,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1061,35.7,1061,35.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1222,32.1,407,59.2,494,50.0,NaN,NaN,NaN,NaN,162,86.2
socioprofessionalCategoriesUnemployedOrNotWorking,10669,9.3,3225,19.4,4583,15.4,748,40.9,1072,33.3,1041,35.0
