attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.022,0.1731,0.134,0.4152,0.076,0.0838,0.202,0.1942,0.124,0.1337,0.158
sexMale,1.0,0.061,0.1043,0.254,0.4055,0.118,0.0736,0.307,0.2537,0.153,0.1629,0.201
sexFemale,1.0,0.068,0.2466,0.167,0.4256,0.124,0.0947,0.277,0.1306,0.239,0.1025,0.274
age25_44,1.0,0.095,0.1075,0.339,0.4233,0.16,0.0935,0.355,0.1977,0.24,0.178,0.255
age45_64,1.0,0.075,0.1253,0.268,0.4336,0.132,0.0757,0.338,0.2232,0.187,0.1423,0.242
age65+,1.0,0.098,0.3335,0.189,0.3758,0.174,0.084,0.383,0.1439,0.289,0.0629,0.441
citizenSwiss,1.0,0.033,0.1576,0.152,0.4409,0.081,0.0775,0.229,0.2091,0.13,0.1149,0.187
citizenUE28_AELE,1.0,0.187,0.1481,0.516,0.3052,0.354,0.1345,0.519,0.146,0.501,0.2659,0.371
citizenOtherEuropeanCountries,1.0,0.392,0.5135,0.556,0.277,0.731,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,1.0,0.442,0.4938,0.645,NaN,NaN,NaN,NaN,NaN,NaN,0.2938,0.789
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.039,0.1593,0.159,0.4583,0.085,0.0744,0.246,0.204,0.139,0.104,0.209
migratoryBackgroundSwissWith,1.0,0.21,0.1427,0.584,0.2748,0.41,0.1089,0.644,0.2504,0.43,0.2233,0.454
migratoryBackgroundFirstGeneration,1.0,0.154,0.2665,0.324,0.2694,0.313,0.1152,0.469,0.1027,0.502,0.2464,0.32
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,1.0,0.051,0.0969,0.243,0.4269,0.102,0.0786,0.266,0.2337,0.145,0.1638,0.179
labourMarketUnemployedPersons,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,1.0,0.084,0.3169,0.171,0.3951,0.15,0.0913,0.328,0.1185,0.279,0.0783,0.371
socioprofessionalCategoriesExecutives,1.0,0.323,NaN,NaN,0.3224,0.583,NaN,NaN,0.3693,0.535,0.224,0.681
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.501
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.23,0.1161,0.681,0.5178,0.328,0.0771,0.865,0.2889,0.43,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.203,NaN,NaN,0.0585,0.866,NaN,NaN,0.1133,0.615,0.8282,0.225
socioprofessionalCategoriesIntermediate,1.0,0.129,NaN,NaN,0.2511,0.279,0.0751,0.515,0.5815,0.175,0.0784,0.5
socioprofessionalCategoriesSkilledNonManuals,1.0,0.155,NaN,NaN,0.8406,0.171,0.1521,0.42,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.237,NaN,NaN,0.8551,0.256,0.1314,0.685,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.302,1.0,0.302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.442,0.3201,0.791,0.5191,0.612,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.083,0.3161,0.17,0.3932,0.15,0.0935,0.323,0.12,0.276,0.0772,0.371
