attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,27228,2.6,5076,15.1,12165,7.8,2147,23.6,4799,14.7,3041,19.7
sexMale,13878,7.3,1994,25.6,6288,12.7,955,37.0,2849,20.0,1791,26.5
sexFemale,13350,7.3,3082,19.8,5876,12.7,1193,31.5,1950,23.9,1250,31.0
age25_44,9547,10.1,1057,38.5,4152,16.5,878,39.4,2237,23.1,1223,32.8
age45_64,11228,7.9,1741,25.3,5519,12.9,915,34.9,1837,24.0,1215,30.4
age65+,6453,12.9,2278,23.6,2494,22.1,354,60.8,724,41.7,603,48.1
citizenSwiss,23184,3.6,3518,17.7,11308,8.2,1691,25.9,4424,15.3,2243,22.5
citizenUE28_AELE,2881,21.7,922,40.0,743,43.2,272,73.0,301,68.8,643,48.1
citizenOtherEuropeanCountries,552,56.1,379,68.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,611,50.0,258,79.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,21162,4.3,3212,18.7,10681,8.6,1405,28.6,4142,15.9,1722,26.2
migratoryBackgroundSwissWith,1986,23.4,306,60.9,591,44.1,286,64.3,282,64.3,521,46.6
migratoryBackgroundFirstGeneration,3854,18.9,1480,32.4,822,41.1,456,58.3,298,68.8,798,43.0
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,18968,5.1,2437,22.7,8591,10.1,1819,25.5,3851,16.7,2269,22.6
labourMarketUnemployedPersons,566,50.3,NaN,NaN,162,86.8,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,7695,11.4,2469,22.4,3412,18.1,286,69.3,881,36.7,648,46.7
socioprofessionalCategoriesExecutives,568,45.3,162,86.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesLiberalAndSimilar,509,48.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,509,48.2
socioprofessionalCategoriesOtherSelfEmployed,2640,20.5,270,68.9,1276,30.1,317,60.9,743,39.9,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,1641,26.5,NaN,NaN,NaN,NaN,NaN,NaN,140,87.3,1311,30.1
socioprofessionalCategoriesIntermediate,5239,14.1,334,62.0,1409,29.0,636,43.0,2709,20.4,NaN,NaN
socioprofessionalCategoriesSkilledNonManuals,3704,16.8,NaN,NaN,3199,18.2,476,51.7,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,2318,22.6,NaN,NaN,2076,23.9,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1141,34.1,1141,34.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1080,34.1,243,75.2,413,53.6,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,8260,10.9,2639,21.8,3574,17.7,328,65.2,947,35.4,772,43.0
