attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.026,0.1864,0.151,0.4468,0.078,0.0789,0.236,0.1763,0.147,0.1117,0.197
sexMale,1.0,0.073,0.1437,0.256,0.4531,0.127,0.0688,0.37,0.2053,0.2,0.1291,0.265
sexFemale,1.0,0.073,0.2309,0.198,0.4401,0.127,0.0894,0.315,0.1461,0.239,0.0936,0.31
age25_44,1.0,0.101,0.1107,0.385,0.4349,0.165,0.092,0.394,0.2343,0.231,0.1281,0.328
age45_64,1.0,0.079,0.1551,0.253,0.4915,0.129,0.0815,0.349,0.1636,0.24,0.1082,0.304
age65+,1.0,0.129,0.353,0.236,0.3865,0.221,0.0549,0.608,0.1122,0.417,0.0934,0.481
citizenSwiss,1.0,0.036,0.1517,0.177,0.4878,0.082,0.0729,0.259,0.1908,0.153,0.0967,0.225
citizenUE28_AELE,1.0,0.217,0.32,0.4,0.2579,0.432,0.0944,0.73,0.1045,0.688,0.2232,0.481
citizenOtherEuropeanCountries,1.0,0.561,0.6866,0.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,1.0,0.5,0.4223,0.795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.043,0.1518,0.187,0.5047,0.086,0.0664,0.286,0.1957,0.159,0.0814,0.262
migratoryBackgroundSwissWith,1.0,0.234,0.1541,0.609,0.2976,0.441,0.144,0.643,0.142,0.643,0.2623,0.466
migratoryBackgroundFirstGeneration,1.0,0.189,0.384,0.324,0.2133,0.411,0.1183,0.583,0.0773,0.688,0.2071,0.43
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,1.0,0.051,0.1285,0.227,0.4529,0.101,0.0959,0.255,0.203,0.167,0.1196,0.226
labourMarketUnemployedPersons,1.0,0.503,NaN,NaN,0.2862,0.868,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,1.0,0.114,0.3209,0.224,0.4434,0.181,0.0372,0.693,0.1145,0.367,0.0842,0.467
socioprofessionalCategoriesExecutives,1.0,0.453,0.2852,0.867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.482
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.205,0.1023,0.689,0.4833,0.301,0.1201,0.609,0.2814,0.399,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.265,NaN,NaN,NaN,NaN,NaN,NaN,0.0853,0.873,0.7989,0.301
socioprofessionalCategoriesIntermediate,1.0,0.141,0.0638,0.62,0.2689,0.29,0.1214,0.43,0.5171,0.204,NaN,NaN
socioprofessionalCategoriesSkilledNonManuals,1.0,0.168,NaN,NaN,0.8637,0.182,0.1285,0.517,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.226,NaN,NaN,0.8956,0.239,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.341,1.0,0.341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.341,0.225,0.752,0.3824,0.536,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.109,0.3195,0.218,0.4327,0.177,0.0397,0.652,0.1146,0.354,0.0935,0.43
