attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,361897,0.7,77753,3.7,150501,2.3,32474,6.1,53964,4.5,47205,5.0
sexMale,180231,2.1,28432,6.7,76278,3.8,13065,10.1,36167,5.7,26290,6.9
sexFemale,181666,2.0,49321,4.8,74223,3.7,19409,7.9,17797,8.2,20915,7.6
age25_44,136392,2.7,19114,8.7,54191,4.7,13556,10.0,22583,7.5,26948,6.9
age45_64,139913,2.4,28464,6.5,61495,4.2,11154,10.5,23592,7.1,15209,8.9
age65+,85592,3.3,30175,6.1,34815,5.5,7764,12.3,7789,12.1,5049,15.1
citizenSwiss,275330,1.2,46664,4.8,126165,2.6,23520,7.1,46447,4.9,32534,6.0
citizenUE28_AELE,52357,4.7,12001,10.2,16615,8.8,5898,15.0,6205,14.5,11637,10.6
citizenOtherEuropeanCountries,25727,7.6,14447,10.1,6364,15.9,2432,25.1,765,46.0,1720,30.9
citizenOtherWorldwideCountries,8355,13.2,4513,18.0,1357,33.4,624,48.7,548,50.2,1314,33.3
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,231279,1.5,36614,5.5,108247,2.9,19588,7.8,40254,5.3,26575,6.7
migratoryBackgroundSwissWith,42580,5.1,9612,11.2,17335,8.3,3898,17.9,5881,14.5,5854,14.6
migratoryBackgroundFirstGeneration,79529,3.8,29749,6.7,21189,8.0,8353,12.8,6124,14.8,14114,9.8
migratoryBackgroundSecondGenerationAndMore,6878,14.3,1216,34.6,3146,21.1,566,50.2,1394,31.5,557,53.0
migratoryBackgroundUnknown,1631,28.0,562,48.6,584,45.8,NaN,NaN,311,64.5,NaN,NaN
labourMarketEmployedPersons,233876,1.6,32076,6.3,99720,3.2,20038,8.0,43475,5.2,38566,5.6
labourMarketUnemployedPersons,8947,12.4,2575,23.9,3484,19.8,1001,38.0,727,42.2,1161,34.2
labourMarketPersonsWithoutProfessionalActivity,119074,2.7,43101,5.1,47297,4.7,11435,10.3,9762,10.9,7479,12.9
socioprofessionalCategoriesExecutives,9655,11.5,966,37.4,2904,21.1,500,51.9,2783,21.3,2502,22.6
socioprofessionalCategoriesLiberalAndSimilar,3694,18.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3694,18.5
socioprofessionalCategoriesOtherSelfEmployed,19283,8.0,3036,20.9,9555,11.5,1409,30.2,4490,16.8,794,40.7
socioprofessionalCategoriesIntellectualAndManagerial,29107,6.5,175,86.8,1236,32.2,235,73.0,2905,21.1,24556,7.1
socioprofessionalCategoriesIntermediate,65389,4.1,2613,22.7,19204,8.1,5570,15.1,32179,6.1,5822,15.1
socioprofessionalCategoriesSkilledNonManuals,49044,4.8,264,73.7,41088,5.3,7692,13.0,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,24289,7.3,743,43.6,20498,8.0,3048,21.4,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,18689,8.4,18689,8.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,591,50.2,322,68.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,14135,9.6,5268,16.1,5135,15.9,1500,29.5,1073,34.2,1160,34.9
socioprofessionalCategoriesUnemployedOrNotWorking,128021,2.6,45677,5.0,50780,4.6,12435,9.9,10490,10.5,8639,12.1
