attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,61063,1.5,10763,10.0,25822,5.5,6247,13.6,9379,10.6,8852,10.9
sexMale,29924,5.0,4049,17.8,12517,9.3,2706,22.0,6032,13.8,4620,15.8
sexFemale,31139,4.6,6713,12.9,13305,8.5,3541,18.0,3347,18.3,4232,16.2
age25_44,21000,6.8,2035,25.9,8724,11.7,2337,24.2,3765,18.2,4138,17.1
age45_64,23468,5.7,3893,17.5,9863,10.1,2292,22.3,3812,16.7,3609,17.2
age65+,16595,7.5,4835,15.4,7235,12.3,1618,27.0,1802,25.7,1105,32.9
citizenSwiss,45576,3.0,5789,13.9,21416,6.3,4504,16.1,7989,11.6,5878,13.8
citizenUE28_AELE,9411,10.7,1835,25.8,3004,20.3,1278,31.9,1130,32.5,2164,23.0
citizenOtherEuropeanCountries,3669,19.0,1926,26.7,1039,36.5,314,64.5,NaN,NaN,227,74.1
citizenOtherWorldwideCountries,2407,23.3,1212,33.7,364,62.2,NaN,NaN,NaN,NaN,583,45.7
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,34399,4.2,3919,17.2,16682,7.5,3144,19.5,6235,13.4,4418,16.1
migratoryBackgroundSwissWith,10956,9.7,1775,25.7,4607,15.8,1360,30.0,1753,25.8,1460,28.6
migratoryBackgroundFirstGeneration,14234,8.6,4759,16.3,3723,18.3,1612,28.1,1226,31.9,2914,19.8
migratoryBackgroundSecondGenerationAndMore,1254,32.7,215,79.0,684,44.4,NaN,NaN,165,86.5,NaN,NaN
migratoryBackgroundUnknown,221,72.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,36976,4.0,3609,18.5,15663,7.9,3801,17.8,7143,12.4,6760,12.6
labourMarketUnemployedPersons,1496,29.5,239,73.0,721,43.5,NaN,NaN,233,73.3,189,78.8
labourMarketPersonsWithoutProfessionalActivity,22592,6.1,6915,12.8,9438,10.6,2332,22.9,2004,24.2,1902,25.4
socioprofessionalCategoriesExecutives,1659,26.7,NaN,NaN,356,58.7,NaN,NaN,253,68.3,804,37.8
socioprofessionalCategoriesLiberalAndSimilar,678,41.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,678,41.1
socioprofessionalCategoriesOtherSelfEmployed,2810,20.8,234,73.7,1571,28.0,369,58.8,523,48.4,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,4698,15.4,NaN,NaN,252,68.2,187,78.8,462,49.8,3797,17.3
socioprofessionalCategoriesIntermediate,11182,9.7,484,51.9,2775,20.8,1103,33.7,5709,14.1,1111,33.0
socioprofessionalCategoriesSkilledNonManuals,8446,11.3,NaN,NaN,6822,12.7,1547,28.3,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,3786,18.3,NaN,NaN,3304,19.7,419,56.0,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,2247,23.6,2247,23.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1402,29.7,373,61.5,514,48.2,NaN,NaN,196,78.8,257,68.4
socioprofessionalCategoriesUnemployedOrNotWorking,24087,5.8,7154,12.6,10159,10.2,2446,22.4,2237,22.9,2091,24.1
