attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,197937,1.0,42453,5.2,82729,3.1,16862,8.5,29605,6.1,26287,6.7
sexMale,97903,2.9,16311,9.3,40234,5.3,5814,15.4,20225,7.7,15320,9.2
sexFemale,100034,2.6,26142,6.6,42495,4.8,11048,10.3,9380,11.2,10968,10.5
age25_44,69056,3.9,10595,12.0,26112,6.9,6463,14.6,11447,10.6,14439,9.6
age45_64,79981,3.2,14735,9.2,36266,5.3,6532,13.6,12929,9.6,9520,11.3
age65+,48900,4.4,17124,8.3,20351,7.3,3867,17.5,5229,14.8,2329,22.4
citizenSwiss,156225,1.5,25048,6.6,71424,3.4,13074,9.4,26714,6.4,19966,7.6
citizenUE28_AELE,24211,7.5,6866,14.5,8123,13.2,2355,25.3,2290,25.3,4577,17.9
citizenOtherEuropeanCountries,12105,11.8,7375,15.2,2766,25.5,1064,39.7,395,69.0,504,58.6
citizenOtherWorldwideCountries,5396,16.8,3165,22.0,416,61.8,370,64.8,206,87.1,1240,35.4
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,135574,1.9,20781,7.3,64346,3.7,10675,10.5,23504,6.9,16267,8.6
migratoryBackgroundSwissWith,19751,7.5,4055,17.2,6626,13.5,2366,22.7,3099,19.7,3605,18.5
migratoryBackgroundFirstGeneration,36639,6.1,15979,9.7,8582,13.4,3601,20.8,2428,24.9,6049,15.7
migratoryBackgroundSecondGenerationAndMore,5036,17.3,1427,33.6,2685,23.5,187,86.5,464,59.1,272,73.7
migratoryBackgroundUnknown,937,36.6,211,79.1,489,50.0,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,125293,2.2,16441,9.1,53922,4.3,10374,11.1,23462,7.0,21094,7.6
labourMarketUnemployedPersons,5717,16.1,1754,30.4,2055,26.7,327,69.4,683,45.1,898,39.7
labourMarketPersonsWithoutProfessionalActivity,66927,3.6,24258,7.0,26752,6.3,6160,14.0,5460,14.7,4296,17.2
socioprofessionalCategoriesExecutives,5393,15.6,700,46.1,1411,31.0,315,64.8,1531,29.2,1436,30.2
socioprofessionalCategoriesLiberalAndSimilar,1793,26.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1793,26.3
socioprofessionalCategoriesOtherSelfEmployed,8854,11.8,922,38.2,4535,16.4,757,42.6,2325,23.3,316,64.6
socioprofessionalCategoriesIntellectualAndManagerial,16544,8.7,242,80.1,928,38.3,252,73.4,1589,28.5,13532,9.6
socioprofessionalCategoriesIntermediate,35091,5.7,2083,26.5,9740,11.4,2918,20.5,17138,8.4,3212,20.9
socioprofessionalCategoriesSkilledNonManuals,28372,6.3,229,73.1,24382,6.8,3761,18.6,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,12681,10.2,568,50.3,10430,11.3,1683,29.5,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,8984,12.4,8984,12.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,306,76.8,226,91.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,7275,13.4,2487,23.7,2448,23.0,689,43.5,879,37.2,772,42.4
socioprofessionalCategoriesUnemployedOrNotWorking,72644,3.5,26012,6.8,28807,6.1,6488,13.7,6143,13.9,5194,15.8
