attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,118200,1.2,23574,6.8,45279,4.3,10297,10.8,19573,7.2,19477,7.4
sexMale,60798,3.4,9028,12.1,23402,6.7,3938,18.5,12865,9.2,11565,10.0
sexFemale,57402,3.5,14546,8.8,21877,6.8,6359,13.6,6708,13.0,7912,12.0
age25_44,41874,4.6,4113,18.4,16459,8.2,4348,17.3,7872,11.9,9081,11.2
age45_64,49102,4.0,9650,11.2,18676,7.5,3714,18.0,8773,11.1,8289,11.8
age65+,27224,6.1,9811,10.9,10144,10.8,2235,23.7,2928,20.9,2106,24.9
citizenSwiss,92258,2.0,16386,8.1,39366,4.6,7094,12.8,16693,7.8,12717,9.1
citizenUE28_AELE,17388,8.4,3021,21.5,3970,18.7,2143,25.4,2311,23.4,5944,14.8
citizenOtherEuropeanCountries,5676,15.7,2859,22.3,1409,31.9,785,43.7,383,61.9,240,73.4
citizenOtherWorldwideCountries,2832,23.0,1263,36.0,534,52.2,274,74.6,186,86.9,576,48.7
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,80827,2.4,14400,8.8,35812,5.0,5673,14.4,15261,8.3,9681,10.6
migratoryBackgroundSwissWith,10873,10.0,1852,25.4,3228,18.9,1421,29.4,1401,28.7,2970,19.7
migratoryBackgroundFirstGeneration,24096,7.0,7003,14.2,5027,16.7,3023,21.6,2546,22.4,6496,14.1
migratoryBackgroundSecondGenerationAndMore,1806,27.5,185,87.2,886,38.8,179,89.7,334,65.6,222,79.6
migratoryBackgroundUnknown,599,45.5,NaN,NaN,327,61.0,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,78632,2.5,10427,10.7,30599,5.6,6109,14.2,16077,8.0,15419,8.3
labourMarketUnemployedPersons,2235,24.6,494,57.6,672,43.2,309,64.3,NaN,NaN,630,46.2
labourMarketPersonsWithoutProfessionalActivity,37333,5.0,12653,9.7,14008,9.0,3878,18.1,3366,19.3,3428,19.4
socioprofessionalCategoriesExecutives,4978,15.2,365,61.6,908,36.7,188,89.8,1390,28.4,2127,23.2
socioprofessionalCategoriesLiberalAndSimilar,1894,25.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1894,25.3
socioprofessionalCategoriesOtherSelfEmployed,8246,11.8,1088,33.5,3853,17.6,599,45.9,2451,21.9,255,74.2
socioprofessionalCategoriesIntellectualAndManagerial,10280,10.4,NaN,NaN,639,43.4,227,73.6,813,38.1,8457,11.5
socioprofessionalCategoriesIntermediate,22383,6.7,1264,32.0,5840,14.1,1637,27.2,11144,9.8,2497,22.3
socioprofessionalCategoriesSkilledNonManuals,14566,8.6,NaN,NaN,11663,9.7,2771,21.3,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,7650,12.7,339,62.6,6785,13.5,526,52.4,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,5794,14.7,5794,14.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,2805,21.0,1302,31.3,874,37.2,161,86.4,280,68.4,188,81.2
socioprofessionalCategoriesUnemployedOrNotWorking,39568,4.8,13147,9.5,14680,8.8,4187,17.4,3495,18.9,4058,17.8
