attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,201089,0.9,37240,5.5,88551,3.0,19058,7.9,31315,5.9,24925,6.7
sexMale,100661,2.7,13337,9.8,43290,5.0,7401,13.3,21610,7.3,15022,9.0
sexFemale,100428,2.6,23903,7.0,45261,4.7,11657,10.2,9704,11.0,9903,10.9
age25_44,73735,3.5,8321,12.7,30697,6.1,7894,12.8,13167,9.6,13656,9.5
age45_64,81087,3.1,14244,9.3,37349,5.3,7137,13.0,13421,9.3,8936,11.5
age65+,46267,4.7,14675,9.1,20505,7.5,4027,17.7,4727,16.0,2333,22.6
citizenSwiss,150067,1.7,22026,7.3,73618,3.4,12915,9.6,26188,6.5,15320,8.7
citizenUE28_AELE,37230,5.5,8101,12.6,11327,10.6,4810,16.7,4628,16.9,8363,12.2
citizenOtherEuropeanCountries,10777,11.3,5538,15.8,3150,21.4,960,38.8,309,69.1,820,41.3
citizenOtherWorldwideCountries,2975,20.6,1534,28.7,455,51.8,373,58.4,190,79.4,423,57.2
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,124142,2.1,16440,8.5,62094,3.9,10565,10.7,22439,7.1,12603,9.6
migratoryBackgroundSwissWith,24565,6.8,5244,15.5,10679,10.6,2350,23.0,3654,18.3,2638,21.4
migratoryBackgroundFirstGeneration,46385,4.8,14400,9.4,12453,10.2,5896,15.1,4233,17.6,9402,11.5
migratoryBackgroundSecondGenerationAndMore,4558,17.2,814,42.6,2401,23.6,248,73.6,893,38.8,203,79.5
migratoryBackgroundUnknown,1439,29.8,342,61.1,924,37.3,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,130236,2.1,14947,9.1,57903,4.1,11867,10.2,25177,6.7,20341,7.5
labourMarketUnemployedPersons,4337,17.6,691,44.5,1549,29.3,403,58.4,900,38.9,794,42.5
labourMarketPersonsWithoutProfessionalActivity,66516,3.7,21601,7.4,29099,6.2,6788,13.6,5237,15.3,3789,18.2
socioprofessionalCategoriesExecutives,5893,14.5,654,45.8,1404,29.4,314,68.8,2022,24.7,1500,28.8
socioprofessionalCategoriesLiberalAndSimilar,2131,23.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2131,23.9
socioprofessionalCategoriesOtherSelfEmployed,12809,9.7,1246,32.8,6958,13.4,1283,31.8,2796,21.0,526,48.3
socioprofessionalCategoriesIntellectualAndManagerial,15115,8.8,166,86.5,865,38.0,190,78.9,947,36.7,12948,9.5
socioprofessionalCategoriesIntermediate,37974,5.3,1638,28.3,10470,10.8,3835,17.7,19068,7.8,2962,21.1
socioprofessionalCategoriesSkilledNonManuals,28706,6.2,161,86.4,24552,6.8,3993,17.8,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,13937,9.6,344,61.2,11764,10.5,1830,27.6,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,8999,11.9,8999,11.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,315,68.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,4357,17.1,1704,27.7,1739,27.4,346,61.2,294,64.6,275,68.4
socioprofessionalCategoriesUnemployedOrNotWorking,70853,3.6,22292,7.3,30648,6.0,7191,13.3,6137,14.2,4584,16.7
