attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,264891,0.5,60519,2.9,71372,2.6,48306,3.3,32485,4.1,52209,3.1
sexMale,127526,1.7,23777,5.0,37885,3.8,19366,5.6,18622,5.5,27875,4.5
sexFemale,137365,1.5,36742,3.8,33486,4.0,28940,4.3,13863,6.4,24334,4.8
age25_44,81335,2.4,9334,8.5,18528,5.7,15156,6.4,11172,7.3,27145,4.6
age45_64,106493,1.9,22069,5.2,31222,4.2,20132,5.3,14384,6.3,18685,5.5
age65+,77063,2.4,29116,4.3,21621,5.1,13018,6.6,6928,9.1,6379,9.6
citizenSwiss,189183,1.1,32872,4.1,59986,2.8,34872,3.9,26693,4.5,34759,3.9
citizenUE28_AELE,63751,2.8,22123,5.1,9629,7.9,11859,7.1,5157,10.8,14983,6.2
citizenOtherEuropeanCountries,6306,10.6,3135,15.2,1244,23.8,754,31.1,352,45.0,821,29.8
citizenOtherWorldwideCountries,5584,11.5,2366,17.9,513,38.4,822,30.4,283,51.1,1601,21.3
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,127842,1.6,18333,5.6,43970,3.4,23604,4.9,18220,5.5,23714,4.8
migratoryBackgroundSwissWith,60155,2.8,14193,6.4,15542,6.1,11149,7.2,8291,8.4,10980,7.3
migratoryBackgroundFirstGeneration,69181,2.7,26357,4.7,8871,8.4,12240,7.1,4904,11.3,16809,6.0
migratoryBackgroundSecondGenerationAndMore,6066,10.1,1000,25.1,2461,16.0,1113,24.3,868,26.5,623,31.5
migratoryBackgroundUnknown,1647,19.4,635,31.6,527,34.2,200,55.0,202,55.1,83,85.1
labourMarketEmployedPersons,142705,1.5,18266,5.7,37580,3.8,25410,4.7,22190,5.0,39260,3.7
labourMarketUnemployedPersons,10127,8.0,2832,15.6,2632,15.9,1936,18.5,940,26.5,1788,19.3
labourMarketPersonsWithoutProfessionalActivity,112058,1.9,39421,3.7,31160,4.2,20961,5.2,9356,7.9,11161,7.4
socioprofessionalCategoriesExecutives,9326,7.8,488,35.4,1488,19.9,1298,21.3,1823,17.9,4229,11.6
socioprofessionalCategoriesLiberalAndSimilar,5354,10.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5354,10.5
socioprofessionalCategoriesOtherSelfEmployed,16197,6.0,2195,16.9,5655,10.4,3497,13.4,3518,13.1,1331,22.0
socioprofessionalCategoriesIntellectualAndManagerial,23414,4.9,253,49.4,636,30.5,906,25.7,1113,23.1,20506,5.2
socioprofessionalCategoriesIntermediate,34783,3.9,1989,17.6,5615,10.2,4867,11.0,15356,6.1,6956,9.3
socioprofessionalCategoriesSkilledNonManuals,30146,4.2,96,77.6,17970,5.6,12079,7.0,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,8231,8.7,644,30.9,5394,10.8,2193,17.1,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,11392,7.3,11392,7.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,448,39.9,97,85.6,152,67.6,100,85.4,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,3415,13.5,1111,23.9,669,30.1,470,36.1,344,41.5,821,27.9
socioprofessionalCategoriesUnemployedOrNotWorking,122186,1.7,42253,3.6,33791,4.0,22897,5.0,10296,7.6,12949,6.9
