attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,26205,2.5,6604,12.4,11100,8.3,1966,24.2,4139,15.5,2396,21.3
sexMale,13119,7.3,2139,23.8,6236,12.5,635,44.0,2661,20.1,1448,28.2
sexFemale,13086,7.3,4465,15.7,4864,14.5,1330,29.6,1479,27.0,947,34.3
age25_44,8923,9.5,971,35.1,4210,15.6,775,38.3,1733,24.6,1234,30.1
age45_64,10343,8.7,2521,21.3,4615,14.8,689,41.8,1705,25.3,813,37.5
age65+,6939,12.3,3112,19.7,2276,23.3,501,51.3,701,42.8,349,60.8
citizenSwiss,22996,3.5,5236,14.3,10408,8.8,1601,27.0,3788,16.4,1963,23.8
citizenUE28_AELE,2605,20.5,1009,35.0,584,44.1,365,58.2,351,56.1,295,60.9
citizenOtherEuropeanCountries,448,55.7,253,73.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,157,78.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,21191,4.2,4588,15.6,9782,9.2,1409,28.9,3576,17.0,1835,24.7
migratoryBackgroundSwissWith,1703,25.8,612,44.0,595,45.2,191,78.7,212,72.8,NaN,NaN
migratoryBackgroundFirstGeneration,3068,19.0,1313,30.6,607,44.2,365,58.2,351,56.1,433,51.8
migratoryBackgroundSecondGenerationAndMore,141,86.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,16767,5.5,2545,21.0,7817,10.6,1149,31.7,3429,17.1,1827,24.4
labourMarketUnemployedPersons,334,61.1,179,86.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,9104,10.1,3880,17.3,3221,18.9,753,40.8,710,41.8,540,48.1
socioprofessionalCategoriesExecutives,858,36.7,NaN,NaN,194,78.7,NaN,NaN,280,64.1,282,64.2
socioprofessionalCategoriesLiberalAndSimilar,157,86.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,157,86.6
socioprofessionalCategoriesOtherSelfEmployed,1823,25.1,393,55.5,956,35.4,170,86.3,270,64.4,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,1438,27.6,NaN,NaN,NaN,NaN,NaN,NaN,274,64.3,1105,31.7
socioprofessionalCategoriesIntermediate,4764,14.2,152,86.7,1412,28.1,408,53.4,2571,20.1,222,72.9
socioprofessionalCategoriesSkilledNonManuals,3153,18.2,NaN,NaN,2749,19.6,370,55.7,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,2280,22.3,NaN,NaN,2116,23.2,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1605,27.0,1605,27.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,653,42.9,228,73.1,295,64.4,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,9438,9.8,4059,16.9,3284,18.7,817,39.0,710,41.8,568,46.7
