attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,556742,0.4,135414,1.9,151185,1.8,53069,3.3,65958,2.9,151116,1.8
sexMale,269067,1.2,57723,3.3,75538,2.7,19906,5.7,38607,3.9,77293,2.8
sexFemale,287675,1.1,77690,2.7,75647,2.7,33163,4.2,27350,4.6,73824,2.8
age25_44,224276,1.4,40144,4.1,49660,3.5,23570,5.3,24074,5.1,86828,2.6
age45_64,207856,1.4,52001,3.4,61370,3.0,18203,5.7,27808,4.6,48474,3.4
age65+,124610,2.0,43269,3.6,40156,3.7,11296,7.2,14075,6.5,15814,6.1
citizenSwiss,372332,0.8,65235,2.9,127828,1.9,37352,3.9,52194,3.3,89723,2.4
citizenUE28_AELE,135948,2.0,48647,3.6,18193,6.0,11357,7.7,11124,7.7,46626,3.7
citizenOtherEuropeanCountries,18396,6.3,9898,8.6,2518,17.8,1887,19.8,710,32.5,3384,14.7
citizenOtherWorldwideCountries,29946,4.7,11533,7.8,2646,16.4,2454,17.0,1929,18.9,11383,7.8
citizenUnknown,120,78.1,101,85.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,276185,1.1,44754,3.5,105823,2.2,26136,4.8,40384,3.8,59089,3.1
migratoryBackgroundSwissWith,94229,2.3,19903,5.4,21233,5.3,11096,7.4,11626,7.2,30371,4.4
migratoryBackgroundFirstGeneration,176237,1.7,68401,3.0,20297,5.7,14959,6.7,12670,7.3,59911,3.2
migratoryBackgroundSecondGenerationAndMore,7698,9.3,1537,21.1,2930,15.0,702,31.0,1047,25.0,1482,21.6
migratoryBackgroundUnknown,2392,16.5,819,28.3,903,26.8,177,60.4,230,53.3,263,49.4
labourMarketEmployedPersons,351973,0.9,63532,3.1,92368,2.4,32248,4.4,46811,3.5,117013,2.1
labourMarketUnemployedPersons,26659,4.9,8126,9.2,6096,10.3,2453,16.6,2185,17.4,7800,9.2
labourMarketPersonsWithoutProfessionalActivity,178110,1.6,63756,3.0,52721,3.2,18369,5.7,16961,5.9,26303,4.8
socioprofessionalCategoriesExecutives,17112,6.0,1635,20.0,2819,14.7,931,26.0,2946,14.5,8782,8.4
socioprofessionalCategoriesLiberalAndSimilar,9441,8.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9441,8.1
socioprofessionalCategoriesOtherSelfEmployed,28425,4.6,5383,10.9,10535,7.6,3035,14.5,6773,9.6,2699,15.5
socioprofessionalCategoriesIntellectualAndManagerial,79401,2.7,866,27.3,2629,15.5,1278,22.5,2968,14.5,71659,2.8
socioprofessionalCategoriesIntermediate,86143,2.6,8141,9.0,17584,5.9,7767,9.0,32816,4.3,19834,5.7
socioprofessionalCategoriesSkilledNonManuals,58315,3.1,1098,24.3,42519,3.7,14699,6.6,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,17362,6.1,2153,17.4,12410,7.2,2799,15.5,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,37979,4.1,37979,4.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1208,24.1,456,39.9,329,44.9,227,55.2,NaN,NaN,176,63.6
socioprofessionalCategoriesNotAttributable,16586,6.2,5821,10.7,3543,13.3,1512,20.9,1287,22.2,4422,12.4
socioprofessionalCategoriesUnemployedOrNotWorking,204769,1.4,71882,2.8,58817,3.1,20822,5.4,19146,5.6,34103,4.2
