attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,245346,0.8,73270,3.6,83870,3.2,24849,6.8,26149,6.6,37209,5.5
sexMale,120631,2.5,28320,6.6,45027,4.9,10306,11.1,16621,8.5,20358,7.7
sexFemale,124715,2.3,44950,4.8,38843,5.2,14543,8.9,9528,11.1,16851,8.3
age25_44,88277,3.2,16699,8.8,30838,6.1,9396,11.6,10889,10.7,20455,7.7
age45_64,95166,2.9,27816,6.4,35058,5.5,10168,10.8,11006,10.4,11118,10.4
age65+,61903,3.9,28755,6.2,17973,7.9,5284,15.0,4253,16.8,5637,14.7
citizenSwiss,190650,1.4,47323,4.6,73896,3.5,20004,7.5,21663,7.2,27764,6.4
citizenUE28_AELE,45078,5.1,21191,7.7,8282,12.5,3848,18.7,3881,18.6,7876,13.2
citizenOtherEuropeanCountries,5039,18.1,2537,25.5,1260,36.0,499,58.7,259,79.8,483,59.7
citizenOtherWorldwideCountries,4541,17.0,2219,24.9,431,52.0,497,50.6,345,61.5,1048,35.0
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,166309,1.7,39554,5.1,67573,3.7,16712,8.3,19068,7.8,23401,7.0
migratoryBackgroundSwissWith,23609,6.9,7641,12.4,5984,14.1,3226,19.3,2532,21.8,4226,16.9
migratoryBackgroundFirstGeneration,51467,4.7,25621,7.1,8148,12.8,4497,17.5,4178,18.0,9022,12.3
migratoryBackgroundSecondGenerationAndMore,3158,19.9,255,68.6,1826,26.2,348,58.4,307,64.5,423,57.3
migratoryBackgroundUnknown,803,39.5,199,78.9,338,61.3,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,148976,2.0,31282,6.1,55306,4.3,15010,8.9,19931,7.7,27447,6.5
labourMarketUnemployedPersons,8719,12.2,3401,20.0,2308,23.6,917,38.5,813,40.6,1280,32.2
labourMarketPersonsWithoutProfessionalActivity,87651,3.1,38587,5.3,26255,6.4,8922,11.6,5404,14.9,8482,12.1
socioprofessionalCategoriesExecutives,6315,14.0,846,38.8,1664,27.3,563,47.6,1402,30.2,1840,25.8
socioprofessionalCategoriesLiberalAndSimilar,2618,21.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2618,21.9
socioprofessionalCategoriesOtherSelfEmployed,13496,9.4,2521,22.3,6202,14.0,1596,27.9,2565,21.9,612,45.6
socioprofessionalCategoriesIntellectualAndManagerial,20352,7.6,333,61.4,1137,33.1,514,48.3,1028,34.7,17340,8.3
socioprofessionalCategoriesIntermediate,35613,5.6,3488,19.2,9890,11.1,4019,17.6,14245,9.2,3972,18.2
socioprofessionalCategoriesSkilledNonManuals,30002,6.1,445,53.9,23381,6.9,6176,14.0,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,12756,9.9,1221,32.7,10288,11.1,1246,32.3,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,19422,7.9,19422,7.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,627,47.0,NaN,NaN,212,78.9,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,7775,12.7,2856,21.2,2531,22.1,746,42.1,690,43.3,953,37.3
socioprofessionalCategoriesUnemployedOrNotWorking,96370,2.9,41988,5.1,28563,6.2,9839,11.1,6217,14.0,9762,11.3
