attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.009,0.1461,0.064,0.3264,0.038,0.0877,0.085,0.1779,0.056,0.2619,0.045
sexMale,1.0,0.028,0.1131,0.109,0.3019,0.063,0.0653,0.148,0.2177,0.075,0.3021,0.064
sexFemale,1.0,0.027,0.1798,0.083,0.3515,0.056,0.1106,0.107,0.1373,0.095,0.2209,0.074
age25_44,1.0,0.036,0.095,0.14,0.2683,0.081,0.0904,0.146,0.1788,0.099,0.3675,0.067
age45_64,1.0,0.032,0.1271,0.113,0.3444,0.063,0.0794,0.141,0.195,0.087,0.2542,0.076
age65+,1.0,0.049,0.2723,0.103,0.3951,0.083,0.0988,0.173,0.1439,0.143,0.0899,0.186
citizenSwiss,1.0,0.018,0.1137,0.085,0.3907,0.041,0.0883,0.099,0.2092,0.061,0.1981,0.064
citizenUE28_AELE,1.0,0.056,0.1728,0.145,0.1564,0.152,0.082,0.221,0.1176,0.177,0.4712,0.085
citizenOtherEuropeanCountries,1.0,0.131,0.4241,0.201,0.218,0.288,0.095,0.426,0.04,0.678,0.2232,0.281
citizenOtherWorldwideCountries,1.0,0.135,0.298,0.252,0.0738,0.51,0.0979,0.439,0.0452,0.634,0.4851,0.193
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.023,0.1059,0.099,0.4157,0.046,0.0814,0.116,0.2173,0.068,0.1796,0.077
migratoryBackgroundSwissWith,1.0,0.065,0.1463,0.177,0.2833,0.128,0.1172,0.201,0.1735,0.166,0.2797,0.128
migratoryBackgroundFirstGeneration,1.0,0.047,0.2383,0.106,0.1343,0.144,0.0883,0.181,0.0924,0.171,0.4467,0.074
migratoryBackgroundSecondGenerationAndMore,1.0,0.24,0.0903,0.779,0.6005,0.31,NaN,NaN,0.1474,0.641,0.115,0.721
migratoryBackgroundUnknown,1.0,0.415,NaN,NaN,0.3775,0.673,NaN,NaN,0.2254,0.851,NaN,NaN
labourMarketEmployedPersons,1.0,0.02,0.0902,0.104,0.3033,0.052,0.0807,0.111,0.2058,0.065,0.32,0.051
labourMarketUnemployedPersons,1.0,0.168,0.2061,0.383,0.2814,0.315,0.07,0.698,0.1268,0.461,0.3157,0.297
labourMarketPersonsWithoutProfessionalActivity,1.0,0.04,0.2689,0.088,0.3832,0.071,0.1054,0.143,0.1183,0.134,0.1242,0.132
socioprofessionalCategoriesExecutives,1.0,0.12,0.0555,0.53,0.1368,0.326,0.0388,0.637,0.2118,0.261,0.5571,0.164
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.182
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.105,0.1052,0.332,0.3579,0.175,0.1342,0.306,0.3272,0.186,0.0757,0.389
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.066,NaN,NaN,0.0262,0.438,0.0096,0.721,0.0697,0.261,0.8919,0.071
socioprofessionalCategoriesIntermediate,1.0,0.054,0.0281,0.355,0.2071,0.129,0.0728,0.216,0.501,0.08,0.1908,0.136
socioprofessionalCategoriesSkilledNonManuals,1.0,0.072,NaN,NaN,0.8051,0.081,0.1903,0.179,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.139,0.04,0.722,0.8332,0.153,0.1265,0.4,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.135,1.0,0.135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.147,0.2221,0.32,0.3576,0.245,0.0897,0.493,0.131,0.406,0.1993,0.338
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.038,0.2641,0.086,0.3754,0.069,0.1026,0.14,0.119,0.128,0.139,0.12
