attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,93917,0.9,11711,7.0,29622,3.8,9469,7.7,15582,5.6,27533,4.0
sexMale,47541,2.7,4240,12.3,14111,6.0,3691,12.9,9775,7.3,15725,5.7
sexFemale,46376,2.7,7471,8.8,15512,5.7,5778,9.8,5807,9.7,11809,6.7
age25_44,34842,3.5,2490,16.5,8880,8.0,3637,13.1,5214,10.4,14622,6.1
age45_64,38250,3.1,4356,11.9,12689,6.3,3415,12.9,7154,8.5,10636,7.0
age65+,20825,4.7,4865,10.9,8053,8.2,2418,15.3,3214,13.2,2275,15.8
citizenSwiss,67772,1.7,6863,9.0,26000,4.1,6738,9.0,13564,6.0,14607,5.8
citizenUE28_AELE,18057,5.4,2261,16.8,2477,15.6,1890,18.2,1665,19.2,9764,7.6
citizenOtherEuropeanCountries,4450,13.0,1667,21.5,896,30.0,511,40.0,245,55.0,1131,25.5
citizenOtherWorldwideCountries,3638,13.4,920,28.0,249,51.3,330,45.2,107,77.8,2032,17.8
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,53504,2.3,4891,10.7,21124,4.7,5023,10.5,11555,6.6,10912,6.8
migratoryBackgroundSwissWith,14004,6.0,1892,17.4,4710,10.9,1715,18.3,2009,16.7,3678,12.3
migratoryBackgroundFirstGeneration,25242,4.5,4796,11.9,3160,14.4,2618,15.9,1814,18.4,12854,6.6
migratoryBackgroundSecondGenerationAndMore,903,27.0,NaN,NaN,463,36.7,113,78.4,203,60.1,NaN,NaN
migratoryBackgroundUnknown,264,47.7,80,85.2,166,60.4,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,62143,2.0,4772,11.5,18378,5.2,5847,9.9,11554,6.6,21592,4.7
labourMarketUnemployedPersons,2302,16.2,108,78.0,673,30.2,247,51.1,258,47.6,1016,24.6
labourMarketPersonsWithoutProfessionalActivity,29472,3.9,6831,9.3,10571,7.1,3374,13.2,3771,12.2,4925,11.0
socioprofessionalCategoriesExecutives,4008,11.7,195,54.9,537,32.6,225,54.7,866,25.3,2185,16.0
socioprofessionalCategoriesLiberalAndSimilar,1991,16.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991,16.9
socioprofessionalCategoriesOtherSelfEmployed,5391,10.1,429,38.3,2247,15.8,636,30.5,1692,18.1,387,39.9
socioprofessionalCategoriesIntellectualAndManagerial,14241,6.0,NaN,NaN,296,46.4,228,51.0,641,29.3,13027,6.3
socioprofessionalCategoriesIntermediate,17406,5.3,536,35.4,3235,13.2,1753,17.9,8179,8.0,3703,12.7
socioprofessionalCategoriesSkilledNonManuals,10900,7.0,NaN,NaN,8564,7.9,2288,16.3,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,3556,13.1,111,72.0,2933,14.5,511,35.6,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,2951,14.7,2951,14.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1619,19.6,426,39.2,512,33.6,207,55.8,175,57.4,299,48.6
socioprofessionalCategoriesUnemployedOrNotWorking,31774,3.7,6939,9.2,11244,6.9,3621,12.7,4028,11.8,5942,9.9
