attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.004,0.1525,0.027,0.3311,0.016,0.0967,0.034,0.1481,0.026,0.2717,0.018
sexMale,1.0,0.012,0.1224,0.045,0.3209,0.025,0.0813,0.055,0.178,0.034,0.2974,0.026
sexFemale,1.0,0.011,0.1818,0.035,0.3409,0.023,0.1116,0.044,0.119,0.042,0.2467,0.028
age25_44,1.0,0.014,0.1123,0.053,0.2542,0.032,0.0988,0.055,0.1328,0.045,0.402,0.024
age45_64,1.0,0.014,0.1545,0.046,0.3524,0.028,0.0921,0.058,0.1798,0.04,0.2212,0.036
age65+,1.0,0.02,0.2259,0.047,0.4426,0.032,0.1002,0.07,0.1247,0.062,0.1066,0.067
citizenSwiss,1.0,0.007,0.1086,0.037,0.3856,0.017,0.0955,0.039,0.1763,0.028,0.2341,0.023
citizenUE28_AELE,1.0,0.024,0.1975,0.057,0.1914,0.058,0.0979,0.083,0.0873,0.085,0.426,0.037
citizenOtherEuropeanCountries,1.0,0.056,0.4917,0.081,0.2202,0.121,0.1108,0.172,0.0388,0.284,0.1385,0.148
citizenOtherWorldwideCountries,1.0,0.056,0.3511,0.097,0.135,0.158,0.097,0.183,0.0499,0.252,0.367,0.091
citizenUnknown,1.0,0.686,0.7795,0.791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.01,0.0809,0.05,0.4105,0.02,0.0873,0.048,0.1873,0.031,0.2339,0.028
migratoryBackgroundSwissWith,1.0,0.023,0.1895,0.057,0.307,0.044,0.1212,0.072,0.1446,0.065,0.2376,0.05
migratoryBackgroundFirstGeneration,1.0,0.02,0.2756,0.042,0.1679,0.054,0.1006,0.071,0.068,0.084,0.3878,0.033
migratoryBackgroundSecondGenerationAndMore,1.0,0.089,0.1247,0.262,0.514,0.126,0.0823,0.32,0.1727,0.21,0.1064,0.267
migratoryBackgroundUnknown,1.0,0.137,0.2483,0.28,0.4535,0.202,0.0659,0.564,0.1127,0.395,0.1195,0.396
labourMarketEmployedPersons,1.0,0.009,0.1021,0.042,0.3001,0.022,0.0896,0.044,0.1683,0.03,0.3399,0.02
labourMarketUnemployedPersons,1.0,0.066,0.2115,0.148,0.2562,0.13,0.1136,0.198,0.1015,0.202,0.3172,0.117
labourMarketPersonsWithoutProfessionalActivity,1.0,0.016,0.2543,0.038,0.4041,0.028,0.1101,0.058,0.1094,0.056,0.122,0.055
socioprofessionalCategoriesExecutives,1.0,0.055,0.0591,0.248,0.1365,0.152,0.0501,0.258,0.2353,0.114,0.519,0.077
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.081
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.046,0.1034,0.152,0.409,0.073,0.1251,0.135,0.2702,0.089,0.0923,0.158
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.025,0.0055,0.381,0.027,0.165,0.0151,0.226,0.0447,0.127,0.9077,0.027
socioprofessionalCategoriesIntermediate,1.0,0.023,0.0478,0.118,0.2049,0.055,0.0822,0.088,0.4415,0.036,0.2237,0.053
socioprofessionalCategoriesSkilledNonManuals,1.0,0.029,0.0059,0.407,0.7885,0.033,0.2056,0.068,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.059,0.0507,0.267,0.7859,0.066,0.1634,0.152,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.054,1.0,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1.0,0.44,NaN,NaN,0.5038,0.616,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.076,0.2606,0.152,0.2917,0.139,0.1237,0.223,0.0936,0.243,0.2304,0.162
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.015,0.2507,0.036,0.3914,0.027,0.1104,0.055,0.1087,0.054,0.1388,0.049
