attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1131985,0.4,164091,2.7,363903,1.6,107071,3.4,168899,2.5,328022,1.7
sexMale,558739,1.2,65533,4.6,170606,2.6,45479,5.5,99329,3.4,177792,2.5
sexFemale,573246,1.1,98558,3.5,193296,2.3,61592,4.4,69570,4.1,150230,2.7
age25_44,473184,1.4,48331,5.5,115538,3.3,45929,5.5,66926,4.3,196459,2.3
age45_64,410884,1.4,61194,4.6,140191,2.8,34935,6.0,71380,4.0,103184,3.3
age65+,247917,2.0,54565,4.6,108174,3.2,26206,6.7,30593,6.1,28379,6.4
citizenSwiss,817484,0.7,86444,3.7,309919,1.7,73145,4.0,143532,2.7,204444,2.2
citizenUE28_AELE,217480,2.3,39180,5.9,38736,5.9,23778,7.7,20196,8.1,95590,3.6
citizenOtherEuropeanCountries,48506,5.6,23207,8.2,9514,12.8,5124,17.7,2662,24.2,7999,13.7
citizenOtherWorldwideCountries,48282,5.5,15158,10.1,5677,16.6,4987,17.5,2509,24.8,19952,8.5
citizenUnknown,232,88.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,605657,1.0,47610,5.0,243016,2.0,49727,4.9,114334,3.1,150970,2.7
migratoryBackgroundSwissWith,205521,2.3,37467,5.7,64282,4.3,22917,7.3,28342,6.5,52512,4.7
migratoryBackgroundFirstGeneration,295979,1.9,75671,4.3,44271,5.6,31964,6.7,22813,7.8,121261,3.2
migratoryBackgroundSecondGenerationAndMore,17911,8.9,1705,29.0,9573,12.2,1921,27.5,2395,23.8,2317,24.5
migratoryBackgroundUnknown,6917,13.5,1638,27.7,2760,21.2,542,48.7,1016,35.6,961,36.2
labourMarketEmployedPersons,758376,0.8,74926,4.2,220478,2.2,65314,4.4,128607,3.0,269050,1.9
labourMarketUnemployedPersons,33116,6.5,6010,15.9,8493,13.0,3433,20.9,4059,18.2,11121,11.2
labourMarketPersonsWithoutProfessionalActivity,340493,1.6,83155,3.8,134931,2.9,38324,5.7,36233,5.8,47851,5.1
socioprofessionalCategoriesENaNecutives,43187,5.3,3200,21.3,5932,14.5,2199,24.6,10416,10.8,21441,7.5
socioprofessionalCategoriesLiberalAndSimilar,21179,7.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21179,7.6
socioprofessionalCategoriesOtherSelfEmployed,56222,4.7,5771,15.4,23001,7.4,6229,14.5,15494,8.9,5727,15.2
socioprofessionalCategoriesIntellectualAndManagerial,183552,2.4,526,50.3,4608,16.5,1990,25.6,8083,12.4,168344,2.5
socioprofessionalCategoriesIntermediate,207327,2.3,10526,11.6,41655,5.5,16115,8.9,92494,3.6,46537,5.3
socioprofessionalCategoriesSkilledNonManuals,135888,2.9,626,45.8,105802,3.3,29460,6.7,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,41469,5.7,1914,26.4,33057,6.3,6498,15.0,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,46276,5.4,46276,5.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1067,38.3,424,62.1,223,79.1,370,64.7,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,22208,7.8,5663,16.0,6201,14.6,2452,24.2,2120,24.7,5772,15.4
socioprofessionalCategoriesUnemployedOrNotWorking,373609,1.6,89165,3.7,143424,2.8,41757,5.5,40292,5.5,58972,4.6
