attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,501881,0.006,88273,0.036,206892,0.020,43594,0.052,86233,0.035,76889,0.037
sexMale,250470,0.017,35354,0.061,99325,0.033,17512,0.087,55142,0.045,43137,0.052
sexFemale,251411,0.016,52919,0.047,107567,0.030,26082,0.067,31091,0.061,33752,0.059
age25_44,186522,0.022,25224,0.075,69143,0.041,18440,0.085,32938,0.060,40777,0.054
age45_64,197570,0.020,31684,0.063,85328,0.035,15645,0.089,37726,0.055,27186,0.065
age65+,117789,0.028,31365,0.060,52420,0.045,9509,0.110,15569,0.085,8926,0.113
citizenSwiss,376164,0.010,45259,0.050,173010,0.022,28883,0.064,74476,0.037,54536,0.045
citizenUE28_AELE,79417,0.038,19405,0.083,24085,0.073,9704,0.118,8930,0.120,17293,0.086
citizenOtherEuropeanCountries,33170,0.064,17673,0.090,7975,0.134,3384,0.208,2061,0.262,2077,0.255
citizenOtherWorldwideCountries,12998,0.106,5893,0.163,1821,0.288,1623,0.300,721,0.446,2940,0.215
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,306281,0.013,32809,0.059,147518,0.025,21801,0.074,62600,0.041,41552,0.052
migratoryBackgroundSwissWith,67264,0.040,11872,0.101,24341,0.069,6883,0.133,11287,0.102,12881,0.096
migratoryBackgroundFirstGeneration,113482,0.032,40945,0.057,26900,0.070,13953,0.100,9979,0.115,21705,0.076
migratoryBackgroundSecondGenerationAndMore,12021,0.107,1961,0.272,6982,0.140,722,0.433,1708,0.283,648,0.460
migratoryBackgroundUnknown,2833,0.210,686,0.435,1151,0.327,234,0.732,659,0.433,NaN,NaN
labourMarketEmployedPersons,327317,0.013,38777,0.058,132461,0.027,27981,0.067,67189,0.040,60909,0.043
labourMarketUnemployedPersons,12817,0.104,3571,0.205,4252,0.180,1330,0.328,1401,0.310,2263,0.242
labourMarketPersonsWithoutProfessionalActivity,161747,0.023,45926,0.051,70178,0.039,14284,0.092,17643,0.081,13717,0.095
socioprofessionalCategoriesExecutives,15307,0.089,1183,0.351,3509,0.186,811,0.396,4628,0.161,5175,0.152
socioprofessionalCategoriesLiberalAndSimilar,3896,0.176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3896,0.176
socioprofessionalCategoriesOtherSelfEmployed,24979,0.069,2420,0.238,12214,0.100,2301,0.237,6927,0.131,1116,0.338
socioprofessionalCategoriesIntellectualAndManagerial,46555,0.049,NaN,NaN,2031,0.248,657,0.433,3801,0.177,39926,0.053
socioprofessionalCategoriesIntermediate,98820,0.032,5737,0.154,26077,0.068,6703,0.135,50400,0.047,9904,0.113
socioprofessionalCategoriesSkilledNonManuals,72586,0.039,439,0.536,59987,0.043,12160,0.102,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,30181,0.065,1567,0.297,24343,0.072,4270,0.183,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,23758,0.074,23758,0.074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,618,0.487,NaN,NaN,295,0.683,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,10616,0.110,3348,0.202,4006,0.179,1009,0.360,1397,0.295,856,0.396
socioprofessionalCategoriesUnemployedOrNotWorking,174564,0.022,49496,0.049,74430,0.038,15613,0.089,19044,0.078,15981,0.088
