attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,501881.0,0.006,0.1759,0.036,0.4122,0.02,0.0869,0.052,0.1718,0.035,0.1532,0.037
sexMale,250470.0,0.017,0.1412,0.061,0.3966,0.033,0.0699,0.087,0.2202,0.045,0.1722,0.052
sexFemale,251411.0,0.016,0.2105,0.047,0.4279,0.03,0.1037,0.067,0.1237,0.061,0.1343,0.059
age25_44,186522.0,0.022,0.1352,0.075,0.3707,0.041,0.0989,0.085,0.1766,0.06,0.2186,0.054
age45_64,197570.0,0.02,0.1604,0.063,0.4319,0.035,0.0792,0.089,0.191,0.055,0.1376,0.065
age65+,117789.0,0.028,0.2663,0.06,0.445,0.045,0.0807,0.11,0.1322,0.085,0.0758,0.113
citizenSwiss,376164.0,0.01,0.1203,0.05,0.4599,0.022,0.0768,0.064,0.198,0.037,0.145,0.045
citizenUE28_AELE,79417.0,0.038,0.2443,0.083,0.3033,0.073,0.1222,0.118,0.1124,0.12,0.2177,0.086
citizenOtherEuropeanCountries,33170.0,0.064,0.5328,0.09,0.2404,0.134,0.102,0.208,0.0621,0.262,0.0626,0.255
citizenOtherWorldwideCountries,12998.0,0.106,0.4534,0.163,0.1401,0.288,0.1249,0.3,0.0555,0.446,0.2262,0.215
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,306281.0,0.013,0.1071,0.059,0.4816,0.025,0.0712,0.074,0.2044,0.041,0.1357,0.052
migratoryBackgroundSwissWith,67264.0,0.04,0.1765,0.101,0.3619,0.069,0.1023,0.133,0.1678,0.102,0.1915,0.096
migratoryBackgroundFirstGeneration,113482.0,0.032,0.3608,0.057,0.237,0.07,0.123,0.1,0.0879,0.115,0.1913,0.076
migratoryBackgroundSecondGenerationAndMore,12021.0,0.107,0.1631,0.272,0.5808,0.14,0.0601,0.433,0.1421,0.283,0.0539,0.46
migratoryBackgroundUnknown,2833.0,0.21,0.2421,0.435,0.4063,0.327,0.0826,0.732,0.2326,0.433,NaN,NaN
labourMarketEmployedPersons,327317.0,0.013,0.1185,0.058,0.4047,0.027,0.0855,0.067,0.2053,0.04,0.1861,0.043
labourMarketUnemployedPersons,12817.0,0.104,0.2786,0.205,0.3317,0.18,0.1038,0.328,0.1093,0.31,0.1766,0.242
labourMarketPersonsWithoutProfessionalActivity,161747.0,0.023,0.2839,0.051,0.4339,0.039,0.0883,0.092,0.1091,0.081,0.0848,0.095
socioprofessionalCategoriesExecutives,15307.0,0.089,0.0773,0.351,0.2292,0.186,0.053,0.396,0.3023,0.161,0.3381,0.152
socioprofessionalCategoriesLiberalAndSimilar,3896.0,0.176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.176
socioprofessionalCategoriesOtherSelfEmployed,24979.0,0.069,0.0969,0.238,0.489,0.1,0.0921,0.237,0.2773,0.131,0.0447,0.338
socioprofessionalCategoriesIntellectualAndManagerial,46555.0,0.049,NaN,NaN,0.0436,0.248,0.0141,0.433,0.0816,0.177,0.8576,0.053
socioprofessionalCategoriesIntermediate,98820.0,0.032,0.0581,0.154,0.2639,0.068,0.0678,0.135,0.51,0.047,0.1002,0.113
socioprofessionalCategoriesSkilledNonManuals,72586.0,0.039,0.006,0.536,0.8264,0.043,0.1675,0.102,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,30181.0,0.065,0.0519,0.297,0.8066,0.072,0.1415,0.183,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,23758.0,0.074,1.0,0.074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,618.0,0.487,NaN,NaN,0.4773,0.683,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,10616.0,0.11,0.3154,0.202,0.3774,0.179,0.095,0.36,0.1316,0.295,0.0806,0.396
socioprofessionalCategoriesUnemployedOrNotWorking,174564.0,0.022,0.2835,0.049,0.4264,0.038,0.0894,0.089,0.1091,0.078,0.0915,0.088
