attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.006,0.1794,0.036,0.4174,0.02,0.0913,0.052,0.1675,0.036,0.1444,0.04
sexMale,1.0,0.018,0.1353,0.064,0.4092,0.033,0.0731,0.087,0.2159,0.047,0.1665,0.054
sexFemale,1.0,0.017,0.2232,0.046,0.4257,0.031,0.1094,0.066,0.1194,0.063,0.1224,0.063
age25_44,1.0,0.023,0.1289,0.079,0.366,0.042,0.1026,0.085,0.1878,0.06,0.2146,0.056
age45_64,1.0,0.021,0.167,0.064,0.4541,0.035,0.08,0.09,0.1755,0.059,0.1234,0.07
age65+,1.0,0.028,0.282,0.059,0.4375,0.046,0.0923,0.104,0.1211,0.09,0.0671,0.123
citizenSwiss,1.0,0.01,0.1282,0.049,0.467,0.022,0.0824,0.062,0.1893,0.039,0.1331,0.048
citizenUE28_AELE,1.0,0.04,0.2358,0.087,0.2965,0.078,0.1325,0.117,0.1237,0.119,0.2115,0.091
citizenOtherEuropeanCountries,1.0,0.068,0.5277,0.095,0.2425,0.14,0.0891,0.232,0.0608,0.287,0.0799,0.246
citizenOtherWorldwideCountries,1.0,0.105,0.4401,0.161,0.1489,0.275,0.106,0.336,0.0719,0.401,0.233,0.212
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.013,0.1157,0.057,0.4853,0.025,0.0753,0.072,0.1972,0.043,0.1265,0.055
migratoryBackgroundSwissWith,1.0,0.041,0.1812,0.101,0.3818,0.069,0.1151,0.127,0.1539,0.109,0.168,0.103
migratoryBackgroundFirstGeneration,1.0,0.033,0.3522,0.06,0.2357,0.074,0.1221,0.104,0.1003,0.113,0.1897,0.08
migratoryBackgroundSecondGenerationAndMore,1.0,0.109,0.1861,0.263,0.5317,0.15,0.0858,0.37,0.1143,0.311,0.082,0.383
migratoryBackgroundUnknown,1.0,0.207,0.2019,0.456,0.5497,0.282,0.0694,0.789,0.1577,0.517,NaN,NaN
labourMarketEmployedPersons,1.0,0.013,0.114,0.06,0.4193,0.027,0.0866,0.068,0.2019,0.042,0.1783,0.045
labourMarketUnemployedPersons,1.0,0.103,0.2671,0.208,0.3506,0.174,0.1116,0.322,0.1035,0.316,0.1674,0.247
labourMarketPersonsWithoutProfessionalActivity,1.0,0.024,0.3034,0.05,0.4194,0.04,0.099,0.088,0.104,0.085,0.0742,0.103
socioprofessionalCategoriesExecutives,1.0,0.094,0.1013,0.325,0.2188,0.202,0.0538,0.415,0.2875,0.175,0.3386,0.159
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.193
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.071,0.084,0.263,0.5068,0.101,0.0969,0.238,0.2706,0.137,0.0418,0.367
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.052,0.0058,0.734,0.0487,0.244,0.0157,0.434,0.094,0.173,0.8357,0.057
socioprofessionalCategoriesIntermediate,1.0,0.033,0.0502,0.167,0.2639,0.07,0.0805,0.127,0.5014,0.049,0.1039,0.114
socioprofessionalCategoriesSkilledNonManuals,1.0,0.038,0.0041,0.645,0.8431,0.042,0.1528,0.106,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.069,0.0341,0.38,0.8475,0.075,0.1184,0.213,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.077,1.0,0.077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1.0,0.691,0.6685,0.872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.106,0.3165,0.195,0.3513,0.177,0.1084,0.33,0.1129,0.313,0.1108,0.325
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.022,0.3005,0.048,0.414,0.039,0.1,0.085,0.104,0.082,0.0815,0.095
