attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,482132.0,0.006,88216.0,0.036,200293.0,0.02,43747.0,0.053,80169.0,0.037,69707.0,0.041
sexMale,0.4984,0.018,0.3949,0.061,0.4832,0.033,0.3846,0.089,0.6427,0.047,0.5787,0.055
sexFemale,0.5016,0.017,0.6051,0.047,0.5168,0.031,0.6154,0.067,0.3573,0.065,0.4213,0.065
age25_44,0.3745,0.023,0.2841,0.074,0.3439,0.042,0.3984,0.089,0.4028,0.062,0.5294,0.059
age45_64,0.4011,0.02,0.3735,0.061,0.4184,0.035,0.3691,0.087,0.4392,0.057,0.3629,0.069
age65+,0.2243,0.03,0.3425,0.062,0.2376,0.048,0.2325,0.109,0.158,0.097,0.1077,0.127
citizenSwiss,0.7576,0.01,0.5403,0.049,0.8495,0.022,0.6944,0.062,0.8637,0.04,0.6864,0.049
citizenUE28_AELE,0.1534,0.041,0.207,0.086,0.107,0.079,0.1962,0.129,0.114,0.122,0.2371,0.091
citizenOtherEuropeanCountries,0.0655,0.068,0.1944,0.093,0.0361,0.146,0.0862,0.2,0.0155,0.356,0.0313,0.268
citizenOtherWorldwideCountries,0.0234,0.108,0.0579,0.164,0.0074,0.293,0.0225,0.361,0.0068,0.485,0.0452,0.203
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.6236,0.013,0.4019,0.057,0.7255,0.025,0.5208,0.073,0.7392,0.043,0.5434,0.056
migratoryBackgroundSwissWith,0.1302,0.042,0.1338,0.101,0.1191,0.071,0.1721,0.128,0.121,0.113,0.1419,0.111
migratoryBackgroundFirstGeneration,0.2178,0.034,0.4334,0.06,0.1202,0.076,0.2876,0.106,0.1141,0.123,0.3008,0.081
migratoryBackgroundSecondGenerationAndMore,0.0238,0.109,0.0243,0.256,0.0297,0.152,0.0181,0.434,0.0223,0.276,0.0116,0.413
migratoryBackgroundUnknown,0.0045,0.244,0.0067,0.471,0.0055,0.342,NaN,NaN,0.0035,0.684,NaN,NaN
labourMarketEmployedPersons,0.6626,0.013,0.4527,0.057,0.6583,0.027,0.6373,0.067,0.7917,0.042,0.8082,0.046
labourMarketUnemployedPersons,0.029,0.099,0.0416,0.199,0.0258,0.162,0.0387,0.293,0.0196,0.289,0.0272,0.268
labourMarketPersonsWithoutProfessionalActivity,0.3083,0.025,0.5058,0.051,0.3158,0.041,0.3241,0.093,0.1887,0.089,0.1646,0.104
socioprofessionalCategoriesExecutives,0.0267,0.099,0.017,0.303,0.0149,0.208,0.0113,0.518,0.049,0.177,0.0569,0.178
socioprofessionalCategoriesLiberalAndSimilar,0.0078,0.182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0541,0.182
socioprofessionalCategoriesOtherSelfEmployed,0.0532,0.069,0.0279,0.228,0.0623,0.099,0.0561,0.23,0.09,0.13,0.0145,0.359
socioprofessionalCategoriesIntellectualAndManagerial,0.0907,0.053,0.0032,0.688,0.0126,0.223,0.0141,0.47,0.053,0.173,0.5176,0.059
socioprofessionalCategoriesIntermediate,0.1927,0.034,0.0467,0.182,0.1242,0.07,0.1768,0.128,0.5817,0.05,0.1368,0.117
socioprofessionalCategoriesSkilledNonManuals,0.1482,0.04,0.0082,0.434,0.2997,0.044,0.2442,0.11,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0571,0.069,0.0159,0.318,0.1127,0.076,0.0809,0.203,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.0483,0.075,0.2638,0.075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,0.0013,0.469,NaN,NaN,0.0022,0.558,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.0367,0.086,0.0691,0.15,0.0297,0.147,0.052,0.242,0.018,0.299,0.0277,0.27
socioprofessionalCategoriesUnemployedOrNotWorking,0.3374,0.023,0.5473,0.049,0.3417,0.04,0.3627,0.089,0.2083,0.085,0.1918,0.097
