attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,11306,0.040,2151,0.215,4787,0.129,665,0.417,2442,0.203,1261,0.306
sexMale,5979,0.113,712,0.427,2644,0.201,226,0.790,1487,0.277,910,0.371
sexFemale,5328,0.110,1439,0.260,2143,0.211,438,0.493,956,0.335,351,0.580
age25_44,3711,0.164,270,0.739,1649,0.271,211,0.791,993,0.348,589,0.462
age45_64,4375,0.136,708,0.404,2118,0.219,226,0.738,885,0.354,438,0.537
age65+,3220,0.162,1173,0.292,1021,0.319,228,0.679,564,0.450,234,0.730
citizenSwiss,9863,0.053,1823,0.229,4470,0.135,504,0.463,2243,0.211,822,0.368
citizenUE28_AELE,1050,0.361,185,0.859,278,0.726,NaN,NaN,NaN,NaN,320,0.682
citizenOtherEuropeanCountries,212,0.861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,8867,0.065,1586,0.249,4122,0.143,366,0.554,2090,0.221,703,0.402
migratoryBackgroundSwissWith,953,0.329,237,0.680,305,0.605,138,0.861,153,0.861,NaN,NaN
migratoryBackgroundFirstGeneration,1443,0.310,328,0.686,317,0.678,NaN,NaN,199,0.863,439,0.578
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,7353,0.089,696,0.430,3593,0.162,350,0.581,1791,0.244,923,0.356
labourMarketUnemployedPersons,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,3818,0.147,1425,0.263,1127,0.304,315,0.616,651,0.426,299,0.684
socioprofessionalCategoriesExecutives,258,0.678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesLiberalAndSimilar,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesOtherSelfEmployed,1107,0.326,NaN,NaN,748,0.404,NaN,NaN,258,0.686,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,1084,0.325,NaN,NaN,NaN,NaN,NaN,NaN,297,0.638,634,0.438
socioprofessionalCategoriesIntermediate,2030,0.227,NaN,NaN,513,0.493,203,0.725,1141,0.314,NaN,NaN
socioprofessionalCategoriesSkilledNonManuals,1352,0.289,NaN,NaN,1313,0.293,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,881,0.377,NaN,NaN,772,0.403,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,373,0.590,373,0.590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,3954,0.144,1455,0.260,1194,0.296,315,0.616,651,0.426,339,0.644
