attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.041,0.2094,0.226,0.4389,0.131,0.0953,0.335,0.1369,0.272,0.1196,0.296
sexMale,1.0,0.112,0.1142,0.461,0.4466,0.202,0.0795,0.532,0.2013,0.313,0.1585,0.363
sexFemale,1.0,0.123,0.32,0.272,0.4299,0.22,0.1135,0.447,0.0621,0.605,0.0744,0.553
age25_44,1.0,0.154,0.1179,0.534,0.4118,0.269,0.1104,0.532,0.1805,0.424,0.1795,0.427
age45_64,1.0,0.137,0.163,0.422,0.4582,0.231,0.1158,0.491,0.1608,0.401,0.1022,0.51
age65+,1.0,0.203,0.4026,0.346,0.4459,0.322,NaN,NaN,NaN,NaN,0.0653,0.863
citizenSwiss,1.0,0.058,0.1831,0.265,0.4754,0.136,0.0799,0.394,0.1502,0.279,0.1115,0.33
citizenUE28_AELE,1.0,0.387,0.2759,0.728,NaN,NaN,0.2497,0.793,NaN,NaN,0.2201,0.879
citizenOtherEuropeanCountries,1.0,0.796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,1.0,0.645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.066,0.1828,0.275,0.4697,0.145,0.0782,0.413,0.1534,0.287,0.116,0.335
migratoryBackgroundSwissWith,1.0,0.461,NaN,NaN,0.5333,0.639,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundFirstGeneration,1.0,0.315,0.3924,0.515,0.1879,0.787,0.2015,0.728,NaN,NaN,0.1939,0.74
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,1.0,0.084,0.1349,0.355,0.4459,0.17,0.0983,0.403,0.1806,0.29,0.1401,0.337
labourMarketUnemployedPersons,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,1.0,0.169,0.361,0.318,0.4197,0.286,0.0899,0.641,0.0502,0.866,0.0793,0.681
socioprofessionalCategoriesExecutives,1.0,0.679,NaN,NaN,NaN,NaN,NaN,NaN,0.619,0.862,NaN,NaN
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.784
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.341,0.1958,0.786,0.4663,0.509,NaN,NaN,0.2318,0.731,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8105,0.463
socioprofessionalCategoriesIntermediate,1.0,0.24,0.1034,0.868,0.2864,0.476,0.119,0.732,0.4595,0.368,NaN,NaN
socioprofessionalCategoriesSkilledNonManuals,1.0,0.272,NaN,NaN,0.7606,0.318,0.2189,0.607,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.36,NaN,NaN,0.8942,0.384,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.493,1.0,0.493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.168,0.3578,0.318,0.4248,0.282,0.0891,0.641,0.0498,0.866,0.0786,0.681
