attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,11095.0,0.045,2732.0,0.196,4729.0,0.133,766.0,0.416,1551.0,0.261,1317.0,0.292
sexMale,0.5186,0.104,0.4231,0.304,0.4331,0.216,0.5822,0.534,0.7537,0.295,0.7099,0.341
sexFemale,0.4814,0.13,0.5769,0.282,0.5669,0.206,0.4178,0.68,0.2463,0.606,0.2901,0.606
age25_44,0.3545,0.153,0.1552,0.554,0.3574,0.257,0.5366,0.581,0.5074,0.385,0.4708,0.448
age45_64,0.3947,0.141,0.3067,0.386,0.4434,0.23,0.4256,0.645,0.3862,0.427,0.3941,0.478
age65+,0.2508,0.19,0.5381,0.28,0.1992,0.355,NaN,NaN,0.1064,0.862,0.1344,0.784
citizenSwiss,0.879,0.058,0.8829,0.209,0.9146,0.141,0.6084,0.51,0.9458,0.267,0.8223,0.319
citizenUE28_AELE,0.0845,0.394,NaN,NaN,0.0514,0.787,0.3342,0.787,NaN,NaN,0.1777,0.787
citizenOtherEuropeanCountries,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,0.0228,0.786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.7973,0.067,0.806,0.221,0.8596,0.147,0.4739,0.577,0.873,0.276,0.6553,0.361
migratoryBackgroundSwissWith,0.0781,0.377,0.0769,0.786,0.0467,0.786,NaN,NaN,NaN,NaN,0.167,0.728
migratoryBackgroundFirstGeneration,0.1135,0.335,0.1175,0.679,0.0768,0.64,0.3368,0.787,NaN,NaN,0.1777,0.787
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,0.6616,0.089,0.3298,0.37,0.7063,0.171,0.9034,0.438,0.8678,0.281,0.8064,0.331
labourMarketUnemployedPersons,0.0148,0.861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,0.3237,0.163,0.657,0.252,0.2741,0.301,NaN,NaN,0.1322,0.787,0.167,0.728
socioprofessionalCategoriesExecutives,0.0561,0.426,NaN,NaN,0.0634,0.645,NaN,NaN,0.1457,0.677,NaN,NaN
socioprofessionalCategoriesLiberalAndSimilar,0.0183,0.794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1541,0.794
socioprofessionalCategoriesOtherSelfEmployed,0.089,0.336,NaN,NaN,0.1017,0.494,0.2219,0.863,0.1779,0.64,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,0.068,0.394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4814,0.436
socioprofessionalCategoriesIntermediate,0.1314,0.277,NaN,NaN,0.0768,0.58,NaN,NaN,0.4455,0.415,0.12,0.866
socioprofessionalCategoriesSkilledNonManuals,0.1578,0.263,NaN,NaN,0.3051,0.291,0.4021,0.685,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0644,0.405,NaN,NaN,0.1229,0.448,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.0447,0.513,0.1816,0.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.0292,0.638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,0.3384,0.158,0.6706,0.249,0.2937,0.288,NaN,NaN,0.1322,0.787,0.1936,0.68
