attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,40379,0.021,6381,0.131,15253,0.075,3555,0.183,9479,0.102,5711,0.138
sexMale,20196,0.059,2262,0.233,7828,0.116,1371,0.306,5573,0.139,3162,0.190
sexFemale,20183,0.060,4119,0.167,7425,0.121,2184,0.235,3906,0.174,2549,0.216
age25_44,13732,0.085,1386,0.320,5207,0.155,977,0.380,3230,0.197,2933,0.203
age45_64,16102,0.072,2090,0.247,6051,0.136,1647,0.275,4283,0.162,2031,0.240
age65+,10545,0.089,2905,0.190,3995,0.159,931,0.343,1966,0.232,747,0.376
citizenSwiss,33625,0.032,4497,0.156,13699,0.081,2609,0.210,8702,0.107,4117,0.166
citizenUE28_AELE,4606,0.159,903,0.370,1211,0.325,756,0.437,609,0.457,1126,0.319
citizenOtherEuropeanCountries,1031,0.379,410,0.614,233,0.791,NaN,NaN,NaN,NaN,198,0.876
citizenOtherWorldwideCountries,1117,0.352,570,0.500,NaN,NaN,NaN,NaN,NaN,NaN,270,0.685
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,29290,0.039,3897,0.169,12262,0.088,2099,0.235,7578,0.116,3455,0.182
migratoryBackgroundSwissWith,3992,0.168,503,0.481,1263,0.306,511,0.498,1053,0.344,662,0.432
migratoryBackgroundFirstGeneration,6402,0.135,1754,0.277,1401,0.303,907,0.398,746,0.424,1594,0.274
migratoryBackgroundSecondGenerationAndMore,320,0.647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,375,0.582,NaN,NaN,174,0.865,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,25424,0.049,2259,0.239,9765,0.104,2251,0.238,6569,0.129,4579,0.156
labourMarketUnemployedPersons,864,0.393,187,0.870,289,0.683,NaN,NaN,245,0.729,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,14092,0.076,3935,0.167,5198,0.142,1304,0.299,2665,0.204,989,0.346
socioprofessionalCategoriesExecutives,548,0.466,NaN,NaN,NaN,NaN,NaN,NaN,191,0.788,224,0.729
socioprofessionalCategoriesLiberalAndSimilar,765,0.392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,765,0.392
socioprofessionalCategoriesOtherSelfEmployed,3587,0.183,173,0.866,1837,0.261,376,0.582,1103,0.338,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,4014,0.168,NaN,NaN,448,0.517,NaN,NaN,822,0.384,2601,0.212
socioprofessionalCategoriesIntermediate,7749,0.118,NaN,NaN,1436,0.294,893,0.387,4423,0.162,891,0.378
socioprofessionalCategoriesSkilledNonManuals,4298,0.167,167,0.865,3584,0.185,547,0.482,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,2622,0.223,NaN,NaN,2290,0.239,262,0.741,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1600,0.288,1600,0.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,207,0.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,14955,0.073,4122,0.164,5487,0.138,1304,0.299,2910,0.196,1132,0.325
