attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,39875,0.021,6689,0.130,17361,0.067,3705,0.181,6675,0.127,5444,0.146
sexMale,19869,0.061,2885,0.207,8562,0.110,1021,0.358,4322,0.164,3079,0.198
sexFemale,20006,0.060,3805,0.178,8799,0.107,2683,0.214,2353,0.224,2365,0.231
age25_44,13556,0.086,1077,0.379,5599,0.146,1463,0.307,2904,0.208,2513,0.226
age45_64,16407,0.070,2740,0.213,7463,0.118,1251,0.315,2832,0.202,2120,0.241
age65+,9912,0.096,2872,0.198,4299,0.157,991,0.343,940,0.349,810,0.375
citizenSwiss,33000,0.031,4607,0.154,15464,0.072,2668,0.209,6101,0.133,4160,0.165
citizenUE28_AELE,4649,0.166,888,0.393,1514,0.299,782,0.431,486,0.535,979,0.378
citizenOtherEuropeanCountries,1425,0.340,757,0.470,257,0.789,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,801,0.433,437,0.585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,28880,0.039,3983,0.166,13848,0.079,2269,0.227,5563,0.140,3217,0.191
migratoryBackgroundSwissWith,3918,0.169,624,0.441,1516,0.280,296,0.643,538,0.481,943,0.355
migratoryBackgroundFirstGeneration,6531,0.141,1963,0.274,1744,0.282,1037,0.377,536,0.517,1251,0.341
migratoryBackgroundSecondGenerationAndMore,344,0.648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,202,0.792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,25894,0.047,2629,0.221,11232,0.093,2157,0.243,5560,0.142,4317,0.167
labourMarketUnemployedPersons,1058,0.364,215,0.867,587,0.483,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,12922,0.082,3845,0.174,5542,0.138,1430,0.292,1052,0.334,1052,0.340
socioprofessionalCategoriesExecutives,1186,0.323,NaN,NaN,536,0.481,NaN,NaN,296,0.643,242,0.732
socioprofessionalCategoriesLiberalAndSimilar,503,0.498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,503,0.498
socioprofessionalCategoriesOtherSelfEmployed,2903,0.199,491,0.497,1426,0.290,206,0.790,681,0.419,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,3334,0.191,NaN,NaN,324,0.644,NaN,NaN,235,0.729,2632,0.216
socioprofessionalCategoriesIntermediate,7131,0.124,197,0.788,1883,0.256,356,0.581,4151,0.169,545,0.500
socioprofessionalCategoriesSkilledNonManuals,5449,0.144,NaN,NaN,4441,0.160,933,0.377,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,2371,0.233,NaN,NaN,1986,0.254,309,0.687,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1148,0.347,1148,0.347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1870,0.260,568,0.484,637,0.441,172,0.870,197,0.788,295,0.692
socioprofessionalCategoriesUnemployedOrNotWorking,13981,0.079,4060,0.170,6129,0.131,1548,0.282,1116,0.324,1127,0.329
