attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,40379.0,0.021,0.158,0.131,0.3777,0.075,0.088,0.183,0.2348,0.102,0.1414,0.138
sexMale,20196.0,0.059,0.112,0.233,0.3876,0.116,0.0679,0.306,0.2759,0.139,0.1566,0.19
sexFemale,20183.0,0.06,0.2041,0.167,0.3679,0.121,0.1082,0.235,0.1935,0.174,0.1263,0.216
age25_44,13732.0,0.085,0.1009,0.32,0.3792,0.155,0.0711,0.38,0.2352,0.197,0.2136,0.203
age45_64,16102.0,0.072,0.1298,0.247,0.3758,0.136,0.1023,0.275,0.266,0.162,0.1261,0.24
age65+,10545.0,0.089,0.2755,0.19,0.3789,0.159,0.0883,0.343,0.1864,0.232,0.0708,0.376
citizenSwiss,33625.0,0.032,0.1337,0.156,0.4074,0.081,0.0776,0.21,0.2588,0.107,0.1224,0.166
citizenUE28_AELE,4606.0,0.159,0.196,0.37,0.2629,0.325,0.1641,0.437,0.1322,0.457,0.2445,0.319
citizenOtherEuropeanCountries,1031.0,0.379,0.3977,0.614,0.226,0.791,NaN,NaN,NaN,NaN,0.192,0.876
citizenOtherWorldwideCountries,1117.0,0.352,0.5103,0.5,NaN,NaN,NaN,NaN,NaN,NaN,0.2417,0.685
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,29290.0,0.039,0.133,0.169,0.4186,0.088,0.0717,0.235,0.2587,0.116,0.118,0.182
migratoryBackgroundSwissWith,3992.0,0.168,0.126,0.481,0.3164,0.306,0.128,0.498,0.2638,0.344,0.1658,0.432
migratoryBackgroundFirstGeneration,6402.0,0.135,0.274,0.277,0.2188,0.303,0.1417,0.398,0.1165,0.424,0.249,0.274
migratoryBackgroundSecondGenerationAndMore,320.0,0.647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,375.0,0.582,NaN,NaN,0.464,0.865,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,25424.0,0.049,0.0889,0.239,0.3841,0.104,0.0885,0.238,0.2584,0.129,0.1801,0.156
labourMarketUnemployedPersons,864.0,0.393,0.2164,0.87,0.3345,0.683,NaN,NaN,0.2836,0.729,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,14092.0,0.076,0.2792,0.167,0.3689,0.142,0.0925,0.299,0.1891,0.204,0.0702,0.346
socioprofessionalCategoriesExecutives,548.0,0.466,NaN,NaN,NaN,NaN,NaN,NaN,0.3485,0.788,0.4088,0.729
socioprofessionalCategoriesLiberalAndSimilar,765.0,0.392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.392
socioprofessionalCategoriesOtherSelfEmployed,3587.0,0.183,0.0482,0.866,0.5121,0.261,0.1048,0.582,0.3075,0.338,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,4014.0,0.168,NaN,NaN,0.1116,0.517,NaN,NaN,0.2048,0.384,0.648,0.212
socioprofessionalCategoriesIntermediate,7749.0,0.118,NaN,NaN,0.1853,0.294,0.1152,0.387,0.5708,0.162,0.115,0.378
socioprofessionalCategoriesSkilledNonManuals,4298.0,0.167,0.0389,0.865,0.8339,0.185,0.1273,0.482,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,2622.0,0.223,NaN,NaN,0.8734,0.239,0.0999,0.741,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1600.0,0.288,1.0,0.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,207.0,0.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,14955.0,0.073,0.2756,0.164,0.3669,0.138,0.0872,0.299,0.1946,0.196,0.0757,0.325
