attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,39875.0,0.021,0.1677,0.13,0.4354,0.067,0.0929,0.181,0.1674,0.127,0.1365,0.146
sexMale,19869.0,0.061,0.1452,0.207,0.4309,0.11,0.0514,0.358,0.2175,0.164,0.155,0.198
sexFemale,20006.0,0.06,0.1902,0.178,0.4398,0.107,0.1341,0.214,0.1176,0.224,0.1182,0.231
age25_44,13556.0,0.086,0.0794,0.379,0.413,0.146,0.1079,0.307,0.2142,0.208,0.1854,0.226
age45_64,16407.0,0.07,0.167,0.213,0.4549,0.118,0.0762,0.315,0.1726,0.202,0.1292,0.241
age65+,9912.0,0.096,0.2897,0.198,0.4337,0.157,0.1,0.343,0.0948,0.349,0.0817,0.375
citizenSwiss,33000.0,0.031,0.1396,0.154,0.4686,0.072,0.0808,0.209,0.1849,0.133,0.1261,0.165
citizenUE28_AELE,4649.0,0.166,0.191,0.393,0.3257,0.299,0.1682,0.431,0.1045,0.535,0.2106,0.378
citizenOtherEuropeanCountries,1425.0,0.34,0.5312,0.47,0.1804,0.789,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,801.0,0.433,0.5456,0.585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,28880.0,0.039,0.1379,0.166,0.4795,0.079,0.0786,0.227,0.1926,0.14,0.1114,0.191
migratoryBackgroundSwissWith,3918.0,0.169,0.1593,0.441,0.3869,0.28,0.0755,0.643,0.1373,0.481,0.2407,0.355
migratoryBackgroundFirstGeneration,6531.0,0.141,0.3006,0.274,0.267,0.282,0.1588,0.377,0.0821,0.517,0.1915,0.341
migratoryBackgroundSecondGenerationAndMore,344.0,0.648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,202.0,0.792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,25894.0,0.047,0.1015,0.221,0.4338,0.093,0.0833,0.243,0.2147,0.142,0.1667,0.167
labourMarketUnemployedPersons,1058.0,0.364,0.2032,0.867,0.5548,0.483,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,12922.0,0.082,0.2976,0.174,0.4289,0.138,0.1107,0.292,0.0814,0.334,0.0814,0.34
socioprofessionalCategoriesExecutives,1186.0,0.323,NaN,NaN,0.4519,0.481,NaN,NaN,0.2496,0.643,0.204,0.732
socioprofessionalCategoriesLiberalAndSimilar,503.0,0.498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.498
socioprofessionalCategoriesOtherSelfEmployed,2903.0,0.199,0.1691,0.497,0.4912,0.29,0.071,0.79,0.2346,0.419,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,3334.0,0.191,NaN,NaN,0.0972,0.644,NaN,NaN,0.0705,0.729,0.7894,0.216
socioprofessionalCategoriesIntermediate,7131.0,0.124,0.0276,0.788,0.2641,0.256,0.0499,0.581,0.5821,0.169,0.0764,0.5
socioprofessionalCategoriesSkilledNonManuals,5449.0,0.144,NaN,NaN,0.815,0.16,0.1712,0.377,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,2371.0,0.233,NaN,NaN,0.8376,0.254,0.1303,0.687,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1148.0,0.347,1.0,0.347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1870.0,0.26,0.3037,0.484,0.3406,0.441,0.092,0.87,0.1053,0.788,0.1578,0.692
socioprofessionalCategoriesUnemployedOrNotWorking,13981.0,0.079,0.2904,0.17,0.4384,0.131,0.1107,0.282,0.0798,0.324,0.0806,0.329
