attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,40268.0,0.023,7218.0,0.131,15970.0,0.076,4305.0,0.172,7561.0,0.122,5214.0,0.153
sexMale,0.5013,0.064,0.3101,0.257,0.4814,0.125,0.3979,0.288,0.6865,0.152,0.6437,0.196
sexFemale,0.4987,0.062,0.6901,0.159,0.5186,0.115,0.6021,0.222,0.3135,0.23,0.3562,0.261
age25_44,0.3407,0.087,0.1782,0.354,0.3087,0.164,0.4195,0.279,0.4154,0.202,0.4904,0.229
age45_64,0.4018,0.072,0.376,0.221,0.45,0.124,0.3758,0.284,0.3743,0.205,0.3514,0.259
age65+,0.2575,0.103,0.446,0.2,0.2413,0.184,0.2044,0.392,0.2103,0.294,0.1582,0.41
citizenSwiss,0.8239,0.034,0.7308,0.153,0.8668,0.083,0.7642,0.198,0.899,0.129,0.7618,0.174
citizenUE28_AELE,0.1199,0.165,0.115,0.425,0.1035,0.297,0.1675,0.442,0.0772,0.482,0.1993,0.365
citizenOtherEuropeanCountries,0.0346,0.336,0.0844,0.502,0.0157,0.795,0.0592,0.793,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,0.0216,0.444,0.0698,0.583,0.0139,0.881,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.6989,0.044,0.5986,0.171,0.7733,0.09,0.5902,0.226,0.7621,0.142,0.608,0.197
migratoryBackgroundSwissWith,0.1194,0.159,0.1215,0.392,0.0935,0.294,0.1738,0.432,0.1223,0.376,0.1467,0.41
migratoryBackgroundFirstGeneration,0.1652,0.142,0.2642,0.284,0.1195,0.281,0.22,0.393,0.0914,0.457,0.23,0.349
migratoryBackgroundSecondGenerationAndMore,0.01,0.583,NaN,NaN,0.0115,0.867,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,0.0064,0.731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,0.6299,0.05,0.4292,0.211,0.6284,0.104,0.6286,0.219,0.743,0.144,0.7493,0.177
labourMarketUnemployedPersons,0.0231,0.406,NaN,NaN,0.0272,0.591,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,0.347,0.085,0.5583,0.18,0.3445,0.151,0.3331,0.31,0.243,0.272,0.225,0.344
socioprofessionalCategoriesExecutives,0.0364,0.295,NaN,NaN,0.0131,0.791,NaN,NaN,0.082,0.454,0.0928,0.518
socioprofessionalCategoriesLiberalAndSimilar,0.0072,0.684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0556,0.684
socioprofessionalCategoriesOtherSelfEmployed,0.0679,0.217,0.0592,0.59,0.0751,0.328,0.0757,0.645,0.0881,0.442,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,0.076,0.199,NaN,NaN,0.0153,0.733,NaN,NaN,0.0512,0.556,0.4588,0.228
socioprofessionalCategoriesIntermediate,0.1831,0.124,0.029,0.877,0.1207,0.262,0.1828,0.4,0.5219,0.176,0.0967,0.516
socioprofessionalCategoriesSkilledNonManuals,0.1354,0.149,NaN,NaN,0.2661,0.17,0.2702,0.344,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0487,0.265,NaN,NaN,0.1034,0.289,0.063,0.733,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.0499,0.263,0.2783,0.263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.0243,0.379,0.0309,0.792,0.0322,0.518,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,0.3701,0.081,0.5709,0.178,0.3716,0.145,0.3714,0.295,0.257,0.263,0.2507,0.329
