attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,758999,0.004,132683,0.028,309553,0.015,75307,0.037,122305,0.029,119150,0.028
sexMale,368642,0.014,48379,0.049,152577,0.025,26114,0.066,77565,0.037,64007,0.039
sexFemale,390357,0.013,84304,0.036,156977,0.024,49193,0.047,44740,0.049,55144,0.042
age25_44,267759,0.018,31309,0.064,95917,0.034,27374,0.065,47873,0.049,65286,0.039
age45_64,290883,0.016,45204,0.050,125900,0.028,28528,0.062,51172,0.046,40080,0.051
age65+,200357,0.021,56169,0.044,87737,0.034,19405,0.075,23261,0.068,13785,0.086
citizenSwiss,639741,0.007,89844,0.034,285468,0.016,61451,0.041,110735,0.030,92244,0.032
citizenUE28_AELE,76808,0.038,20992,0.076,17577,0.083,9218,0.116,8725,0.119,20296,0.073
citizenOtherEuropeanCountries,19499,0.085,10195,0.118,4154,0.190,2097,0.260,1131,0.366,1922,0.268
citizenOtherWorldwideCountries,22802,0.074,11627,0.106,2333,0.237,2517,0.222,1635,0.294,4689,0.156
citizenUnknown,148,0.891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,567994,0.008,73951,0.038,262335,0.017,52456,0.045,101723,0.031,77530,0.035
migratoryBackgroundSwissWith,68381,0.039,15032,0.086,21770,0.071,8631,0.112,8453,0.114,14494,0.084
migratoryBackgroundFirstGeneration,109610,0.032,40703,0.056,20154,0.080,12715,0.099,10110,0.114,25928,0.065
migratoryBackgroundSecondGenerationAndMore,8440,0.121,1626,0.282,3625,0.186,1016,0.356,1413,0.287,761,0.401
migratoryBackgroundUnknown,4573,0.163,1371,0.304,1669,0.267,489,0.496,606,0.450,438,0.510
labourMarketEmployedPersons,488644,0.010,54272,0.046,195650,0.022,46649,0.049,94866,0.033,97207,0.031
labourMarketUnemployedPersons,17062,0.084,4157,0.178,5378,0.148,2217,0.233,1786,0.259,3525,0.183
labourMarketPersonsWithoutProfessionalActivity,253293,0.018,74254,0.038,108526,0.030,26441,0.064,25653,0.065,18418,0.075
socioprofessionalCategoriesENaNecutives,18829,0.078,1622,0.289,5463,0.148,848,0.363,5621,0.143,5274,0.145
socioprofessionalCategoriesLiberalAndSimilar,7026,0.122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7026,0.122
socioprofessionalCategoriesOtherSelfEmployed,43754,0.050,4074,0.172,20812,0.074,5014,0.152,11476,0.100,2377,0.211
socioprofessionalCategoriesIntellectualAndManagerial,71286,0.037,522,0.477,2928,0.199,1122,0.311,4625,0.156,62090,0.039
socioprofessionalCategoriesIntermediate,141789,0.026,5375,0.151,35311,0.057,13784,0.091,70643,0.039,16676,0.080
socioprofessionalCategoriesSkilledNonManuals,100921,0.032,624,0.444,82209,0.036,18088,0.079,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,45095,0.051,1456,0.291,39074,0.055,4565,0.164,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,32610,0.060,32610,0.060,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1434,0.299,584,0.472,414,0.562,258,0.702,NaN,NaN,178,0.808
socioprofessionalCategoriesNotAttributable,25900,0.067,7405,0.130,9439,0.112,2969,0.201,2501,0.218,3586,0.174
socioprofessionalCategoriesUnemployedOrNotWorking,270355,0.017,78411,0.037,113904,0.029,28658,0.062,27439,0.063,21943,0.069
