attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,753347,0.004,137020,0.027,312099,0.015,73660,0.038,115087,0.030,115481,0.029
sexMale,366037,0.014,49246,0.049,152754,0.025,25849,0.067,74279,0.038,63909,0.040
sexFemale,387310,0.013,87774,0.035,159345,0.024,47811,0.048,40808,0.052,51571,0.044
age25_44,266771,0.018,31979,0.064,98336,0.034,27563,0.066,44484,0.051,64409,0.040
age45_64,289899,0.016,46407,0.050,128688,0.028,26970,0.065,49431,0.047,38403,0.052
age65+,196677,0.021,58633,0.042,85074,0.034,19127,0.075,21173,0.071,12669,0.090
citizenSwiss,636051,0.006,94458,0.033,286687,0.016,61032,0.042,104867,0.031,89007,0.033
citizenUE28_AELE,75318,0.040,19813,0.081,18752,0.084,8455,0.126,8145,0.127,20152,0.076
citizenOtherEuropeanCountries,19134,0.083,10970,0.111,3306,0.202,1987,0.255,1056,0.357,1815,0.270
citizenOtherWorldwideCountries,22757,0.077,11738,0.109,3353,0.204,2140,0.252,1019,0.371,4507,0.171
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,567701,0.008,77017,0.037,265167,0.017,52788,0.045,96679,0.032,76051,0.036
migratoryBackgroundSwissWith,65236,0.040,16762,0.081,20083,0.074,7913,0.117,7790,0.120,12688,0.091
migratoryBackgroundFirstGeneration,108314,0.033,40816,0.056,21110,0.080,11860,0.106,8928,0.122,25600,0.068
migratoryBackgroundSecondGenerationAndMore,8093,0.130,1192,0.344,4191,0.182,725,0.432,1219,0.334,766,0.405
migratoryBackgroundUnknown,4003,0.174,1233,0.326,1548,0.274,375,0.559,472,0.509,376,0.542
labourMarketEmployedPersons,479582,0.011,53173,0.047,197987,0.022,45239,0.050,88833,0.035,94351,0.032
labourMarketUnemployedPersons,19806,0.079,4713,0.172,7036,0.133,2812,0.215,2062,0.243,3181,0.190
labourMarketPersonsWithoutProfessionalActivity,253959,0.018,79134,0.037,107075,0.030,25609,0.065,24192,0.067,17948,0.079
socioprofessionalCategoriesENaNecutives,16667,0.083,1395,0.301,4381,0.165,1330,0.305,4948,0.153,4613,0.152
socioprofessionalCategoriesLiberalAndSimilar,7975,0.117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7975,0.117
socioprofessionalCategoriesOtherSelfEmployed,41062,0.052,3865,0.173,20081,0.076,3273,0.188,12091,0.098,1753,0.256
socioprofessionalCategoriesIntellectualAndManagerial,70937,0.038,399,0.574,3205,0.194,1067,0.335,4722,0.157,61544,0.040
socioprofessionalCategoriesIntermediate,135284,0.027,5660,0.149,36176,0.057,13075,0.095,64879,0.041,15493,0.084
socioprofessionalCategoriesSkilledNonManuals,105338,0.032,789,0.388,86414,0.035,18135,0.080,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,44982,0.052,1590,0.280,38385,0.056,5006,0.159,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,31495,0.062,31495,0.062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1450,0.301,359,0.598,630,0.454,264,0.740,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,24391,0.070,7620,0.129,8716,0.118,3087,0.199,2083,0.235,2886,0.193
socioprofessionalCategoriesUnemployedOrNotWorking,273765,0.017,83847,0.036,114111,0.029,28421,0.062,26255,0.064,21130,0.072
