attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,767418.0,0.004,0.1628,0.029,0.4119,0.015,0.0972,0.038,0.1649,0.028,0.1633,0.026
sexMale,373182.0,0.013,0.1184,0.052,0.413,0.025,0.0778,0.064,0.2121,0.036,0.1788,0.038
sexFemale,394236.0,0.012,0.2048,0.036,0.4108,0.024,0.1155,0.048,0.1203,0.047,0.1486,0.04
age25_44,269962.0,0.018,0.1066,0.067,0.3572,0.034,0.1006,0.066,0.1771,0.048,0.2584,0.036
age45_64,290910.0,0.016,0.1462,0.052,0.4415,0.028,0.0923,0.064,0.1839,0.044,0.1362,0.05
age65+,206546.0,0.02,0.2595,0.044,0.4416,0.033,0.0995,0.072,0.1223,0.065,0.0771,0.081
citizenSwiss,643677.0,0.006,0.1314,0.035,0.45,0.016,0.091,0.042,0.178,0.029,0.1495,0.031
citizenUE28_AELE,77928.0,0.038,0.2435,0.081,0.2423,0.081,0.1315,0.113,0.1187,0.114,0.2641,0.071
citizenOtherEuropeanCountries,20836.0,0.08,0.4709,0.119,0.1986,0.182,0.1382,0.217,0.0579,0.33,0.1345,0.211
citizenOtherWorldwideCountries,24894.0,0.069,0.4605,0.105,0.1358,0.187,0.1138,0.212,0.0611,0.289,0.2289,0.141
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,568001.0,0.008,0.1172,0.04,0.4687,0.017,0.088,0.046,0.1836,0.031,0.1425,0.034
migratoryBackgroundSwissWith,72794.0,0.037,0.2378,0.081,0.3053,0.07,0.1139,0.115,0.1346,0.106,0.2084,0.081
migratoryBackgroundFirstGeneration,113434.0,0.031,0.3364,0.057,0.1919,0.076,0.13,0.094,0.0924,0.108,0.2492,0.061
migratoryBackgroundSecondGenerationAndMore,9787.0,0.111,0.1896,0.262,0.4597,0.164,0.1174,0.33,0.1524,0.278,0.0807,0.365
migratoryBackgroundUnknown,3402.0,0.184,0.3001,0.337,0.4033,0.293,0.1093,0.551,0.147,0.457,NaN,NaN
labourMarketEmployedPersons,485397.0,0.01,0.1,0.049,0.4039,0.021,0.0925,0.05,0.1999,0.032,0.2038,0.03
labourMarketUnemployedPersons,17810.0,0.084,0.2362,0.179,0.3643,0.14,0.125,0.247,0.0858,0.28,0.1887,0.185
labourMarketPersonsWithoutProfessionalActivity,264210.0,0.017,0.2731,0.039,0.4298,0.029,0.1039,0.063,0.106,0.062,0.0872,0.069
socioprofessionalCategoriesENaNecutives,21132.0,0.071,0.0504,0.338,0.2334,0.153,0.0655,0.285,0.3022,0.132,0.3485,0.117
socioprofessionalCategoriesLiberalAndSimilar,7224.0,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.12
socioprofessionalCategoriesOtherSelfEmployed,42172.0,0.051,0.0807,0.186,0.4878,0.075,0.082,0.183,0.3033,0.094,0.0462,0.228
socioprofessionalCategoriesIntellectualAndManagerial,71653.0,0.036,0.0036,0.695,0.0395,0.2,0.0128,0.34,0.0664,0.153,0.8776,0.038
socioprofessionalCategoriesIntermediate,143619.0,0.026,0.0467,0.135,0.2483,0.056,0.0885,0.093,0.4989,0.038,0.1176,0.078
socioprofessionalCategoriesSkilledNonManuals,107664.0,0.031,0.0056,0.425,0.817,0.034,0.1774,0.077,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,44919.0,0.051,0.0242,0.35,0.8602,0.055,0.1156,0.158,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,31131.0,0.062,1.0,0.062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1550.0,0.288,0.3606,0.494,0.4232,0.448,0.089,0.838,NaN,NaN,0.0865,0.954
socioprofessionalCategoriesNotAttributable,14332.0,0.09,0.2602,0.182,0.3346,0.157,0.1382,0.254,0.0957,0.286,0.1714,0.206
socioprofessionalCategoriesUnemployedOrNotWorking,282021.0,0.017,0.2708,0.038,0.4256,0.029,0.1052,0.061,0.1048,0.061,0.0936,0.064
