attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.0,0.1695,0.0,0.4131,0.0,0.1002,0.0,0.1547,0.0,0.1624,0.0
sexMale,1.0,0.0,0.1255,0.001,0.4158,0.0,0.0763,0.001,0.2019,0.0,0.1805,0.0
sexFemale,1.0,0.0,0.2112,0.0,0.4107,0.0,0.1228,0.0,0.1101,0.0,0.1453,0.0
age25_44,1.0,0.0,0.1036,0.001,0.3717,0.0,0.1046,0.001,0.1679,0.0,0.2522,0.0
age45_64,1.0,0.0,0.1536,0.001,0.437,0.0,0.094,0.001,0.1719,0.0,0.1435,0.0
age65+,1.0,0.0,0.2793,0.0,0.4338,0.0,0.1033,0.001,0.1127,0.001,0.071,0.001
citizenSwiss,1.0,0.0,0.1372,0.0,0.4515,0.0,0.0957,0.0,0.1677,0.0,0.148,0.0
citizenUE28_AELE,1.0,0.0,0.2571,0.001,0.2276,0.001,0.1181,0.001,0.113,0.001,0.2843,0.001
citizenOtherEuropeanCountries,1.0,0.001,0.4784,0.001,0.2098,0.002,0.156,0.002,0.0506,0.004,0.1051,0.003
citizenOtherWorldwideCountries,1.0,0.001,0.4864,0.001,0.1579,0.002,0.1166,0.002,0.0326,0.004,0.2065,0.002
citizenUnknown,1.0,0.007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.0,0.1265,0.0,0.4671,0.0,0.0917,0.0,0.1732,0.0,0.1415,0.0
migratoryBackgroundSwissWith,1.0,0.0,0.215,0.001,0.3248,0.001,0.1282,0.001,0.1291,0.001,0.2029,0.001
migratoryBackgroundFirstGeneration,1.0,0.0,0.3579,0.001,0.1912,0.001,0.1244,0.001,0.0798,0.001,0.2466,0.001
migratoryBackgroundSecondGenerationAndMore,1.0,0.001,0.1213,0.004,0.4482,0.002,0.1052,0.004,0.1743,0.003,0.151,0.003
migratoryBackgroundUnknown,1.0,0.002,0.2634,0.003,0.4575,0.002,0.1176,0.005,0.0627,0.006,0.0988,0.005
labourMarketEmployedPersons,1.0,0.0,0.1023,0.0,0.4039,0.0,0.0954,0.0,0.1895,0.0,0.2089,0.0
labourMarketUnemployedPersons,1.0,0.001,0.2257,0.002,0.3772,0.001,0.1088,0.003,0.0806,0.003,0.2078,0.002
labourMarketPersonsWithoutProfessionalActivity,1.0,0.0,0.2874,0.0,0.4321,0.0,0.1084,0.001,0.0965,0.001,0.0756,0.001
socioprofessionalCategoriesENaNecutives,1.0,0.001,0.0559,0.003,0.2384,0.002,0.0605,0.003,0.2844,0.001,0.3608,0.001
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.001
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.001,0.0769,0.002,0.5239,0.001,0.0999,0.002,0.2461,0.001,0.0532,0.002
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.0,0.0065,0.005,0.0389,0.002,0.0165,0.003,0.0659,0.002,0.8722,0.0
socioprofessionalCategoriesIntermediate,1.0,0.0,0.0371,0.002,0.2534,0.001,0.1051,0.001,0.4797,0.0,0.1248,0.001
socioprofessionalCategoriesSkilledNonManuals,1.0,0.0,0.0035,0.006,0.8237,0.0,0.1729,0.001,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.001,0.0378,0.003,0.8613,0.001,0.1009,0.002,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.001,1.0,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1.0,0.003,0.2269,0.007,0.4808,0.005,0.1771,0.008,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.001,0.2617,0.002,0.3593,0.001,0.1183,0.003,0.1263,0.002,0.1344,0.002
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.0,0.2837,0.0,0.4288,0.0,0.1084,0.001,0.0956,0.001,0.0834,0.001
