attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,767418.0,0.004,124909.0,0.029,316077.0,0.015,74555.0,0.038,126565.0,0.028,125312.0,0.026
sexMale,0.4863,0.013,0.3537,0.052,0.4877,0.025,0.3892,0.064,0.6253,0.036,0.5324,0.038
sexFemale,0.5137,0.012,0.6463,0.036,0.5123,0.024,0.6108,0.048,0.3747,0.047,0.4676,0.04
age25_44,0.3518,0.018,0.2304,0.067,0.3051,0.034,0.3644,0.066,0.3778,0.048,0.5567,0.036
age45_64,0.3791,0.016,0.3404,0.052,0.4063,0.028,0.3601,0.064,0.4226,0.044,0.3162,0.05
age65+,0.2691,0.02,0.4292,0.044,0.2886,0.033,0.2755,0.072,0.1996,0.065,0.1271,0.081
citizenSwiss,0.8388,0.006,0.6772,0.035,0.9165,0.016,0.786,0.042,0.9054,0.029,0.7678,0.031
citizenUE28_AELE,0.1015,0.038,0.1519,0.081,0.0597,0.081,0.1374,0.113,0.0731,0.114,0.1642,0.071
citizenOtherEuropeanCountries,0.0272,0.08,0.0785,0.119,0.0131,0.182,0.0386,0.217,0.0095,0.33,0.0224,0.211
citizenOtherWorldwideCountries,0.0324,0.069,0.0918,0.105,0.0107,0.187,0.038,0.212,0.012,0.289,0.0455,0.141
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.7401,0.008,0.5329,0.04,0.8422,0.017,0.6706,0.046,0.824,0.031,0.6459,0.034
migratoryBackgroundSwissWith,0.0949,0.037,0.1386,0.081,0.0703,0.07,0.1112,0.115,0.0774,0.106,0.1211,0.081
migratoryBackgroundFirstGeneration,0.1478,0.031,0.3055,0.057,0.0689,0.076,0.1978,0.094,0.0829,0.108,0.2256,0.061
migratoryBackgroundSecondGenerationAndMore,0.0128,0.111,0.0149,0.262,0.0142,0.164,0.0154,0.33,0.0118,0.278,0.0063,0.365
migratoryBackgroundUnknown,0.0044,0.184,0.0082,0.337,0.0043,0.293,0.005,0.551,0.004,0.457,NaN,NaN
labourMarketEmployedPersons,0.6325,0.01,0.3886,0.049,0.6202,0.021,0.602,0.05,0.7666,0.032,0.7893,0.03
labourMarketUnemployedPersons,0.0232,0.084,0.0337,0.179,0.0205,0.14,0.0299,0.247,0.0121,0.28,0.0268,0.185
labourMarketPersonsWithoutProfessionalActivity,0.3443,0.017,0.5777,0.039,0.3592,0.029,0.3681,0.063,0.2214,0.062,0.1839,0.069
socioprofessionalCategoriesENaNecutives,0.0275,0.071,0.0085,0.338,0.0156,0.153,0.0186,0.285,0.0505,0.132,0.0588,0.117
socioprofessionalCategoriesLiberalAndSimilar,0.0094,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0576,0.12
socioprofessionalCategoriesOtherSelfEmployed,0.055,0.051,0.0272,0.186,0.0651,0.075,0.0464,0.183,0.1011,0.094,0.0155,0.228
socioprofessionalCategoriesIntellectualAndManagerial,0.0934,0.036,0.0021,0.695,0.009,0.2,0.0123,0.34,0.0376,0.153,0.5018,0.038
socioprofessionalCategoriesIntermediate,0.1871,0.026,0.0537,0.135,0.1128,0.056,0.1705,0.093,0.5661,0.038,0.1348,0.078
socioprofessionalCategoriesSkilledNonManuals,0.1403,0.031,0.0048,0.425,0.2783,0.034,0.2562,0.077,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0585,0.051,0.0087,0.35,0.1222,0.055,0.0697,0.158,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.0406,0.062,0.2492,0.062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,0.002,0.288,0.0045,0.494,0.0021,0.448,0.0019,0.838,NaN,NaN,0.0011,0.954
socioprofessionalCategoriesNotAttributable,0.0187,0.09,0.0299,0.182,0.0152,0.157,0.0266,0.254,0.0108,0.286,0.0196,0.206
socioprofessionalCategoriesUnemployedOrNotWorking,0.3675,0.017,0.6114,0.038,0.3798,0.029,0.398,0.061,0.2334,0.061,0.2107,0.064
